Wisata,Total_Reviews,Avg_Rating,Avg_Review_Length,Min_Rating,Max_Rating,Empty_Reviews,Very_Short_Reviews,Short_Reviews,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Hari_Biasa,Akhir_Pekan,Hari_Libur_Nasional,Tidak_Diketahui
Museum Angkut,4685,4.8,128.0,1,5,1101,1101,1541,16,10,74,710,3875,465,471,269,3480
Eco Active Park,3660,4.65,132.0,1,5,374,374,961,30,33,145,756,2696,351,349,158,2802
Air Terjun Coban Rais,3383,4.14,58.0,1,5,1437,1437,2459,246,127,378,785,1847,117,190,47,3029
Batu Economis Park,1892,4.49,148.0,1,5,190,190,458,22,21,141,528,1180,214,201,80,1397
Gussari Goa Pinus Batu,1809,4.28,24.0,1,5,1218,1218,1545,70,52,205,451,1031,37,53,12,1707
Jatim Park 1,1613,4.66,178.0,1,5,122,122,304,22,18,53,300,1220,156,169,79,1209
Jatim Park 2,1562,4.8,266.0,1,5,189,189,227,13,1,20,221,1307,281,289,173,819
Pemandian Air Panas Cangar,1559,4.26,196.0,1,5,70,70,171,42,60,181,450,826,0,0,0,1559
Coban Talun,1442,4.54,50.0,1,5,592,592,1023,27,18,89,330,978,74,157,43,1168
Songgoriti Hot Springs,997,4.34,131.0,1,5,196,196,384,68,43,59,137,690,147,210,64,576
Milenial Glow Garden,932,4.58,99.0,1,5,240,240,449,18,17,43,187,667,140,194,85,513
Taman Selecta,900,4.72,233.0,1,5,150,150,182,3,0,22,197,678,95,148,71,586
Alun Alun Kota Wisata Batu,759,4.62,232.0,1,5,0,79,107,10,8,26,169,546,0,0,0,759
Wisata Petik Apel Mandiri,751,4.73,49.0,1,5,226,226,498,10,8,34,69,630,0,0,0,751
Batu Night Spectacular,631,4.56,225.0,1,5,83,83,99,6,7,31,172,415,114,142,67,308
Tirta Nirwana Hotspring,621,4.33,53.0,1,5,282,282,432,12,23,64,172,350,12,19,8,582
Gunung Arjuno,619,4.55,79.0,1,5,258,258,430,33,9,20,78,479,0,0,0,619
Taman Dolan,608,4.12,179.0,1,5,38,38,109,42,24,70,154,318,41,61,20,486
Lumbung Stroberi,549,4.42,78.0,1,5,250,250,358,20,14,47,103,365,27,51,15,456
Taman Pinus Campervan,539,4.63,91.0,1,5,235,235,323,10,5,27,88,409,54,163,34,288
Jatim Park 3,525,4.67,284.0,1,5,86,86,103,7,5,13,103,397,84,109,57,275
Batu Love Garden (Baloga),403,4.66,202.0,1,5,110,110,116,1,2,17,94,289,64,66,42,231
Batu Rafting,383,4.37,25.0,1,5,242,242,336,11,10,43,83,236,0,0,0,383
Gunung Panderman,364,4.59,72.0,1,5,141,152,246,12,4,18,54,276,0,0,0,364
Coban Putri,323,4.61,81.0,1,5,161,161,202,4,3,17,66,233,55,88,15,165
Wisata Desa Agro Bumiaji,142,4.35,21.0,1,5,100,100,128,5,1,21,28,87,0,0,0,142
Paralayang Gunung Banyak,100,4.32,92.0,1,5,48,48,64,11,1,4,13,71,0,0,0,100
Wisata Bunga Sidomulyo,84,4.57,38.0,1,5,47,47,67,3,0,5,14,62,1,2,0,81
Desa Wisata Punten,4,5.0,0.0,5,5,4,4,4,0,0,0,0,4,0,0,0,4
Desa Wisata Tulungrejo,4,5.0,46.0,5,5,1,1,3,0,0,0,0,4,0,0,0,4
