reviewer_name,rating,date,review_text
Rhara Saadah,5,seminggu lalu,BARU Kesini lagi setelah lama. Tidak banyak yang berubah untuk tata letak bangunannya. Sayang sekali bianglala besarnya sedang tidak beroperasi. Banyak pedagang makanan di dekat area parkir. Tarif parkir 2000 rupiah. Termasuk murah untuk kawasan wisata. Jajan disekitar juga banyak yang murah Ada beberapa sarana permainan gratis untuk anak anak.
EmSu,5,sebulan lalu,Luas dan cocok untuk anak anak Restroom tersedia hanya saja kebersihannya kurang Not sure
Incendio Leviosha,5,seminggu lalu,"BARU tempatnya ga seberapa luas ya, dikelilingi sama wisata kuliner sama masjid.. ada wahana bianglala, komedi putar dan apalagi lupa.. bayar berapa ya, pokoknya ga sampe 10ribu kok.. ada juga dipojokan playground anak.. gratis toilet nya ada, tapi perlu dibenahi tengah² ada air mancur.. sekitar alun² ada pasar besar kayaknya ya.. jual aneka cemilan dan makanan cuma saran aja sih, perbanyak bangku buat duduk di dalam area alun² yg ada kanopi nya.. apa emang sengaja gitu jadi kalo pengunjung mau berteduh yaudah ke tempat makan aja, sekalian 🤣🤣🤣  "
Juhaidah Amalia Putri,4,2 bulan lalu,"Lumayan luas tapi tempat dudukan kurang banyak, tempat asri ga terlalu panas kena sinar matahari karena banyak pohon-pohon, lebih bagus kalau malem kesini ada lampu-lampunya. Ada delman, sepur kelinci kalau ngga salah per orang 10rb buat keliling alun-alun, sewa sepeda listrik. Banyak wisata kuliner nya tinggal pilih aja dari yg kaki 5 sampai yg di ruko sama-sama enak, terutama yg aku coba roti koin harga 15rb untuk 1 porsi dapat 2 lapis.  "
Luv U,5,3 minggu lalu,"BARU Enak buat jalan-jalan malam hari Makanan berlimpah jenis bahkan dari berbagai negara (truly Asian) Harga makanan terjangkau Ada taman bermain Yg kurang WCnya, gelap, kurang terawat, dan hiiii, mending cari toilet ke tempat lain Cocok buat anak-anak, orang tua wajib mengawasi yaaa Hiiiiii Mending cari toilet lain di luar alun-alun Jangan dibawa lah Bukan wilayahnya"
Mas Ikawe,5,sebulan lalu,"Tempat bersantai dimalam hari sambil kulineran tinggal pilih saja mau cafe, PKL, atau pujasera sangat lengkap menunya dan harganya pun terjangkau, bisa ajak keluarga naik kuda atau kereta kelinci, fasilitas toilet gratis dan taman bermain untuk anak2  "
Sri Sulistyowati,4,2 minggu lalu,BARU  
Agung Juniansyah,5,sebulan lalu,Kedua kali nya main ke alun alun kota malang. Sudah banyak sekali perubahan. Sekarang lebih tertata rapih. Sarana dan prasaranya sudah memadai. Senang berkunjung ke alun alun kota malang di malam hari. Nongkrong sambil menikamati udaranya dingin. Didukung banyak terdapat kuliner di sekitar alun alun makin betah. Jangan lupa bawa jaket ya..  
Joseph (鍾振文),4,3 bulan lalu,Ada perosotan khusus anak2 Cukup bersih tapi ga bersih2 sekali.. pencahayaan minim kurang terang. ❌❌
Tria Meni,5,3 minggu lalu,"BARU Kota Batu juga ada alun alunnya yang dibangun untuk jadi salah satu wisata yang gratis, ada tempat permainan anak anak, ada taman air mancur, ada tempat duduk, jadi kita bisa santai sambil melepas lelah, ada pohon besar yg bisa dijadikan tempat berteduh, sekitar alun alun banyak yg menjual makanan dan berbagai jajanan.  "
Hamid Abdul,5,3 minggu lalu,"BARU Tempat yang jadi kunjungan para pelancong karena sudah menjadi salah satu icon kota batu juga, tempat yang ramai tapi sayang untuk tempat duduk kurang, di sekitar juga terdapat masjid besar dan plaza batu.  "
fan vane,4,sebulan lalu,"Adem dan mesti rame nek nang batu malang, banyak kuliner di alun2, ke sini pas nginep di jambuluwok mantep. Malang batu memang kota wisata yang mantep seh. Semoga tetep aman kondusif karena kota wisata  "
10 _dy,4,2 bulan lalu,"Disekitar banyak penjual makanan berat, jajanan, minuman,, seperti jadi tempat wisata kuliner juga Ada playground untuk anak²"
Khoirotin Anisa,4,5 bulan lalu,"Tempatnya bersih dan nyaman, walaupun kurang luas tapi tempatnya dimanfaatkan dengan baik. Jadi spacenya banyak dan spot bervariasi. Ada banyak wahana juga untuk anak-anak. Sayangnya pintu masuknya cuma bisa diakses satu arah, padahal alun-alun itu seharusnya terbuka dari seluruh penjuru arah. Mungkin kalau khawatir dengan parkir sembarangan bisa ditertibkan oleh petugas. Dan beberapa spot kolam ikan airnya kotor bahkan tidak terurus, takutnya malah jadi sarang nyamuk.  "
hatris soe,5,4 minggu lalu,Ke sini pagi hari buat cari sarapan nasi pecel dan kopi. Singgah ke Indomaret beli air mineral sebelum ke jatim park 2. Mau pergi di malam hari gak sempat karena keburu mager.  
Yudhis Tira,5,2 bulan lalu,banyak ada kurang tau
Dian Purwo,4,sebulan lalu,"Sangat ramai ketika akhir pekan, tempat nongkrong yg pas klo bawa anak2 dan keluarga, deket food court dan plaza batu.  "
Pudiono Pudiono,5,3 bulan lalu, 
Another Side,5,4 bulan lalu,"Tempat wisata yang sejuk dan dingin. Salah satu pilihan tempat yang cocok buat mengisi waktu libur weekend kalau lagi di Malang, banyak jajanan makanan, baju, dan souvernir khas malang. Lokasi di pusat kota dan dekat dengan masjid. Sayangnya ada minus di beberapa bagian : Bianglala sudah lama tidak aktif, mungkin bisa segera diperbaiki biar tambah bagus. Akses wifi didalam alun-alun sekarang tidak ada. Dialun alun tempat parkirnya juga cukup luas, 2 ribu untuk sepeda motor, 10 ribu untuk mobil. Toilet gratis dan bersih👍🏼 Bagus Bersih"
Galang Syah,5,5 bulan lalu,"Banyak jajanan dan makanan tersedia disini. Di Alun-alun Kota Batu mulai dari makanan cepat saji sampai makanan tradisional, bakso, soto, rawon semua ada sini. Tempat yang cocok untuk wisata bersama keluarga, kerabat dan teman. Banyak tempat untuk permainan anak-anak. Jika mau wisata kuliner juga bisa, banyak tempat autentik dan khas disini. Buka 24 jam, mulai tempat untuk nongkrong, ngopi dan area untuk istirahat ada disini. Menurut saya trmpat paling khas disini ada kita dapat membeli susu sapi murni langsung dari peternakan di sekitar kota Batu dan Malang. Harga makanan dan jajanan disini juga terjangkau, tidak terlalu mahal dan porsi nya cukup membuat kenyang. Ada tempat bermainnya."
Anju Ardian,5,3 bulan lalu,"Main kesini malam hari, vibesnya adem dan seru. Banyak yang jual makanan. Bisa bebas makan apa aja. Tapi untuk baksonya kurang. Ngga tau ya. Aneh rasa kuah dan baksonya. Ngga habis. Tapi yang lok lok nya best. Bumbu dan taste mereka dapat bgt. Rasanya pas bgt. Dan harganya juga murah. Kalo main ke alun alun malang wajib coba lok lok ini sih  "
Rizka Novitasari,5,3 bulan lalu,Kalo ke alun-alun kota batu Malang cobain ke Janus Coffeenya. Bisa liat pemandangan. Naik kereta motor: 10RB/orang (anak ku belum 2 tahun ga dikenakan biaya) Jajan es kopi: 7RB/cup Jajan sate-satean: 10RB/tusuk Ada playground juga buat anak-anak  
Fahmi Hidayat,5,3 bulan lalu,"Salah satu spot favorit tiap mudik ke Batu. Ini satu ikon Kota Wisata Batu. Tempat berkumpul banyak kalangan, mulai dari yang sendiri hingga bawa keluarga, mulai dari yang dekat atau yang sekadar singgah. Lokasinya strategis, ada di pusat kota, di depan masjid agung, dekat ke pasar panggung, banyak wahana bermain anak, dan foodcourt yang banyak pilihan. Parkiran ada di sisi alun-alun, cukup membuat macet dan menambah kepadatan. Semoga ada formula atau kebijakan buat penataan parkir terlebih di saat suasana yang padat seperti lebaran atau akhir pekan. Nice to visit  "
Irfan Rizkiansyah,5,3 bulan lalu,"Secara parkiran lumayan tertata rapi, meski banyak lautan manusia disini. Tapi itu berarti dia recommended bgt utk dikunjungi. Vibes sejuk namun street food seperti di bandung. Bahkan kedai-kedai semacam swk kalau di surabaya, juga ada. Bisa banget sih untuk jadi wishlist kalian kalau ke batu, better di jam sore sih. Tapi kalo pagi/siang buat cari makan juga oke kok  "
Desy Miranti,5,2 minggu lalu,BARU  1 
Farhan Muhammad Andria,5,4 bulan lalu,"Kilas balik; Berkunjung ke Alun Alun batu setelah berendam di Songgoriti Hotspring, kami kesini untuk kuliner malam🎇🎇🎆🎆. Hari itu malam tarawih hari pertama, di sebrangnya ada masjid besar. Suasana - Enak, sejuk dan dingin seperti Bandung - Cocok untuk kuliner murah meriah harga terjangkau - Cocok untuk ngedate minimalis juga - Pilihan makanan banyak terutama sate satean suki gitu🌮🍗🌭 - bayar parkir 2 ribu, jalan kaki sedikit dari indomaret Bagus, banyak wahana permainan gratis Ada Sesuai"
Ika Firda,5,2 bulan lalu,"Alun-Alun Kota Wisata Batu selalu jadi tempat yang bikin nostalgia jaman kuliah suasananya khas dan adem, jadi spot wajib tiap mampir ke Batu. Sekarang makin ramai dan jajanan makin lengkap! Dari jajanan tradisional sampai kekinian ada semua. Dan yang nggak pernah absen jadi favorit sejak dulu: crepes-nya! Tetap enak, tetap rame, dan selalu jadi pilihan wajib tiap ke sini 🍓🧀 Tapi perlu diingat, kalau weekend, jalanan sekitar alun-alun bisa macet banget dan parkir susah. Disarankan datang lebih awal atau saat hari biasa biar lebih santai. Tetap jadi tempat publik yang seru untuk kulineran, nostalgia, atau sekadar duduk santai di tengah kota yang sejuk.  "
Agritha PN,5,3 bulan lalu,"Kesini pas libur panjang lebaraan. Rame bangeeet, banyak jajanan dan ada pentas gamelan gitu. Parkiran motor bayar 3rb. Sayangnya biang lala sudah tidak beroprasi.  "
Idqa,5,4 bulan lalu,"tempatnya ramai, banyak yg jual jajanan dan makanan, cocok untuk ngabuburit dan jalan2 santai, dekat pasar juga jadi mau makan atau njajan semuanya lengkap  "
Zulfaaa Cantik,5,2 bulan lalu,pertama kali ke alun2 batu rame sekaliiii malam minggu 3 kali putar cuma buat parkir tp sangat2 worth it untuk kuliner nya parkir mobil bayar 5rb kunci nya kalo mau ke sana harus sabar mencari parkir  
M Fajar Aflah,5,sebulan lalu,"Alun-alun baru ini menghadirkan suasana segar dan modern di tengah kota. Dengan desain yang estetis dan fasilitas yang lengkap, tempat ini menjadi destinasi favorit bagi warga untuk bersantai dan berkumpul. Area yang luas dan tertata rapi cocok untuk berbagai aktivitas, mulai dari olahraga ringan, bermain anak-anak, hingga acara komunitas. Penambahan taman hijau dan lampu-lampu estetik membuat suasana semakin nyaman, terutama di malam hari. Selain itu, tersedia banyak pilihan kuliner di sekitar alun-alun yang memanjakan lidah. Kebersihan area juga terjaga dengan baik, memberikan rasa nyaman bagi pengunjung. Alun-alun ini tidak hanya menjadi ikon baru, tetapi juga tempat sempurna untuk menciptakan momen indah bersama keluarga dan teman. Sungguh, sebuah ruang publik yang layak diapresiasi!  "
Charis Nk Rendra,5,3 bulan lalu,"Alum alun yg secara pengelolaan masih biasa saja tidak terlalu rapi namun di sini adalah jentung kuliner di kota Batu, shg cocok bagi wisatawan yg malamnya ingin mencari cemilan atau makanan dan sekedar bersantai dg teman atau keluarga  "
Nurhidayati,5,3 minggu lalu,"BARU Alun-Alun Kota Batu jadi salah satu tempat favorit untuk nongkrong atau jalan-jalan santai. Suasananya seru, ramai, dan penuh kehidupan, terutama di malam hari. Banyak penjual makanan khas, jajanan, dan juga souvenir. Ada bianglala yang jadi ikon dan menarik untuk dicoba. Tempatnya cocok buat keluarga, anak-anak, atau sekadar menikmati udara sejuk Kota Batu. Sayangnya, kadang agak ramai dan parkir agak susah, tapi tetap worth it untuk dikunjungi! Mau versi lebih singkat atau lebih kasual juga bisa, tinggal beri tahu.  "
Febby Filan,5,sebulan lalu, 
Rajab Amali,5,sebulan lalu, 
FeiFei ADH,5,sebulan lalu,"Berjualan bermacam makanan seafood, kacang godog, sate-satean, bakso dan banyak lagi makanan dijual disini. Bahkan ada yang jual bunga, strawberry, murberry  "
Meri Flamboyan,5,4 bulan lalu,"3 kali pulang ke Batu sayangnya bianglalanya masih belum juga diperbaiki. Kamar mandinya terakhir datang kurang bersih. Sisanya oke, enak banget buat nostalgia masa sekolah  "
Dodik Riyanto,5,4 bulan lalu,Sangat tepat membawa keluarga jalan2 disini tempat nya bersih dan terawat bikin betah ber lama lama dan d sekitar alun alun banyak jajanan yg relatif murah 😊 …  
