reviewer_name,rating,date,visit_time,review_text
Sherly Pr,5,sebulan lalu,Hari libur nasional,"Kesini pas tanggal merah hari besar. Tiket masuk per orang 25rb (bisa dituker game/food court di dalam). Bayarnya bisa pake QRIS di kasir masuk. Tiket masuk 25rb terbagi menjadi voucher 2rb (5 lembar) + voucher 5rb (3 lembar). Rekomen menurut saya buat hiburan murah meriah karena di batu biasanya tiket wisata diatas 50rb semua rata2. Kalo wisata di dalam sih banyakan buat anak muda dan anak kecil yah, kalo buat lansia atau orang tua gitu paling ya liat2 aja sambil duduk di food court. Anak saya pas kemari coba playground anak (15rb). Jangan lupa bawa kaos kaki karena kalo ga kudu beli 20rb (termasuk mahal). Terus nyoba mobil muter gitu gatau namanya (10rb). Terus ke kolam renang (15rb per orang jadi kalo ortu ikut ya kudu bayar. Cuma anak saya masih kecil paud jadi gabayar cuma ortu aja yg bayar). Trus nyoba rainbow slide (20rb). Kalo makanan ga nyoba banyak, paling beli es krim cone (10rb), popmie (13rb). Semua bayarnya pake voucher itu ya. Kalo kurang beli di kasir. Cuma lucunya pas beli popmie. Harga kan 13rb. Terus vouchernya cuma kelipatan 2rb dan 5rb. Jadi kudu nambah pake uang tunai biasa (bisa pake qris). Oh ya, ada juga buat beli oleh2 di akhir rute pas jalan mau pulang. Overall menurut saya tempat ini rekomen buat dikunjungi terutama kalo bawa anak kecil mulai usia 1thn ke atas. Kalo buat lansia sih bisa nyewa kursi roda ya.. soalnya jalannya naik turun. Oh ya gaboleh bawa makanan/minuman dari luar seperti mo piknik ya 🤣 kalo macam aer putih mah gapapa."
Tukang Piknik MJK,5,6 hari lalu,,Tempat yang menurut saya sangat recommended untuk berlibur bersama keluarga.. Selain ke jatim park kalau kamu berlibur ke batu jangan lupa mampir ke BEP.. Berlibur banyak wahana bermain dan juga sekalian mengenal beberapa hewan..
Fythatama Giriputra,5,sebulan lalu,Akhir pekan,"Yang menarik dan ingin kembali : - Saat kami kesana saat weekend, tidak ramai seperti perkiraan. - Harga wahana relatif terjangkau. - Bagi anak2, dapat pengalaman baru dengan koleksi ikan raksasa dan reptilnya. - Wahana permainan yang membuat waktu seharian jadi terasa cepat - Foodcourt siap makanan yg ready saat makan siang. Karena saat itu banyak tenant yang kehabisan nasi, mungkin karena tenant ga menyangka banyak pengunjung yang datang makan. Oiya, masjid di area parkir cukup bersih dan terawat. Sehingga nyaman saat beribadah dzuhur dan ashar."
Dian Anggraeni,5,3 minggu lalu,Hari biasa,"Namanya sekarang ganti jadi Batu Ekonomis Park. Gratis tiket masuk, tapi per orang ditarik 25rb dirupakan voucher/kupon untuk pemakaian wahana dan kupon makan. Worth it lah.. Ada mini zoo juga, ada bbrp jenis hewan yg nggak umum seperti monyet Afrika, nutria/tikus raksasa, pari air tawar, dan tentunya buaya si primadona nya. Ada pohon sosis, pohon dari afrika. Asik lah, buat edukasi ke anak juga bisa."
Erfin Handhokho,5,2 minggu lalu,Akhir pekan,Parkir gratis. Hari Sabtu siang ke sana. Agak sepi. Banyak wahana yang tidak aktif. Mungkin karena agak sepi. Harga murah.tiket masuk 25000/Orang. Kalo sudah habis bisa beli tiket langsung. Kalo lapar bisa makan Ada kantin terpusat di tengah. Tidak ada tempat khusus orang merokok. Saran di sediakan. Tidak elok melihat orang merokok sambil jalan atau diduduk di tempat umum. Semoga semakin maju dan inovotiv menyediakan tempat rekreasi yang murah. Pertahankan identitas hemat biayanya.
Hamim eha,4,sebulan lalu,,Dulu namanya predator park sekrang batu ekonomi park dan meriah karena banyak wahanya. Tiket masul sebenarnya free tapi di pintu masuk kamu beli vocuher 25k dan bisa digunakan untuk main wahana. Rate wahana 10-25k rata2 harga 10-15k sih. Anak2 happy karena pilihan wahananya banyak. Rame banyak anak2 paud. Cuma agak ngeri karena buaya ygdi sangkarnya. Sebenarnya aman cuma agak merinding hehee... Kalo mau kesana mending pagi karena cukup panas uey ternyata hehe
Muhammad Zaini,5,3 minggu lalu,Akhir pekan,Beneran ekonomis yaaa... Masuk gratis.. cuma beli voucher 25k aja per orang. Ntar di dalam tinggal tukar utk main di wahana atau utk beli makanan minuman.. kesana pas long weekend MasyaAllah rame beneerrrr
Rita Muji,5,3 bulan lalu,,"Branding dengan nama baru...Batu Ekonomis Park. Sekarang sudah enggak ada tiket terusan. Adanya tiket masuk per orang 25ribu, dapat voucher untuk naik wahana senilai harga tiket. Setelah habis, untuk masuk wahana bisa bayar per wahana. Harga bervariasi. Lumayan hemat juga. Sebagian area cukup bersih. Musholla untuk tempat sholat wanita dan pria terpisah dengan sekat (ini penting sih dan krusial sekali krn di sebagian besar area wisata hanya terpisah sekat setinggi dada, tapi disini bener-bener dibuatin ruangan sendiri). Minusnya orang merokok dimana-mana. Mungkin bisa disediakan smoking area krn sebagian besar pengunjung anak-anak jadi agar udara yang terhirup pun lebih sehat."
Febby Cha,5,3 bulan lalu,Hari biasa,"Udah 3x banget kesini 😆 2x dengan nama Predator Fun Park, hari ini 1x nya dengan branding baru dan ganti nama jadi BEP ( Batu Ekonomis Park ) Menurutku mending gini, karna sebagian besar wahana nya untuk anak-anak, cocok bgt kalau ajak anak main disini jatuhnya lebih murah. Ada 1 wahana baru untuk orang dewasa rainbow slide, tiketnya 20rb/ orang ( bisa dicoba, karna menurutku ini ga begitu tinggi )"
Ali Bahrudin,5,2 bulan lalu,Hari libur nasional,"Muraaaaaah pol, Gratis tiket masuk, Semua wahana juga murah, Yang mahal hanya ice cream 😅 Merk Joyful, di luar biasanya 4000an, disana 12.000an Semoga selalu ramai dan tambah sukses"
