reviewer_name,rating,date,visit_time,review_text
Sherly Pr,5,sebulan lalu,Hari libur nasional,"Kesini pas tanggal merah hari besar. Tiket masuk per orang 25rb (bisa dituker game/food court di dalam). Bayarnya bisa pake QRIS di kasir masuk. Tiket masuk 25rb terbagi menjadi voucher 2rb (5 lembar) + voucher 5rb (3 lembar). Rekomen menurut saya buat hiburan murah meriah karena di batu biasanya tiket wisata diatas 50rb semua rata2. Kalo wisata di dalam sih banyakan buat anak muda dan anak kecil yah, kalo buat lansia atau orang tua gitu paling ya liat2 aja sambil duduk di food court. Anak saya pas kemari coba playground anak (15rb). Jangan lupa bawa kaos kaki karena kalo ga kudu beli 20rb (termasuk mahal). Terus nyoba mobil muter gitu gatau namanya (10rb). Terus ke kolam renang (15rb per orang jadi kalo ortu ikut ya kudu bayar. Cuma anak saya masih kecil paud jadi gabayar cuma ortu aja yg bayar). Trus nyoba rainbow slide (20rb). Kalo makanan ga nyoba banyak, paling beli es krim cone (10rb), popmie (13rb). Semua bayarnya pake voucher itu ya. Kalo kurang beli di kasir. Cuma lucunya pas beli popmie. Harga kan 13rb. Terus vouchernya cuma kelipatan 2rb dan 5rb. Jadi kudu nambah pake uang tunai biasa (bisa pake qris). Oh ya, ada juga buat beli oleh2 di akhir rute pas jalan mau pulang. Overall menurut saya tempat ini rekomen buat dikunjungi terutama kalo bawa anak kecil mulai usia 1thn ke atas. Kalo buat lansia sih bisa nyewa kursi roda ya.. soalnya jalannya naik turun. Oh ya gaboleh bawa makanan/minuman dari luar seperti mo piknik ya 🤣 kalo macam aer putih mah gapapa."
Fythatama Giriputra,5,sebulan lalu,Akhir pekan,"Yang menarik dan ingin kembali : - Saat kami kesana saat weekend, tidak ramai seperti perkiraan. - Harga wahana relatif terjangkau. - Bagi anak2, dapat pengalaman baru dengan koleksi ikan raksasa dan reptilnya. - Wahana permainan yang membuat waktu seharian jadi terasa cepat - Foodcourt siap makanan yg ready saat makan siang. Karena saat itu banyak tenant yang kehabisan nasi, mungkin karena tenant ga menyangka banyak pengunjung yang datang makan. Oiya, masjid di area parkir cukup bersih dan terawat. Sehingga nyaman saat beribadah dzuhur dan ashar."
Dian Anggraeni,5,3 minggu lalu,Hari biasa,"Namanya sekarang ganti jadi Batu Ekonomis Park. Gratis tiket masuk, tapi per orang ditarik 25rb dirupakan voucher/kupon untuk pemakaian wahana dan kupon makan. Worth it lah.. Ada mini zoo juga, ada bbrp jenis hewan yg nggak umum seperti monyet Afrika, nutria/tikus raksasa, pari air tawar, dan tentunya buaya si primadona nya. Ada pohon sosis, pohon dari afrika. Asik lah, buat edukasi ke anak juga bisa."
Erfin Handhokho,5,2 minggu lalu,Akhir pekan,Parkir gratis. Hari Sabtu siang ke sana. Agak sepi. Banyak wahana yang tidak aktif. Mungkin karena agak sepi. Harga murah.tiket masuk 25000/Orang. Kalo sudah habis bisa beli tiket langsung. Kalo lapar bisa makan Ada kantin terpusat di tengah. Tidak ada tempat khusus orang merokok. Saran di sediakan. Tidak elok melihat orang merokok sambil jalan atau diduduk di tempat umum. Semoga semakin maju dan inovotiv menyediakan tempat rekreasi yang murah. Pertahankan identitas hemat biayanya.
Muhammad Zaini,5,3 minggu lalu,Akhir pekan,Beneran ekonomis yaaa... Masuk gratis.. cuma beli voucher 25k aja per orang. Ntar di dalam tinggal tukar utk main di wahana atau utk beli makanan minuman.. kesana pas long weekend MasyaAllah rame beneerrrr
Febby Cha,5,3 bulan lalu,Hari biasa,"Udah 3x banget kesini 😆 2x dengan nama Predator Fun Park, hari ini 1x nya dengan branding baru dan ganti nama jadi BEP ( Batu Ekonomis Park ) Menurutku mending gini, karna sebagian besar wahana nya untuk anak-anak, cocok bgt kalau ajak anak main disini jatuhnya lebih murah. Ada 1 wahana baru untuk orang dewasa rainbow slide, tiketnya 20rb/ orang ( bisa dicoba, karna menurutku ini ga begitu tinggi )"
Ali Bahrudin,5,2 bulan lalu,Hari libur nasional,"Muraaaaaah pol, Gratis tiket masuk, Semua wahana juga murah, Yang mahal hanya ice cream 😅 Merk Joyful, di luar biasanya 4000an, disana 12.000an Semoga selalu ramai dan tambah sukses"
Rafi Maharani,5,3 bulan lalu,Hari biasa,Branding nama jadi BEP. Sangat rekomen!! Tiket 25rb bisa ditukerin tiket wahana dan makanan. Dateng Jumat pagi masih sepiii karena baru buka anak seneng mainnya. Blm coba wahana yg lain si cuma kereta aja tapi so far seneng karena terjangkau. Semoga semakin ramai yaa. Oh iya parkir gratis juga. Bakal jadi langganan kalo anak mau renang 💯
7 Safitri,5,2 bulan lalu,Akhir pekan,"Murah meriah, Gratis parkir, htm 25.000 dapet voucher yang bisa dituker tiket wahana maupuan makanan dan minuman Banyak pilihan wahana yang tentunya bikin puas dan lupa wakti. Suasana menyenangkan. Pokoknya worth it banget liburan kesini, harus cobain! ✨👍👍 Sesuai dengan tagline, ekonomis dan tetap berkualitas 😍 Anak happy ortu jg happy. Sukses selalu buat kita 😇"
Mitha Choir,5,2 bulan lalu,Akhir pekan,"Sangat ekonomis, harga tiket 25rb yang bisa dipakai untuk naik wahana atau beli makanan. Cocok untuk anak². Hanya saja untuk orang dewasa sangat sedikit permainannya. Tapi menu makanan food court nya sangat banyak dan termasuk murah untuk tempat wisata."
Puput,4,sebulan lalu,Akhir pekan,"tempat nya bersih dan nyaman, banyak wahana² yang cocok buat anak kecil.. buat orang dewasa juga ada, tapi masih blum banyak.. yang paling seru ya rainbow slide✨ rekomended bnget buat liburan keluarga, soalnya ada pertunjukan feeding buaya dan kolam renang buat anak². udah ada food court nya juga deket kolam renang. bisa kasih makan rusa, keledai secara langsung😁"
Bonaventura Ferry,5,sebulan lalu,Akhir pekan,"Sesuai dengan namanya Batu Ekonomis Park, tempat hiburan yang ramah di kantong dan cukup nyaman, walau tidak begitu luas, penataannya baik. Di pintu masuk kita ditarik 25rb untuk diganti dengan voucher. Anak dengan tinggi 85 cm sudah dihitung ya. Untuk Voucher Bisa dipakai untuk beli makanan dan untuk bermain anak. Voucher terdiri dari nominal 2000 5buah nominal 5000 3buah. Sangat disarankan bagi yang pingin mengajak anak2x berwisata tanpa merogoh kocek yang banyak. Permainan mulai dari 5rb sampai 25rb.. Semoga semakin berkembang ya BEP"
Yusi Rizki Gustiesa,5,2 bulan lalu,Hari libur nasional,"Batu Economis Park, dulunya Predator Fun Park adalah pilihan wisata keluarga yang sangat ramah di kantong tapi tetap menyenangkan. Tempat ini punya konsep taman hiburan mini dengan berbagai wahana sederhana yang cocok untuk anak-anak. Saat saya berkunjung, suasananya cukup ramai tapi tetap nyaman karena areanya cukup luas dan terbuka. Ada beberapa tontonan hewan di antaranya buaya - buaya yang dulu qda di predator fun park. Ada juga kolam renang yang bisa menjadi tempat hiburan anak. Tiket masuknya sangat terjangkau, sesuai dengan namanya ""economis"", jadi pas buat liburan hemat. Di dalam juga ada beberapa warung yang menjual makanan ringan dan minuman, jadi nggak perlu khawatir kalau lapar. Tempat duduk juga tersedia di beberapa titik, cocok buat orang tua yang mau istirahat sambil menunggu anak bermain. ❗ Saran: Datang pagi atau sore biar nggak terlalu panas, dan sebaiknya bawa topi atau payung karena banyak area terbuka tanpa atap."
andre junio,4,3 bulan lalu,Akhir pekan,"Dulunya ini. Predatorfun park. Tapi skrg d ganti batu. Ekonomis park Sistem tiketnya 25rb per orang ( sepertinya. Tidak Beli tidak apa"") kalau niat Jalan"" Aja. Namun jika ingin naik wahana beli voucher dulu, beli makan d sana pakai sistem kartu isi ulang ( mirip kartu game zone). Enak gini yg tua"" Jadi cukup jalan"" Aja. Jadi lebih hemat. Cocok sih di namakan batu ekonomis park"
Savira Qurrota A'yun,4,3 minggu lalu,Akhir pekan,"Waktu weekend sangat ramai hampir padat, cocok untuk anak-anak. Untuk mushollanya tolong lebih diperluas/diperlebar lagi karna dengan segitu banyaknya orang yang mau sholat itu menunggu gilirannya lumayan lama, trus juga tempat wudhu dan kamar mandi disekitar tempat wudhu itu sempit sekali masa tempat bermainnya luas tapi tempat sholat dan tempat wudhunya kecil sempit🙏 overall oke"
Siti Munawaroh,5,2 bulan lalu,Hari biasa,Batu Ekonomi Park sangat cocok untuk bermain anak anak.. tiket sangat terjangkau.. puas deh pokoknya.
surya wijaya,5,2 bulan lalu,Hari libur nasional,"Bawa bocil ke sini pasti senang minta ampun. Dgn harga tiket 25k yg bisa ditukarkan dgn makanan ato tiket mainan, tempat ini sangat worth it banget utk dikunjungi. Tempat nya luas, pelayanan ramah, parkir luas, kamsr mandi cukup bersih. Bener2 recommended banget deh."
