reviewer_name,rating,date,visit_time,review_text
Ferry Fatchurrozi,5,3 bulan lalu,Hari biasa,"Pengalaman Pertama Di BALOGA Tempat lumayan luas banyak permainan terutama buat anak kecil. Tiket masuk reguler 50.000 dan Terusan 90.000 beruntung ada promo lewat aplikasi traveloka disc 15% jadi mending cek harga tiketnya di aplikasi. Parkir Cukup bayar 5rb, mending pakai terusan lebih hemat karena tiap wahana rata2 harganya15.000 seperti rainbow slide. Saran bawa stroller dan topi, tidak diperbolehkan membawa makanan dr luar tapi kalau minum boleh. Kolam renang super luas dan pemandangan bagus ada Playground gratis juga"
hatris soe,5,sebulan lalu,Hari biasa,
Dwi Andra,5,sebulan lalu,Hari biasa,
Pernah Bobo Sini,4,2 bulan lalu,,"Selain wahana permainan, juga ada wisata edukasi aneka tanaman bunga dan buah. Juga display aneka serangga dan aktivitas yang berhubungan dengan botani. Kalo kesini lebih baik beli tiket terusan aja biar bisa naik wahana daripada bayar satu persatu tiketnya. Lumayan bikin kaki pegel karena jalan kaki lumayan jauh. View dari atas bianglala-nya cakep banget."
Izzati Winda,5,3 bulan lalu,Hari biasa,"Suasana tenang cocok untuk pasangan atau keluarga. Meskipun biaya masuk relatif mahal dan rame pada hari libur. Ada water park untuk anak, bianglala, green house, seluncuran viral, dll."
Ferdian PPF,5,2 bulan lalu,Akhir pekan,Salah satu tempat wisata di Kota Batu. Pas weekend kemaren kesana tiket masuk 90 ribu per orang. Tinggi anak > 85 cm sudah dikenakan biaya full. Overall recomended wisata kesini
Cindy Nikita,4,sebulan lalu,Akhir pekan,"tempatnya luass dan bagus, cuma pas kesana beberapa mainan sperti roller coaster tdk berfungsi jd tdk bs dipakai."
Kenzi Arianti,5,sebulan lalu,Akhir pekan,"Wahananya seru dan banyak sekali, tempatnya sangat luas, mirip dengan Santera de Laponte, apalagi ada parade mobil hias dan dancer. Pokoknya seru deh, rugi kalo gk kesini."
Lavinia Anyak,5,sebulan lalu,Hari biasa,"Tempat bagus , tiket nya juga ga mahal masih pada umumnya. Tapi masih banyak renovasi di dalam.. ada juga wahana untuk anak-anak dan dewasa"
Chera Octaviani,4,sebulan lalu,Hari biasa,"Tidak rencana datang kesini, sambil menunggu jam kepulangan, sehabis cari kos2 an buat anak."
Diana,5,4 bulan lalu,Hari biasa,
Handri Iryanto,5,3 bulan lalu,Akhir pekan,"Tempatnya luas, banyak pengetahuan buah²n, wahana nya cukup banyak, anak ya lihat ikan di akuarium, ada kelinci, kuda, kambing. Jam 9 pagi ada penampilan dance selamat datang, terus jam 11 dan jam 2 siang ada parade juga, kemarin saya ambil tiket terusan 90k, dapat voucher utk di cafe green dan pool cafe masing² 5k. Ada wahana lain yg harus berbayar juga, contoh naik unta, kuda. Kemarin anak² naik unta masing² byr 20k. Ada kolam renang nya juga. Yang g bawa baju buat renang bisa sewa disana."
Fitria Rahani,5,3 bulan lalu,Hari libur nasional,Ke Baloga pas liburan hari raya idul Fitri 2025. Anak² banyak belajar tentang jenis tanaman dan buah²an. Tiket masuk peak season 100rb free semua wahana.
Bunda Kinara,5,4 bulan lalu,Hari biasa,"Konsepnya bagus banget cuma belum jadi secara utuh. Pohon2 di area edukasi buah2an belum cukup tinggi bahkan berbuah. Utk luasannya pas aja. Ga cape juga mengeksplor semua area. Pun ga terlalu kecil. Kebersihan oke, kerapihan dan padu padan warna ceria sekali. Cocok bawa keluarga dan anak2. HTM Ramadhan murmee banget 25k aja"
Sandy Kartika,5,3 bulan lalu,Hari biasa,"tempat yg seru, bersih, edukatif, pelayanan bagus.. untuk bisa naik unta dan kuda kecil harus bayar lagi 20rb/orang meskipun udah beli tiket terusan 90rb 🥲"
DE CESA,5,3 bulan lalu,,"Salah satu destinasi wisata di batu, malang.. Ada taman bunga dan wahana bermain.. Harga tiket masuk 50k (regular) dan 90k (terusan). Sejuk dan cocok untuk liburan bersama keluarga.."
mochammad Erwin,5,sebulan lalu,Hari biasa,"Tiket lebih murah 50k, Terusan95k. Bagus dan banyak penambahan wahana baru dan kolam renang yg luas"
Anto Herman,5,3 bulan lalu,Akhir pekan,Banyak pilihan wahananya. Tiket terusannya terjangkau. Ada parade jam 11 dan jam 2. Ada kolam renang juga. Buka hingga jam 16.30WIB.
Gustria Weka Nareswara,5,sebulan lalu,Hari biasa,"Datang weekday, nyaman karena tidak begitu ramai. Over years, Sudah banyak perbaikan dan penambahan sana sini, sehingga pengunjung lebih nyaman dan tidak bosan. Thank you Baloga, sukses selalu dan makin ramai."
Hendri Taryono,5,6 bulan lalu,Hari libur nasional,"Sangat berkesan berkunjung ke Batu Love Garden, didalamnya banyak beragam flora yg unik dan jarang ditemui, disarankan datang agak pagi biar gak antri dan bisa berkeliling sepuasnya dg menyewa e-bike, staf nya ramah dan cekatan membantu ketika ada kendala pada e-bike, suasananya cukup teduh dan kebersihannya juga cukup terjaga, didalam terdapat banyak wahana permainan yg bisa dicoba"
Ika Sasmita,4,sebulan lalu,,
Syifa Adhilah,4,7 bulan lalu,Hari biasa,"Lebih baik beli tiket masuk aja, bukan tiket terusan. Beberapa wahana memang gratis tapi kebanyakan untuk anak-anak dan beberapa hanya diskon. Bagus sih, tapi menurut saya beberapa desain harus diperhatikan untuk pendidikan anak-anak"
Septa Rahadian,5,3 bulan lalu,,Overall rempatnya bagus untuk menghabiskan waktu bersama keluarga. Banyak edukasi mengenai tanaman dan buah buahan serta bagaimana cara² bercocok tanam yg baik. Wahana bermain anak pun juga banyak. Over all best lah
Kartika Sari,4,6 bulan lalu,Akhir pekan,"Promo akhir tahun tiket terusan 90 rb per org. Bisa nunggang camel. Tapi tidak termasuk tiket terusan. Wahana cukup beragam (rainbow slide, flying bee, bom2 car, classic car, flying wheel,taman estetik"
Yohanes Hery,5,sebulan lalu,Akhir pekan,"liburan boleh di coba mampir ke sana, asyik juga kok, banyak bunga bunga yang sangat cantik, permainan juga ada tapi tidak banyak."
Ghufron Ron,4,3 bulan lalu,Hari libur nasional,Taman hiburan yg menyenangkan dan bisa untuk edukasi anak harga tiket untuk hari libur nasional/hari besar 100rb per orang untuk tiket terusan (3xpermainan)
Deni,4,sebulan lalu,Hari libur nasional,Sekitar 7 km dari jatim park 3. Cukup hijau dan ada water park.
APW,5,3 bulan lalu,Hari libur nasional,Tempatnya indah dan asri. Dapat melihat dan mengenal berbagai tanaman dan buah-buahan. Koleksi berbagai macam batu-batuan dari manca negara.
wini afrianti,5,3 bulan lalu,Akhir pekan,"Ternyata sekarang udah nambah banyak wahananya, ada rainbow slide, sky wheel, ada kolam renang buat anak anak yang luas dan istana balon juga, kereen"
addiena amru,5,11 bulan lalu,Akhir pekan,"dua kali datang ke sini bareng anggota keluarga, dan kedua pengalamannya sangat baik. karena datang pas weekend, aku dapat tiket 90k (kalau weekdays 50k). harga tsb dapet apa aja? ✅ free tur keliling baloga tanpa guide ✅ akses gratis ke beberapa wahana, seperti roller coaster, lebah terbang, bianglala, dan rainbow slide. ✅ voucher minuman 5k ✅ flower parade (khusus weekend) ❌ tidak termasuk sewa e-bike ❌ tidak termasuk biaya naik unta ❌ tidak termasuk biaya beberapa permainan lain dari pintu masuk, pengunjung akan menjelajah ruangan demi ruangan dengan tema berbeda. mulai dari spot instalasi bunga kering, bunga artifisial, ruangan bertema kasih sayang, hingga akhirnya ke area outdoor, di mana terdapat buanyak flora serta beberapa fauna dari berbagai negara. koleksi flora-nya pun diberi keterangan nama spesies+negara+fun facts yang interaktif, jadi bisa belajar. kalau ada kesempatan, mau banget main lagi ke sini🌷🪻🌻"
Jovan Arsenio,4,3 bulan lalu,Akhir pekan,Tapi sayang cuaca tidak mendukung karna hujan deras... Harga tiket juga terjangkau
Indah Sovyana,4,7 bulan lalu,Hari biasa,"Rekomended buat anak-anak dengan nuansa alam yang sejuk, banyak taman bunga, tempatnya masih baru dan bersih, banyak wahana yang bisa diikuti anak-anak, swimmingpool anak, naik unta, rainbow slide, dll"
Creative Mega Dinamis,5,6 bulan lalu,,
Ali Hamzah,5,setahun lalu,Hari libur nasional,
Mita Rosanti,5,setahun lalu,Akhir pekan,"Wahana liburan bukan hanya sekedar taman, tapi banyak wahana permainan juga ramah anak dan juga bisa dinikmati bagi orang dewasa, -tiket person 80rb sudah gratis beberapa wahana permainan. -wahana yg asyik lebah terbang bisa menikmati view dan naikin adrenalin.., bom2carnya , rainbow slide. Cactus Gardennya intsagramebel banget...., - ada fasilitas musola dideket wahan tapi kecil banget hanya cukup 4 orang. Mohon kepada pihak @balogaofficial musolanya agar bisa dikembangkan..lebih nyaman dan agak dilebarin."
Azkaawesome Zachroni,5,setahun lalu,Akhir pekan,
Daniel Agus,4,setahun lalu,,"Hari terakhir liburan. Awalnya sih gak ada niat ke sini. Tau sendiri th baru bgm kan? Mau ke pujon macet, balik ke batu eh macet juga. Jam makin siang akhirnya mau pulang aja. Lewat Baloga, belok aja deh drpd hari terakhir zonk. Blm pernah ke sini juga. Dpt parkir luar. Parkir R4 10k. HTM 110k/org (mungkin pas high season). Dpt voucher buat beli minuman di salah satu kafe di dalam. Area awal indoor isinya ragam bentuk dan model rangkaian hiasan bunga. Area selanjutnya rute outdoor keliling kebun buah dan bunga. Kebanyakan sih beragam tanaman buah. Sayang sebagian besar tanaman2nya msh kecil jd kita gak kelihatan buahnya. Kl toh ada juga ada larangan untuk memetik buahnya 😁. Lumayan lah buat nambah ilmu soal tanaman buah. Setelah acara pawai, kita lanjut jalan lagi keliling area. Ada area feeding animal juga lho di bbrp titik. Rata2 burung/unggas sih. Ada merak, ada flamingo. Di area belakang spt tempat lain ada area wahana bermain. Ada bbrp wahana yg bs coba gratis. Yg berbayar tunggang kuda poni dan tunggang unta. O ya, ada mini train gratis yg bs kita naiki. Rutenya keliling area kebun. Dewasa jg boleh naik. Pos nya di depan area hidroponik. Untuk area makan dan cemilan ada bbrp spot. Rupa dan harga serta rasa ya spt kebanyakan area di jatim park grup. Eksplorasi kita agak krg maksimal krn memang nyampe situ dah jam stgh 1 krn muter2 kena macet tadi. Di luar area ada pusat kuliner dan oleh2 di bangunan gede yg terpisah. Kita lihat ada bnyk warung2 dan beragam oleh2 khas batu/malang. Ada jeep tour juga. Scr keseluruhan sih tempat ini lumayan juga ternyata. Hanya mungkin tiketnya aja pas peak season spt kmrn kl bs 100k aja maksimal 😅"
Sonyarmy 1978,4,2 bulan lalu,,Ada sewa sepeda listrik 250 rb 2 penumpang untuk 3 jam. Tidak ada resto yg proper untuk makan siang. Jam 11 ada parade kalo libur
Royals Capital,4,4 bulan lalu,,"Permainannya ga terlalu seru, banyak yg maintenance juga selama puasa."
hanifa nofika,5,setahun lalu,,
Dhayita Sitoresmi,5,setahun lalu,Akhir pekan,"- Kita datang pas weekend menjelang siang, suasana gak begitu ramai malah cenderung sepi, jadi gak perlu ngantri di loket. - Disana disediakan e-bike buat kalian yang susah atau males jalan kaki, menurut saya harga sewa agak overpriced untuk area wisata yang sebenernya gak besar-besar banget. - Oh iya, gak jauh dari entrance ada cafe orchid yg menyediakan snack dan minuman. Pembelian tiket udah disertai voucher 5 ribu. - Overall it was a good experience, banyak tempat duduk jadi gampang kalo mau istirahat, toilet juga banyak dan kalo naik bianglala kita bisa liat pemandangan bukit/gunung yang bagus, asal cuaca lagi cerah. - Recommended buat yang butuh healing jalan kaki gak begitu jauh sambil liat banyak tanaman hijau. 4.7/5!"
Eva Nur Chanifah,5,setahun lalu,Hari libur nasional,"Jalannya jauh, viewnya banyak, sepadan sama harga tiketnya. Memang jatimpark grup kalau bikin wahana tempat wisata sangat niat sekali bahkan detail kecil2 yang orang lain sebenarnya tidak notis. Terasa asri dan penuh, wahana tidak ada yg kopongan, tidak ada kesan gersang."
