reviewer_name,rating,date,visit_time,review_text
Ferry Fatchurrozi,5,3 bulan lalu,Hari biasa,"Pengalaman Pertama Di BALOGA Tempat lumayan luas banyak permainan terutama buat anak kecil. Tiket masuk reguler 50.000 dan Terusan 90.000 beruntung ada promo lewat aplikasi traveloka disc 15% jadi mending cek harga tiketnya di aplikasi. Parkir Cukup bayar 5rb, mending pakai terusan lebih hemat karena tiap wahana rata2 harganya15.000 seperti rainbow slide. Saran bawa stroller dan topi, tidak diperbolehkan membawa makanan dr luar tapi kalau minum boleh. Kolam renang super luas dan pemandangan bagus ada Playground gratis juga"
hatris soe,5,sebulan lalu,Hari biasa,
Dwi Andra,5,sebulan lalu,Hari biasa,
Izzati Winda,5,3 bulan lalu,Hari biasa,"Suasana tenang cocok untuk pasangan atau keluarga. Meskipun biaya masuk relatif mahal dan rame pada hari libur. Ada water park untuk anak, bianglala, green house, seluncuran viral, dll."
Ferdian PPF,5,2 bulan lalu,Akhir pekan,Salah satu tempat wisata di Kota Batu. Pas weekend kemaren kesana tiket masuk 90 ribu per orang. Tinggi anak > 85 cm sudah dikenakan biaya full. Overall recomended wisata kesini
Cindy Nikita,4,sebulan lalu,Akhir pekan,"tempatnya luass dan bagus, cuma pas kesana beberapa mainan sperti roller coaster tdk berfungsi jd tdk bs dipakai."
Kenzi Arianti,5,sebulan lalu,Akhir pekan,"Wahananya seru dan banyak sekali, tempatnya sangat luas, mirip dengan Santera de Laponte, apalagi ada parade mobil hias dan dancer. Pokoknya seru deh, rugi kalo gk kesini."
Lavinia Anyak,5,sebulan lalu,Hari biasa,"Tempat bagus , tiket nya juga ga mahal masih pada umumnya. Tapi masih banyak renovasi di dalam.. ada juga wahana untuk anak-anak dan dewasa"
Chera Octaviani,4,sebulan lalu,Hari biasa,"Tidak rencana datang kesini, sambil menunggu jam kepulangan, sehabis cari kos2 an buat anak."
Diana,5,4 bulan lalu,Hari biasa,
Handri Iryanto,5,3 bulan lalu,Akhir pekan,"Tempatnya luas, banyak pengetahuan buah²n, wahana nya cukup banyak, anak ya lihat ikan di akuarium, ada kelinci, kuda, kambing. Jam 9 pagi ada penampilan dance selamat datang, terus jam 11 dan jam 2 siang ada parade juga, kemarin saya ambil tiket terusan 90k, dapat voucher utk di cafe green dan pool cafe masing² 5k. Ada wahana lain yg harus berbayar juga, contoh naik unta, kuda. Kemarin anak² naik unta masing² byr 20k. Ada kolam renang nya juga. Yang g bawa baju buat renang bisa sewa disana."
Fitria Rahani,5,3 bulan lalu,Hari libur nasional,Ke Baloga pas liburan hari raya idul Fitri 2025. Anak² banyak belajar tentang jenis tanaman dan buah²an. Tiket masuk peak season 100rb free semua wahana.
Bunda Kinara,5,4 bulan lalu,Hari biasa,"Konsepnya bagus banget cuma belum jadi secara utuh. Pohon2 di area edukasi buah2an belum cukup tinggi bahkan berbuah. Utk luasannya pas aja. Ga cape juga mengeksplor semua area. Pun ga terlalu kecil. Kebersihan oke, kerapihan dan padu padan warna ceria sekali. Cocok bawa keluarga dan anak2. HTM Ramadhan murmee banget 25k aja"
Sandy Kartika,5,3 bulan lalu,Hari biasa,"tempat yg seru, bersih, edukatif, pelayanan bagus.. untuk bisa naik unta dan kuda kecil harus bayar lagi 20rb/orang meskipun udah beli tiket terusan 90rb 🥲"
mochammad Erwin,5,sebulan lalu,Hari biasa,"Tiket lebih murah 50k, Terusan95k. Bagus dan banyak penambahan wahana baru dan kolam renang yg luas"
Anto Herman,5,3 bulan lalu,Akhir pekan,Banyak pilihan wahananya. Tiket terusannya terjangkau. Ada parade jam 11 dan jam 2. Ada kolam renang juga. Buka hingga jam 16.30WIB.
Gustria Weka Nareswara,5,sebulan lalu,Hari biasa,"Datang weekday, nyaman karena tidak begitu ramai. Over years, Sudah banyak perbaikan dan penambahan sana sini, sehingga pengunjung lebih nyaman dan tidak bosan. Thank you Baloga, sukses selalu dan makin ramai."
Hendri Taryono,5,6 bulan lalu,Hari libur nasional,"Sangat berkesan berkunjung ke Batu Love Garden, didalamnya banyak beragam flora yg unik dan jarang ditemui, disarankan datang agak pagi biar gak antri dan bisa berkeliling sepuasnya dg menyewa e-bike, staf nya ramah dan cekatan membantu ketika ada kendala pada e-bike, suasananya cukup teduh dan kebersihannya juga cukup terjaga, didalam terdapat banyak wahana permainan yg bisa dicoba"
Syifa Adhilah,4,7 bulan lalu,Hari biasa,"Lebih baik beli tiket masuk aja, bukan tiket terusan. Beberapa wahana memang gratis tapi kebanyakan untuk anak-anak dan beberapa hanya diskon. Bagus sih, tapi menurut saya beberapa desain harus diperhatikan untuk pendidikan anak-anak"
Kartika Sari,4,6 bulan lalu,Akhir pekan,"Promo akhir tahun tiket terusan 90 rb per org. Bisa nunggang camel. Tapi tidak termasuk tiket terusan. Wahana cukup beragam (rainbow slide, flying bee, bom2 car, classic car, flying wheel,taman estetik"
Yohanes Hery,5,sebulan lalu,Akhir pekan,"liburan boleh di coba mampir ke sana, asyik juga kok, banyak bunga bunga yang sangat cantik, permainan juga ada tapi tidak banyak."
Ghufron Ron,4,3 bulan lalu,Hari libur nasional,Taman hiburan yg menyenangkan dan bisa untuk edukasi anak harga tiket untuk hari libur nasional/hari besar 100rb per orang untuk tiket terusan (3xpermainan)
Deni,4,sebulan lalu,Hari libur nasional,Sekitar 7 km dari jatim park 3. Cukup hijau dan ada water park.
APW,5,3 bulan lalu,Hari libur nasional,Tempatnya indah dan asri. Dapat melihat dan mengenal berbagai tanaman dan buah-buahan. Koleksi berbagai macam batu-batuan dari manca negara.
wini afrianti,5,3 bulan lalu,Akhir pekan,"Ternyata sekarang udah nambah banyak wahananya, ada rainbow slide, sky wheel, ada kolam renang buat anak anak yang luas dan istana balon juga, kereen"
addiena amru,5,11 bulan lalu,Akhir pekan,"dua kali datang ke sini bareng anggota keluarga, dan kedua pengalamannya sangat baik. karena datang pas weekend, aku dapat tiket 90k (kalau weekdays 50k). harga tsb dapet apa aja? ✅ free tur keliling baloga tanpa guide ✅ akses gratis ke beberapa wahana, seperti roller coaster, lebah terbang, bianglala, dan rainbow slide. ✅ voucher minuman 5k ✅ flower parade (khusus weekend) ❌ tidak termasuk sewa e-bike ❌ tidak termasuk biaya naik unta ❌ tidak termasuk biaya beberapa permainan lain dari pintu masuk, pengunjung akan menjelajah ruangan demi ruangan dengan tema berbeda. mulai dari spot instalasi bunga kering, bunga artifisial, ruangan bertema kasih sayang, hingga akhirnya ke area outdoor, di mana terdapat buanyak flora serta beberapa fauna dari berbagai negara. koleksi flora-nya pun diberi keterangan nama spesies+negara+fun facts yang interaktif, jadi bisa belajar. kalau ada kesempatan, mau banget main lagi ke sini🌷🪻🌻"
Jovan Arsenio,4,3 bulan lalu,Akhir pekan,Tapi sayang cuaca tidak mendukung karna hujan deras... Harga tiket juga terjangkau
Indah Sovyana,4,7 bulan lalu,Hari biasa,"Rekomended buat anak-anak dengan nuansa alam yang sejuk, banyak taman bunga, tempatnya masih baru dan bersih, banyak wahana yang bisa diikuti anak-anak, swimmingpool anak, naik unta, rainbow slide, dll"
Ali Hamzah,5,setahun lalu,Hari libur nasional,
Mita Rosanti,5,setahun lalu,Akhir pekan,"Wahana liburan bukan hanya sekedar taman, tapi banyak wahana permainan juga ramah anak dan juga bisa dinikmati bagi orang dewasa, -tiket person 80rb sudah gratis beberapa wahana permainan. -wahana yg asyik lebah terbang bisa menikmati view dan naikin adrenalin.., bom2carnya , rainbow slide. Cactus Gardennya intsagramebel banget...., - ada fasilitas musola dideket wahan tapi kecil banget hanya cukup 4 orang. Mohon kepada pihak @balogaofficial musolanya agar bisa dikembangkan..lebih nyaman dan agak dilebarin."
Azkaawesome Zachroni,5,setahun lalu,Akhir pekan,
Dhayita Sitoresmi,5,setahun lalu,Akhir pekan,"- Kita datang pas weekend menjelang siang, suasana gak begitu ramai malah cenderung sepi, jadi gak perlu ngantri di loket. - Disana disediakan e-bike buat kalian yang susah atau males jalan kaki, menurut saya harga sewa agak overpriced untuk area wisata yang sebenernya gak besar-besar banget. - Oh iya, gak jauh dari entrance ada cafe orchid yg menyediakan snack dan minuman. Pembelian tiket udah disertai voucher 5 ribu. - Overall it was a good experience, banyak tempat duduk jadi gampang kalo mau istirahat, toilet juga banyak dan kalo naik bianglala kita bisa liat pemandangan bukit/gunung yang bagus, asal cuaca lagi cerah. - Recommended buat yang butuh healing jalan kaki gak begitu jauh sambil liat banyak tanaman hijau. 4.7/5!"
Eva Nur Chanifah,5,setahun lalu,Hari libur nasional,"Jalannya jauh, viewnya banyak, sepadan sama harga tiketnya. Memang jatimpark grup kalau bikin wahana tempat wisata sangat niat sekali bahkan detail kecil2 yang orang lain sebenarnya tidak notis. Terasa asri dan penuh, wahana tidak ada yg kopongan, tidak ada kesan gersang."
riarhmdn,5,8 bulan lalu,Hari biasa,"kebetulan sepi karena datang di hari jum’at siang dan tempatnya memang family friendly, anak-anak bisa belajar bermacam-macam flora fauna dan terdapat banyak wahana yang seru"
Nur Isnaini,4,3 bulan lalu,Hari biasa,"Pwanas.. Kurang banyak tempat meneduhnya.. Kolam renangnya apalgi.. Panas poll, selebihnya ok sih"
purbowati “Ipung” ningsih,5,setahun lalu,Akhir pekan,Sekarang sudah ada tiket terusannya. Wahananya semakin banyak dan sedang dibangun kolam renang. Disarankan membeli tiket terusan karena wahana banyak yang kids friendly jadi anak anak bisa memainkan semua wahana
Barep Pratama,3,setahun lalu,Akhir pekan,"Kita mulai perjalanan dari Kota Malang sekitar 20 menit. Akses jalan bagus dan lokasi mudah ditemukan karena merupakan jalan utama. Parkiran luas terdapat 2 area di dalam dan diluar. Untuk area parkir diluar cukup lumayan jika jalan kaki. Kebetulan kemarin kami bisa masuk dan parkir didalam didepan pintu masuk. Harga tiket Rp. 110.000,00/org (weekend). Kesan pertama memasuki area wisata sejuk bangett...banyak bunga disepanjang jalan. Toilet bersih fan terdapat pada beberapa area. Dengan harga tersebut saya rasa bisa dikatakan overprice jika dibandingkan dengan jatimpark group yang lain. Karena jumlah wahana terbatas. Faktor yang menarik ketika weekend adalah adanya flower parade dengan jadwal pukul 11.00 dan 14.00. Ketika kami disana bersamaan dengan adanya festival drumband anak TK. Hingga pukul 11.30 flower festival blm dimulai dan akhirnya kami memutuskan untuk makan dulu di foodcourt depan karena semua area sudah kita kelilingi. Ketika kami kembali pukul 13.45 ternyta flower parade sudah mau selesai. Jadwal dimajukan dan jadwal jam 14.00 tidak diadakan lagi. Jujur....kami sangattt sangatt kecewa. Saran : Jika memang ada pengumuman terkait hal diatas, sebaiknya ditambahkan pengeras suara hingga ke parkiran dan food court (lebih baik jika bisa cover semua area) karena kami tidak mendengar pengumuman adanya perubahan jadwal flower parade pada hari tersebut."
Violita Angelina,5,setahun lalu,Hari libur nasional,"Kesini pas high season, ticket price @ 100k / adult. Udah free naik wahana-wahana yang ada di dalam. Good place. Lagi-lagi kita makan siang di dalam sini dan dapat rasanya enak banget. Yang belom kesampaian kemarin mau naik unta, tapi udah keburu hujan sampai sore akhirnya kita berteduh sambil makan sambil jajan dan tiba-tiba udah jam tutup aja. Buka nya cuman sampai 16.30 gaes. Jadi kalau mau puas, better kalian datang kesini jangan terlalu siang. Di dalamnya ada juga yg jual tanaman hias, buah tangan hasil kerajinan gitu and many more. Kemarin kita bungkus kaktus lucu-lucu, harga 100k dapat 3 macem. So cute! 🤩"
