reviewer_name,rating,date,visit_time,review_text
Dwi tirta,5,seminggu lalu,Hari biasa,
istiardi channel,5,sebulan lalu,Akhir pekan,"Wahana bermain yang cocok buat keluarga,temen,sahaba6,pacar atau kolega tercinta banyak wahana yg disediakan lebih seru kalau sudah sore jelang malam dengan lampu warna warni di tiap wahana yg ada.untuk tiket harga lumayan masih terjangkau dikantong."
beny kurnia,5,3 bulan lalu,Hari biasa,"Wahananya cukup beragam, ada yang menantang adrenalin, ada juga yang santai dan cocok untuk keluarga. Tiket masuknya cukup terjangkau, dan banyak wahana yang bisa dinikmati tanpa harus mengeluarkan biaya tambahan, membuat kunjungan jadi lebih hemat dan menyenangkan. Yang tak kalah menarik, di dalam kawasan BNS juga tersedia area oleh-oleh dengan harga yang relatif lebih terjangkau. Bahkan, jika dibandingkan dengan tempat oleh-oleh yang biasa disinggahi rombongan bus wisata, harga di sini cenderung lebih murah. Pilihannya pun cukup lengkap, mulai dari makanan khas, souvenir, hingga kerajinan tangan. Secara keseluruhan, Batu Night Spectacular adalah pilihan yang tepat untuk menghabiskan malam di Batu. Dengan suasana yang menyenangkan, wahana yang variatif, serta fasilitas pendukung seperti area oleh-oleh yang ramah kantong, tempat ini layak menjadi destinasi wajib saat berlibur ke Kota Batu."
QQA,5,sebulan lalu,Hari biasa,"Bagus, sampe bingung mau poto dimana karena terlalu banyak spot poto yang cantik, cukup banyak wahana yang bisa dinikmati. Parkir luas, ada tempat makan dan jual souvenir."
Bangun Wahyu Wicaksono,5,2 bulan lalu,Hari libur nasional,"Baru aja main ke Lampion Garden di Batu Night Spectacular (BNS) dan jujur, tempatnya keren banget! Begitu masuk, langsung disambut ribuan lampion warna-warni dengan bentuk unik—ada yang bentuk karakter kartun lucu, ada juga miniatur bangunan ikonik kayak Menara Eiffel dan Monas. Rasanya kayak masuk dunia lain yang penuh cahaya. Sedikit tips dari pengalaman aku: Datang malam hari biar lampion-lampionnya menyala maksimal. Pokoknya, Lampion Garden ini salah satu spot terbaik di BNS yang wajib dikunjungi kalau lagi liburan ke Batu. Aku sih puas banget ke sini, dan pasti pengen balik lagi!"
Abid Naufal,4,sebulan lalu,Akhir pekan,
arjenicehs,4,3 minggu lalu,Hari biasa,"beli tiket online lebih enak pokoknya, ya overall bns masih sama seperti dulu bcs tdk ada perubahan yang signifikan. Toilet udh gak sekotor dulu, bbrp mainan bnyk yg lg di perbaiki. Penjaga rumah hantu jutek poll! gak sopan, bapak” ditanyain baik baik tp judes banget kaya ga ada tata kramanya ih. Klo bete mah gk ush kerja mas, mana disono ada mbak” jg malah ketawain kita pdhl kt bertanya dgn baik dan sopan ^___^"
Brilliant Grafeylin,4,4 bulan lalu,Akhir pekan,"Tempat nya lumayan untuk hangout dengan keluarga dan teman teman, tidak terlalu besar. Tiket harga 45rb di Traveloka, dapat 4 wahana gratis (museum trick, lampion, rumah hantu maze, stunts show). Sisa nya jika ingin naik wahana lagi harus bayar 15rb/per wahana. Minus lampion nya banyak yang rusak, tembok di museum trick banyak yang harus di cat ulang, pencahayaan di dalam nya juga kurang. Semoga bisa ditingkatkan lagi BNS."
diana key,5,4 bulan lalu,Akhir pekan,"Di bagian pintu keluar ada resto yang juga bisa dikunjungi tanpa harus beli tiket masuk. Menelusuri jalan keluar, banyak toko souvenir yang menawarkan aneka pernak-pernik, baju, topi, dll. Toilet dan musala pun tersedia."
Anita Pardalina,4,sebulan lalu,Hari biasa,"Banyak pilihan permainan tapi menurutku mending beli tiket regular, karena ini sudah beli 3 tiket terusan tapi cuma 2 atau 3x main ga worth it sayang sih hahaha"
