reviewer_name,rating,date,visit_time,review_text
Nayo Naya,4,setahun lalu,,Hmmm apa ya...dsni tuh rafting lbih cocok utk anak TK sama SD..sangat bagus utk pengenalan mereka tentang rafting...klo utk yg org dewasa menurut saya kurang menantang sekali..karena arus nya msih biasa...karena memang dsni msih grade 3 ato 4 gitu klo g salah utk grade arus air nya..agk pendek jg jarak awal sama finish..g sampe basah kuyup kaos ma jilbab aja hmpir masih kering hehehe... Tapi so far utk tempat bagus utk makanan nya msih enak..dsni jg ada paintbal..cuma msih tanggung jg area nya...Krng luas dan masih Krng base nya...jdi g segitu seru jg utk paintball nya...moga kedepan lbih baik lgi ..sukses selalu
Slamet Sutono,2,setahun lalu,,1.lokasi sangat strategis diexsit tol caruban 2.parkir lumayan luas 3.tempat makan tersedia banyak tempat 4.makan lumayan enak 5.pelayanan cepat 6.fasum fasos kurang bersih 7.lingkungan kurang diperhatikan
Solehudin Widya Putra,5,5 tahun lalu,,"Batu Rafting salah satu tempat yang harus kamu kunjungi ketika berada di Kota Batu , Malang. Salah satu tempat rafting favorit yang sering orang pilih untuk olah raga raftingnya, selain harga yang gak bikin saku kering fasilitas yang disediakan pun sangat bagus dan baik. Saat itu saya rafting disana saat musim kemarau, meski musim kemarau debit air lumayan besar."
laila iskandar,3,setahun lalu,,"Bersama teman ktr, dan utk pertama kalinya, ternyata seruuuu jg hehehe"
Indah Yati,5,2 tahun lalu,,selain kita bisa pesen menu mkn nan kita bisa ..petik setroberiy..dan menikmati menu makan di tengah kebun setroberiy
Andre John,5,7 tahun lalu,,
Fiko Redha,2,7 tahun lalu,,
Andrey CeriaWisata,5,6 tahun lalu,,Recomended Profider unt yang mencari Jasa Outbound ataupun Rafting.. Instruktur yang profesional dan ramah. Pelayanan yang sangat memuaskan...
Cundo Wijaya,5,8 tahun lalu,,"BATU RAFTING the Best. Dipandu oleh pemandu yang ramah, rute jeram dengan pemandangan memanjakan mata, dan memacu adrenalin. Booom... 🚣 …"
Ucik Eunchie,2,setahun lalu,,"Pelayanan sangat mengecewakan. Booking untuk acara kantor, tidak ada leader / guide selama acara. Peserta disuruh cari tahu sendiri saat keberangkatan rafting dan selesai rafting untuk makan siang. vendor kurang profesional. Menu makanan yang di request juga beda dengan yang disajikan. Untuk trip raftingnya cukup seru, guide perahunya oke2. Perlu dibenahi lagi pelayanannya."
Bil Reg,1,setahun lalu,,
