reviewer_name,rating,date,visit_time,review_text
Wahyu Tri Ananda,3,2 minggu lalu,,
Mauidhotul Husniyah,4,sebulan lalu,Akhir pekan,"Pemandangannya bagus, parkir mobil ada tapi tidak luas2 banget Kamar mandi kotor banget, huhu Tapi cukup menyenangkan bermain air di sini, lumayan bisa melepas penat."
katray loxio,5,5 bulan lalu,,"Kesini pas weekeend banyak pengunjung. Seru bangett kesini bareng keluarga/temen. piknik kecil-kecil gituu asik sihh. 🪴💍 Masih banyak tumbuh-tumbuhan dan pohon yang tinggi-tinggi jadi kerasa vibe hutannya. Gokss!!🌲🌳🏞🏔🏡 kalau mau ke air terjunnya harus naik nanjak lagi, mayan nguras energii. butt diatas juga banyak stand"" makanan jadi ga perlu bingung. kadang juga banyak pedagang keliling bawa gerobak mantabb dahh🤗🤗🤩🤩"
Mohd. Agoes Aufiya,4,5 bulan lalu,Hari biasa,
Dwi Andra,5,4 bulan lalu,Akhir pekan,"Tempat kunjungan wisata alam yang masih asri, belum banyak bangunan manusia. Masih alami. Banyak digunakan untuk kegiatan kemping & outbond. Ada toilet, dan penjual makanan ringan. Cocok untuk pejalan kaki, maupun sepeda motor dan mobil. Tapi karena masih nuansa alami pedesaan, jalannya masih banyak yang berbatu-batu. Lebih cocok kalau memakai sepeda trail atau mobil adventure. Tiket masuk murah sekali, parkir pun sangat murah, karena dikelola oleh warga setempat. Cocok untuk healing/ refresing."
Slamet Pras,5,6 bulan lalu,,"Coban putri Akses kelokasi cukup mudah, bisa diakses sepeda motor maupun mobil. Ada beberapa jalan makadam hanya sedikit, selain nya paving. Parkiran cukup, akses dari parkiran tidak jauh sekitar 50 meter saja. Coban nya termasuk kecil, namun cukup untuk bermain air. Apalagi anak anak, ada beberapa kolam yang bisa dipakai dan tidak dalam. Yang menarik adalah batuan disisi kiri coban. Kalau kesini sebaiknya bawa makanan dan minuman yang cukup. Harga tiket hanya 10 ribu per orang, parkir 5 ribu per motor 10 ribu mobil. Tersedia juga camping ground, cuma terbatas untuk jumlah terbatas seperti camping keluarga. Kalau untuk jumlah besar tidak cukup seperti Pramuka."
Bowo Ardianto,5,6 bulan lalu,Akhir pekan,Pemandangan cukup bagus. Air terjunnya tak terlalu tinggi. Tebingnya berundak menciptakan view yang menarik. Hawa udara lumayan sejuk. Gemericik air ditambah vegetasi yang rindang melengkapi kesejukan itu. Untuk menuju kesini tak terlalu sulit. Dari parkiran memang harus berjalan kaki dulu naik turun. Namun rasa lelah itu kan terbayar ketika sudah sampai di sini. Airnya dingin. Bersih. Seger. Semoga pengelola meningkatkan lagi fasilitas di tempat ini sehingga menarik minat wisatawan untuk mengunjunginya.
Arif Rifa'i,3,4 minggu lalu,Akhir pekan,
Tri Puji Ratna Sari,4,7 bulan lalu,Akhir pekan,Tempat Lumayan tp Air terjun tdk terlalu tinggi.... hawa blm terlalu sejuk... tp masih oke untuk pemula yg ingin ke air terjun karena medan yg mudah... akses mobil gampang . . Sayang tempat kurang terawat....fasilitas perlu ditingkatkan lg agar lebih banyak menarik wisatawan.... Sdh ada toilet dan mushola... Kmaren ksna sabtu.... tp warung yg ada tutup... Tp krn kmren acra kantor jd sdh ada wo nya.... untuk acra kantor sprti outbonk lumayan oke... bs sewa jeep jg...
Putranti Cahyaning Mallandany,4,6 bulan lalu,Hari biasa,Curug air terjun nya cm satu.. tp ada permainan anak² sperti ayunan jd mayan.. cocoknya buat suatu kegiatan ga bs buat liburan doank.. kurang menarik buat saya
Safitri Ariani,5,2 bulan lalu,Akhir pekan,"Seru sekali disini kita bisa melakukan kegiatan olahraga extreme seperti viaferrata dan juga canyoning, dibantu dengan guidenya yg sangat informatif dan baik."
Yudaichi Enda,5,3 bulan lalu,Hari biasa,"Kesini enak hari biasa sepi, tempatnya sejuk, tenang, jalur kesini langsung jurang ya jadi hati-hati..!! Untuk yang bawa orang tua sepuh, bisa diajak kesini karena jalan tidak jauh ke air terjun. Kalau pakai mobil hanya bisa satu arah gantian, disarankan sangat hati-hati. Toilet bersih, ada warung pas depan air terjun, tempatnya juga memadai dan lengkap. Tidak ada sinyal internet disini. HTM murah 10rb, parkir 5000. Penjaganya juga ramah. Buat yang cari ketenangan bisa kesini pas hari biasa, tidak terlalu ramai jadi lebih bisa menikmati."
TV Ryu,5,sebulan lalu,Akhir pekan,"Bagus, enak buat camping. Second choice setelah bedengan selorejo"
SALMA OFFICIAL,5,2 bulan lalu,,"akses jalan masuk gampang, air terjun nya cantik poll"
Ade Fyrman,5,9 bulan lalu,Akhir pekan,"Salah satu destinasi wisata yg cukup bagus di kota batu 👍 Aksesnya bisa dilalui oleh 1 mobil, jika ada mobil yg papasan harus ngalah salah satu 😁 Parkir luas dgn harga tiket masuk 10rb/orang, tiket parkir untuk mobil 10rb Di dalam area wisata ada cafe dgn menu bermacam-macam gorengan seperti tempe goreng, pisang goreng, tahu isi, lumpia, tape goreng, dll Ada juga pop mie dan bermacam2 mie instant, tersedia juga kopi, es teh dll Bagi yg mau makan berat ada soto ayam, rawon dan nasi pecel Tersedia camp ground untuk yg hobi camping, dan tersedia juga area untuk campervan Toilet bersih dan cukup banyak dgn HTM 2.000/orang Air terjun tidak besar jd aman bagi yg mau mandi atau bermain air Tersedia juga mushola Suasananya bersih, tenang, hijau dengan pepohonan yg tinggi dan cukup rimbun"
Karolina Eka Yulianti,5,setahun lalu,,"Fyi, Kalau mau ngajak orang tua yang sudah sepuh. Air terjun ini rekomended dari semua coban yang aku tau di Batu. Akses ke air terjunnya juga mudah bahkan ada beberapa mobil atau motor yg diijinkan masuk sampai area camp. Ada juga camp ground yang biasanya dikelola oleh beberapa camp organizer jadi untuk komunitas atau rombongan bisa nge camp disitu. Untuk tiket masuk cukup terjangkau karna dikelola oleh perhutani dan yang pasti masih alami banget. Cuma memang dari gapura masuk loket itu harus masuk 1 km untuk sampai"
Wahyu Prasetia Utomo,5,setahun lalu,Hari biasa,Jarak pintu masuk air terjun tidak jauh dari jalan raya. Setelah pintu masuk melewati jalan tanah dan berbatu. Harap waspada saat musim hujan. Tempat parkir tidak jauh dari air terjun. Ada 2 air terjun berjejer yang bisa dinikmati di Coban Putri. Air dingin dan segar khas pegunungan. Ada lahan camping bagi yang ingin berkemah di lokasi. Tersedia warung dan toilet dekat air terjun.
Laili Arifin,5,7 bulan lalu,,"Suasananya di rusak sama suara sound horeg dari warkop 🤣 gilasih padahal suara air terjun bikin healing, tapi kenapa pengelola disini resek bgt kudu dengerin musik kek lg hajatan 🤣🤌 …"
rv minervaez,5,4 bulan lalu,Akhir pekan,wisata alam yang bersih uda di kelolah dan banyak aktifitas yang bisa dikerjakan. cannyoningnya seru bangetttttt
L154 Yn,5,setahun lalu,Hari libur nasional,Coban putri viewnya keren banget. Memang kecil sih air terjunnya tapi masih ok banget untuk dijadikan list destinasi saat ke malang. Klo pas sepi enak banget disini. Htm nya juga muner cuma 10k aja padahal pas long weekend. Warung kopi nya pas ada di depan cobannya jdi ok banget nyeruput kopi sambil nikmatin view coban putri.
oktario anton,5,3 bulan lalu,,"Tempat nya asik buat menenangkan diri, sebelah kanan gapura mau masuk ada rujak yg rasanya boleh di adu dgn rujak manapun 👍 …"
henny herawati,5,setahun lalu,Hari biasa,"Masuk ke area air terjun tidak terlalu jauh. Ada area camping di sekitarnya yg tidak terlalu luas rapi oke juga. Disini juga bisa buat acara outbound. Pemandangan indah, sejuk. Lumayan buat healing sejenak tanpa capek tracking jauh. Harga makan minum juga murah"
Nauroh Albasyasyah,5,2 tahun lalu,Hari biasa,"bagusss, bersih, sejuk, ada toilet htm nya 10k parkir 5k agak pricey mnrtku dengan fasilitas yg kurang bisa buat camping tapi gatau sewa lahan nya berapa gada orang jualan jajan"", ada orang jual bakso tapi ga meyakinkan jadi ga beli 😬 aksen jalan nya licin kalo hujan jadi hati-hati agak sepi jugaa"
Nico Aditya,5,setahun lalu,Akhir pekan,"Viewnya tebing bebatuan keren dgn udara sejuk khas pegunungan, buat santai sambil liat air terjun enak jg. akses buat mobil lancar aman, tp buat sinyal handphone belom ada."
Guntur Saptha,5,11 bulan lalu,,"Nyobain ke Coban Putri dengan paket offroad, cukup seru. Coba track nya lebih panjang jadi lebih seru. Di area air terjun sangat nyaman karena saya sampai disana hari Jumat sore di waktu ashar sehingga pengunjung masih tidak banyak."
Viona E,5,2 tahun lalu,,
Gabrielle Rattu,5,setahun lalu,Akhir pekan,"Jalan kesini juga sudah rapi, meskipun masih banyak batu-batu setidaknya save untuk keluarga. Dan suasananya syahduh banget."
