reviewer_name,rating,date,visit_time,review_text
Mauidhotul Husniyah,4,sebulan lalu,Akhir pekan,"Pemandangannya bagus, parkir mobil ada tapi tidak luas2 banget Kamar mandi kotor banget, huhu Tapi cukup menyenangkan bermain air di sini, lumayan bisa melepas penat."
Mohd. Agoes Aufiya,4,5 bulan lalu,Hari biasa,
Dwi Andra,5,4 bulan lalu,Akhir pekan,"Tempat kunjungan wisata alam yang masih asri, belum banyak bangunan manusia. Masih alami. Banyak digunakan untuk kegiatan kemping & outbond. Ada toilet, dan penjual makanan ringan. Cocok untuk pejalan kaki, maupun sepeda motor dan mobil. Tapi karena masih nuansa alami pedesaan, jalannya masih banyak yang berbatu-batu. Lebih cocok kalau memakai sepeda trail atau mobil adventure. Tiket masuk murah sekali, parkir pun sangat murah, karena dikelola oleh warga setempat. Cocok untuk healing/ refresing."
Bowo Ardianto,5,6 bulan lalu,Akhir pekan,Pemandangan cukup bagus. Air terjunnya tak terlalu tinggi. Tebingnya berundak menciptakan view yang menarik. Hawa udara lumayan sejuk. Gemericik air ditambah vegetasi yang rindang melengkapi kesejukan itu. Untuk menuju kesini tak terlalu sulit. Dari parkiran memang harus berjalan kaki dulu naik turun. Namun rasa lelah itu kan terbayar ketika sudah sampai di sini. Airnya dingin. Bersih. Seger. Semoga pengelola meningkatkan lagi fasilitas di tempat ini sehingga menarik minat wisatawan untuk mengunjunginya.
Arif Rifa'i,3,4 minggu lalu,Akhir pekan,
Tri Puji Ratna Sari,4,7 bulan lalu,Akhir pekan,Tempat Lumayan tp Air terjun tdk terlalu tinggi.... hawa blm terlalu sejuk... tp masih oke untuk pemula yg ingin ke air terjun karena medan yg mudah... akses mobil gampang . . Sayang tempat kurang terawat....fasilitas perlu ditingkatkan lg agar lebih banyak menarik wisatawan.... Sdh ada toilet dan mushola... Kmaren ksna sabtu.... tp warung yg ada tutup... Tp krn kmren acra kantor jd sdh ada wo nya.... untuk acra kantor sprti outbonk lumayan oke... bs sewa jeep jg...
Putranti Cahyaning Mallandany,4,6 bulan lalu,Hari biasa,Curug air terjun nya cm satu.. tp ada permainan anak² sperti ayunan jd mayan.. cocoknya buat suatu kegiatan ga bs buat liburan doank.. kurang menarik buat saya
Safitri Ariani,5,2 bulan lalu,Akhir pekan,"Seru sekali disini kita bisa melakukan kegiatan olahraga extreme seperti viaferrata dan juga canyoning, dibantu dengan guidenya yg sangat informatif dan baik."
Yudaichi Enda,5,3 bulan lalu,Hari biasa,"Kesini enak hari biasa sepi, tempatnya sejuk, tenang, jalur kesini langsung jurang ya jadi hati-hati..!! Untuk yang bawa orang tua sepuh, bisa diajak kesini karena jalan tidak jauh ke air terjun. Kalau pakai mobil hanya bisa satu arah gantian, disarankan sangat hati-hati. Toilet bersih, ada warung pas depan air terjun, tempatnya juga memadai dan lengkap. Tidak ada sinyal internet disini. HTM murah 10rb, parkir 5000. Penjaganya juga ramah. Buat yang cari ketenangan bisa kesini pas hari biasa, tidak terlalu ramai jadi lebih bisa menikmati."
TV Ryu,5,sebulan lalu,Akhir pekan,"Bagus, enak buat camping. Second choice setelah bedengan selorejo"
Ade Fyrman,5,9 bulan lalu,Akhir pekan,"Salah satu destinasi wisata yg cukup bagus di kota batu 👍 Aksesnya bisa dilalui oleh 1 mobil, jika ada mobil yg papasan harus ngalah salah satu 😁 Parkir luas dgn harga tiket masuk 10rb/orang, tiket parkir untuk mobil 10rb Di dalam area wisata ada cafe dgn menu bermacam-macam gorengan seperti tempe goreng, pisang goreng, tahu isi, lumpia, tape goreng, dll Ada juga pop mie dan bermacam2 mie instant, tersedia juga kopi, es teh dll Bagi yg mau makan berat ada soto ayam, rawon dan nasi pecel Tersedia camp ground untuk yg hobi camping, dan tersedia juga area untuk campervan Toilet bersih dan cukup banyak dgn HTM 2.000/orang Air terjun tidak besar jd aman bagi yg mau mandi atau bermain air Tersedia juga mushola Suasananya bersih, tenang, hijau dengan pepohonan yg tinggi dan cukup rimbun"
Wahyu Prasetia Utomo,5,setahun lalu,Hari biasa,Jarak pintu masuk air terjun tidak jauh dari jalan raya. Setelah pintu masuk melewati jalan tanah dan berbatu. Harap waspada saat musim hujan. Tempat parkir tidak jauh dari air terjun. Ada 2 air terjun berjejer yang bisa dinikmati di Coban Putri. Air dingin dan segar khas pegunungan. Ada lahan camping bagi yang ingin berkemah di lokasi. Tersedia warung dan toilet dekat air terjun.
rv minervaez,5,4 bulan lalu,Akhir pekan,wisata alam yang bersih uda di kelolah dan banyak aktifitas yang bisa dikerjakan. cannyoningnya seru bangetttttt
L154 Yn,5,setahun lalu,Hari libur nasional,Coban putri viewnya keren banget. Memang kecil sih air terjunnya tapi masih ok banget untuk dijadikan list destinasi saat ke malang. Klo pas sepi enak banget disini. Htm nya juga muner cuma 10k aja padahal pas long weekend. Warung kopi nya pas ada di depan cobannya jdi ok banget nyeruput kopi sambil nikmatin view coban putri.
henny herawati,5,setahun lalu,Hari biasa,"Masuk ke area air terjun tidak terlalu jauh. Ada area camping di sekitarnya yg tidak terlalu luas rapi oke juga. Disini juga bisa buat acara outbound. Pemandangan indah, sejuk. Lumayan buat healing sejenak tanpa capek tracking jauh. Harga makan minum juga murah"
Nauroh Albasyasyah,5,2 tahun lalu,Hari biasa,"bagusss, bersih, sejuk, ada toilet htm nya 10k parkir 5k agak pricey mnrtku dengan fasilitas yg kurang bisa buat camping tapi gatau sewa lahan nya berapa gada orang jualan jajan"", ada orang jual bakso tapi ga meyakinkan jadi ga beli 😬 aksen jalan nya licin kalo hujan jadi hati-hati agak sepi jugaa"
Nico Aditya,5,setahun lalu,Akhir pekan,"Viewnya tebing bebatuan keren dgn udara sejuk khas pegunungan, buat santai sambil liat air terjun enak jg. akses buat mobil lancar aman, tp buat sinyal handphone belom ada."
Gabrielle Rattu,5,setahun lalu,Akhir pekan,"Jalan kesini juga sudah rapi, meskipun masih banyak batu-batu setidaknya save untuk keluarga. Dan suasananya syahduh banget."
Muhammad Kholil Amin,5,2 tahun lalu,Hari biasa,"Akses mudah mobil motor, medan tidak terlalu curam, air terjun tidak terlalu tinggi dan besar, namun sangat nyaman untuk camping, karena campground yang luas dan beberapa titik ada akses untuk toilet, dan tersedia warung di sebelah air terjun, tersedia juga wahana flying fox. Air terjun yang ""lumayan"" kalau sekedear jalan2 BUKAN UNTUK MANDI. Hrga tiket tertera di gambar"
Jane Michaela,5,setahun lalu,Akhir pekan,"Htm per orang sebesar 10rb, dan biaya parkir motor 5rb. Air terjun tidak terlalu tinggi dan besar. Anda juga dapat berkemah di Coban Putri, karena tersedia area berkemah. Menurut pendapatku pribadi, Coban Putri worth it untuk org org yg gamau tracking jauh✨"
ARIF RAHMAN HAKIM,4,3 minggu lalu,Akhir pekan,"Tempat lumayan bagus, penerangan kurang kalau malam hari. Toilet kurang"
Tanti Rihi,5,setahun lalu,Akhir pekan,"Tiket masuk per orang Rp 10.000,, tiket mobil @Rp 10.000. Tempat luas dan nyaman, disarankan para pengunjung untuk tidak meninggalkan sampahnya yah. Cintai alam kita 🫶🏻"
Fajar,5,2 tahun lalu,Hari biasa,"bagi yang pingin lihat ijo-ijo tapi tidak ingin bokong berubah jadi kotak maka tempat ini sangat direkomendasikan lokasinya gak begitu jauh dan bisa ditempuh kurang dari 30 menit dari kota malang, kondisi jalan dari loket sampai air terjun pun masih sangat nyaman buat dilalui kendaraan meskipun kepala motor bisa geter2 dikit tapi masih terbilang bagus untuk ukuran jalan menuju coban tiketnya sendiri hanya 10k, tapi ada biaya parkir juga. sudah tersedia fasilitas toilet dan warung tapi masih belum ada mushalla di lokasinya kita bisa bermain air dan keceh2, bisa juga beber karpet dan masak2an semoga kedepannya lebih banyak atraksi wisatanya agar meningkatkan jumlah wisatawan"
isma nurfa,2,setahun lalu,Hari biasa,"Untuk biaya sangat tidak worth it. parkir motor 5k (tp tidak d jagain, ada barang hilang/helm hilang maybe jg bodoamat), tiket masuk 10k/org dg fasilitas yg terbatas, Banyak sampah d pinggiran sungai. mungkin utk tiket bisa d murahin lagi. atau paling gk, parkir motor jangan mahal"" cz sudah ada biaya masuknya."
Nur Hidayat,5,2 tahun lalu,Hari libur nasional,"Tempatnya masih perawan, Ada beberapa air terjun meskipun tidak besar, bisa sebagai bahan perenungan nikmatnya bumi Allah SWT yang diberikan bagi Indonesia...... Suasananya Indah Alami"
Uwik juristy,5,setahun lalu,Hari biasa,Cocok buat healing dan piknik tipis2. Jaraknya gak jauh dari kota Malang. Pulang pergi naik grab pun masih bisa. Udaranya sejuk. Tapi di sana susah sinyal lhooo.
Rinno Wardana,5,setahun lalu,Akhir pekan,"Nice place, great view! Harga tiket per orang 10k dan harga parkir untuk mobil 10k. Jadi ada 2 retribusi dan semuanya ada karcisnya, pengelolaannya cukup rapih 👍🏽"
wawing sasongko,4,5 bulan lalu,Akhir pekan,"setelah sekian tahun, weekend kemarin mampir ke Coban Talun.. paving arah masuk mulai berlumut, mungkin butuh perawatan rutin.. bawa motor masuk bayar 10ribu + parkir 5ribu (sekitar 50 meter ke warung sebelah coban / air terjun) 1. area bagian hutan sebelah kiri kalo kita arah mo ke coban bisa di bersihkan untuk jadi lahan camping, terlebih yang dekat dengan aliran sungai-nya (jadi kaya bedengan kurang lebih) 2. kamar mandi di parkiran di benahi kembali karena sudah miring dan kurang bersih 3. penambahan kamar mandi di dekat kemping sinyal telkomsel di area warung dan coban hilang, di area parkir mobil dan motor ada tadi sulit"
Rani Novita,5,2 tahun lalu,Akhir pekan,"Ada tempat wisata manjat batu""an keren dan terjangkau harganya. Masih asri sekali dilihat dari jalannya menuju kesana masih makadam tapi disuguhi pemandangan yg luar biasa. Toiletnya masih belum layak. Untuk biaya masuk relatif masih murah."
Yusuf Rizal,3,setahun lalu,Akhir pekan,"Tiket masuk 10.000/orang Parkir mobil 10.000 Coban tidak terlalu tinggi dan besar. Akses mudah, dekat, ramah untuk bawa orangtua. Cocok buat santai"""
Nazla Rahmanitya,4,setahun lalu,Akhir pekan,medan untuk kesana ngga begitu sulit. air terjunnya cantik meskipun ngga begitu deras disana. sayangnya hari minggu flying foxnya tutup jadi ngga bisa akses huhu
Husnawati Zahrah,5,setahun lalu,Hari libur nasional,Ke sini pas cuti bersama nasional. Tempatnya ramai meskipun begitu kondusif dan bersih. Asik banget buat camp atau outbound
Wildan Ghiffari,4,2 minggu lalu,Hari biasa,Fasilitas ada yg rusak beberapa
Mayaria Desi,5,2 tahun lalu,Hari biasa,"Bagus banget, sejuk, cocok buat ngopi sama keluarga,sahabat, teman, siswa, & sejenak menjauh dari kebisingan & mencari ketenangan, htm ramah dikantong"
Wiwit Yuvita,5,5 bulan lalu,Akhir pekan,"Buat kamu yang mau outbound,camping Mau pun menikmati suasana air yang sejuk. Tempat ini recommend deh buat kamu-kamu yang bosan dengan suara bising kendaraan,polusi udara. Coban putri solusinya pemandangan ciamik"
Arrizal Alvin27,5,11 bulan lalu,Hari biasa,"Tempatnya nyaman, dengan harga terjangkau. Pelayanan yang ramah. Terasa sangat memuaskan."
Bagus Agung,5,setahun lalu,Akhir pekan,"Tempat nya keren, akses juga mudah, lokasi tidak terlalu jauh dari kota batu. Fasilitas mck juga sudah memadai, hanya sinyal internet no service"
