reviewer_name,rating,date,visit_time,review_text
Wahyu Tri Ananda,3,2 minggu lalu,,
katray loxio,5,5 bulan lalu,,"Kesini pas weekeend banyak pengunjung. Seru bangett kesini bareng keluarga/temen. piknik kecil-kecil gituu asik sihh. 🪴💍 Masih banyak tumbuh-tumbuhan dan pohon yang tinggi-tinggi jadi kerasa vibe hutannya. Gokss!!🌲🌳🏞🏔🏡 kalau mau ke air terjunnya harus naik nanjak lagi, mayan nguras energii. butt diatas juga banyak stand"" makanan jadi ga perlu bingung. kadang juga banyak pedagang keliling bawa gerobak mantabb dahh🤗🤗🤩🤩"
Slamet Pras,5,6 bulan lalu,,"Coban putri Akses kelokasi cukup mudah, bisa diakses sepeda motor maupun mobil. Ada beberapa jalan makadam hanya sedikit, selain nya paving. Parkiran cukup, akses dari parkiran tidak jauh sekitar 50 meter saja. Coban nya termasuk kecil, namun cukup untuk bermain air. Apalagi anak anak, ada beberapa kolam yang bisa dipakai dan tidak dalam. Yang menarik adalah batuan disisi kiri coban. Kalau kesini sebaiknya bawa makanan dan minuman yang cukup. Harga tiket hanya 10 ribu per orang, parkir 5 ribu per motor 10 ribu mobil. Tersedia juga camping ground, cuma terbatas untuk jumlah terbatas seperti camping keluarga. Kalau untuk jumlah besar tidak cukup seperti Pramuka."
SALMA OFFICIAL,5,2 bulan lalu,,"akses jalan masuk gampang, air terjun nya cantik poll"
Karolina Eka Yulianti,5,setahun lalu,,"Fyi, Kalau mau ngajak orang tua yang sudah sepuh. Air terjun ini rekomended dari semua coban yang aku tau di Batu. Akses ke air terjunnya juga mudah bahkan ada beberapa mobil atau motor yg diijinkan masuk sampai area camp. Ada juga camp ground yang biasanya dikelola oleh beberapa camp organizer jadi untuk komunitas atau rombongan bisa nge camp disitu. Untuk tiket masuk cukup terjangkau karna dikelola oleh perhutani dan yang pasti masih alami banget. Cuma memang dari gapura masuk loket itu harus masuk 1 km untuk sampai"
Laili Arifin,5,7 bulan lalu,,"Suasananya di rusak sama suara sound horeg dari warkop 🤣 gilasih padahal suara air terjun bikin healing, tapi kenapa pengelola disini resek bgt kudu dengerin musik kek lg hajatan 🤣🤌 …"
oktario anton,5,3 bulan lalu,,"Tempat nya asik buat menenangkan diri, sebelah kanan gapura mau masuk ada rujak yg rasanya boleh di adu dgn rujak manapun 👍 …"
Guntur Saptha,5,11 bulan lalu,,"Nyobain ke Coban Putri dengan paket offroad, cukup seru. Coba track nya lebih panjang jadi lebih seru. Di area air terjun sangat nyaman karena saya sampai disana hari Jumat sore di waktu ashar sehingga pengunjung masih tidak banyak."
Viona E,5,2 tahun lalu,,
Seno Setiadjie,4,2 tahun lalu,,"HTM 10.000 + Parkir motor 5.000 View bagus, lebih banyak pohon sebelum cobannya Cobannya 👍🏻 ✓ Camp Area ada ✓ Offroad sedia ✓ Toilet ada, free kalau gk salah ✓ Kebersihan terjaga Wahana gak banyak, cocok untuk nature healing"
Farid Muhammad Iqbal,4,11 bulan lalu,,Air terjun yg berada di daerah Batu dengan suasana udara yg sejuk dan ada tempat untuk makan/minum sembari menikmati air terjun.
