reviewer_name,rating,date,visit_time,review_text
Wahyu Tri Ananda,4,2 bulan lalu,Hari biasa,"Air terjun yang cukup tinggi. Saya pertama kali kemari pada tahun 2016 saat air terjun ini masih viral, dan pada saat itu trek dan lokasi menuju ke air terjun masih cukup tertutup dan sempit. Kunjungan kedua saya pada tahun 2024. Saat itu lokasi dan trek air terjun sudah dibersihkan. Trek tidak begitu jauh dan terbilang sangat aman."
Syifa Diella,5,11 bulan lalu,Akhir pekan,"Treknya cukup landai (ada beberapa tanjakan) dan masih bisa dinikmati tanpa terlalu capek. Untuk menuju coban rais kurang lebih 1 jam trekking (phase jalan santai) dan untuk baliknya sekitar 30 menit. Medan trekking cukup masuk kedalam hutan, tetapi ada pangkalan ojek yg mulai mangkal sekitar jam 9-an (opsi kalau gamau jalan). Viewnya sangat memukau, bahkan dari sebelum mencapai tujuan sudah banyak spot” menarik"
Yukima Shien,5,setahun lalu,Waktu Berkunjung : 16 Desember 2023,"Waktu Berkunjung : 16 Desember 2023 Pukul : sekitar 07.00 - 10.00 [Nature Tourism Hiking] Ini adalah posisi sebenarnya dari Coban Rais. Kalau mau kesini bisa lewat Batu Flower Garden dengan bayar tiket masuk 12.500/orang dan motor 5.000. Perjalanan naik motor dari malang sekitar 30 menit. Sampai disana bisa parkir di dekat pos masuk jalur cobannya. Terdapat dua pilihan untuk mengakses Coban ini. Bisa jalan kaki atau naik ojek. Kalau kami memilih jalan kaki. Hiking/jalan kaki dari pos ke coban memakan waktu sekitar 1 jam dengan sebagian besar trek landai tertutup. Palang rute menuju coban sangat sedikit, sehingga perlu sedikit kemampuan navigasi maps. Namun, itu semua terbayar dengan cantiknya pemandangan Coban Rais ciptaan Tuhan kita 🥹. Air terjun disini tinggi dan debit airnya cukup deras, ada monyet juga disana tapi monyetnya ga mendekat 🙈. Behind Story: Awalnya kami berencana untuk ke coban kaca. Kami pesan tiket di loket juga untuk ke coban kaca. Namun, karena palang rute yang sangat sedikit dan kami navigasi seadanya. Akhirnya kami salah belok 😂, dan nembusnya ke coban Rais ini, hehehe. But it's okay, i love this journey and the waterfall. I thank God that guided and protected us 🫶"
Batu Boemi Adventure,5,3 bulan lalu,,"Lokasi yg sering kami pakai untuk bawa tamu peserta kegiatan outbound,paintball,camping dll"
Narman,5,2 bulan lalu,Akhir pekan,"Coban Rais pegunungan yang indah dan sejuk, wisata alam yg tenang bisa buat keluarga dan juga bersama teman, pasti akan menemukan pengalaman alam yg begitu indah dan menyenangkan"
Tugirin,5,8 bulan lalu,Akhir pekan,"Air terjun yang keren dan sangat alami. Tracking dr tempat parkir sekitar 45 mnt-1 jam. Jalur cukup landai dengan udara yg bersih alami. Tersedia ojek dengan biaya 40 rb PP, namun masih perlu melanjutkan jalan kaki karena track yg tidak memungkinkan dilewati motor."
dian sisa pambudi,5,setahun lalu,,"bukan tempat wisata biasa, lebih tepatnnya Jalur Hiking terbaik Mohon disiapkan fisik dan peralatan yang memadai"
Ratna Julian,5,setahun lalu,Hari libur nasional,"Berkesan,,, cuman agak mehong c kalo glamping,,, fasilitas umum ok"
Fatimatuz Zahro,5,9 bulan lalu,,Ada camping sitenya teruss di cafenyaa makanannya enak dan lumayan terjangkauu.. viewnyaa bagusss... ada eduplaynya juga jadi satu sama taman bunga... ♡
Rahagi Abdu,4,9 bulan lalu,Akhir pekan,Lumayan sambil olahraga karena masuknya lumayan jauh. Sekita 1jam an.
Nurida Widia,5,3 hari lalu,Akhir pekan,
Yustika Muharastri,5,4 bulan lalu,Akhir pekan,
Sprstya Prasetya,5,3 bulan lalu,Hari libur nasional,"Jauh lebih baik daripada air terjun serupa di sekitarnya. Vegetasinya lebat, direkomendasikan bagi mereka yang menyukai lokasi yang lebih alami dan terpencil."
Ted Lim,5,setahun lalu,Akhir pekan,"Ini adalah lokasi sebenarnya dari air terjun Coban Rais. Jaraknya 4 km dengan berjalan kaki dari pintu masuk. Jalan menuju air terjun sangat menyenangkan tetapi beberapa bagiannya berbahaya dan berpotensi longsor, jadi jika hujan, tidak disarankan untuk pergi ke sana. Air terjun yang tinggi tampak seperti gadis berambut panjang yang lembut. Itu membuat lokasinya sangat indah."
Arik Toyota,5,sebulan lalu,,Tempat yang bagus Diterjemahkan oleh Google ・ Lihat versi asli (Inggris)
Sinto Timoer,5,setahun lalu,Hari libur nasional,
Andrew Win,2,setahun lalu,Hari biasa,
Siswanto Siswanto,5,setahun lalu,Akhir pekan,
Andi Solihin,5,2 bulan lalu,,
Risma Amalia,1,5 bulan lalu,,
Wahyu Tri leksono,5,6 bulan lalu,,
Bagoes Wicaksono,5,10 bulan lalu,,
muhammad cakra buana,5,10 bulan lalu,,
Agusncing Arif,5,setahun lalu,,
Mochamad Ichsan,1,setahun lalu,,
