reviewer_name,rating,date,visit_time,review_text
Lativa Desriani Putri,5,sebulan lalu,Hari biasa,"good view bgtt, aku kesini weekdays n ga rame guyss!! wajib cobaa tiket masuk per orang 12rb (WNI) + parkir motor 5rb, tadi aku ber2 kesini, total 29rb... perjalanan dari tempat parkiran ke coban nya lumayan jauh sekitar 15-20 menit tapi ada ojek ko guys harganya 15rb"
Andi Yuhono,5,2 minggu lalu,Hari biasa,"Tempatnya cukup bagus, utk mencapai air terjun bisa jalan kaki atau naik ojek. Ada wahana ATV, naik jip offroad.."
Ary Zandy,5,sebulan lalu,Akhir pekan,"Coba deh, ambil paket jeep offroad Coban Talun. Bener bener WAOW banget.. Medan berat bikin adrenalin naik, driver dibekali skill yg luar biasa. Aman.. Luar biasa.."
Isnaini R,5,6 bulan lalu,,"Luar biasa pengalaman yang sangat istimewa, driver ramah dan sopan, yg jelas sabar dalam memandu peserta, terimakasih banyak, semoga kembali lagi untuk bersenang-senang."
Na Ru,5,sebulan lalu,,Cuma sampai di depan ga sampai ke coban nya . Tiket masuk utama berbayar dan masuk ke bbrp wahana berbayar lagi.
Faiz Muhammad,1,seminggu lalu,,Sangat tidaakk disarankan menurut saya karna yang dipentingkan hanya yang ikut tripp jepp yaa wkwk kalau kita individu kesana gaboleh dikasih waktu buat nyante nyante disungai nya kitaa yang individu disuruh minggir anehh sama smaa bayar tiket tapi kesenjangan diterapkan wkwk anehh panitianya sangat arogan hahahah
Wirian Risda,4,setahun lalu,Akhir pekan,"Ke coban Talun uda beberapa kali. Mulai dari acara pramuka, mbolang, syuting, dll. Ke cobannya, ke Kalindra, ke kebun bunganya, atau sekedar ke warungnya. Ada juga sungai dam gitu yg cukup iconic dan biasa dijadiin jalur jeep adventure. Ini next level buat yg mau abadiin momen yg sedikit effort. Ingat, ""sedikit"" yaa.. minusnya satu, karena ada outbound ya lagunya jelas rame dan kadang dj/koploan. Kedengeran jelas bgt dari kalindra. Niat hati mau healing tapi kena polusi suara. Next levelnya lagi bisa main ke bukit Kalindra. Tracknya enak bgt, ga terlalu nanjak. Malah banyak landainya. Viewnya cakepppp bgt dari sana. Kenapa kalindra? Soalnya suara deras kali (sungai) masih kedengeran dari sana dan banyak tanaman andra yg tumbuh disana."
kusukasandalswalow (torokway),5,5 hari lalu,Hari biasa,"Banyak wahana, mendekatkan diri kepada alam"
BAD tipi,5,seminggu lalu,Akhir pekan,SQUAD atv kota batu seru asik menyajikan pengalaman baru menjelajahi alam di kota batu join yuks pasti menjadikan pengalaman tak terlupakan
Fiya Kiya,4,2 minggu lalu,,Tour jeep aku kesini ya pengalaman duingin poll wajib pake jaket tebel terus jeepnya ini sering mati kenapa ya apa karena kedinginan juga wkwkwk tapi lumayan sih buat refreshing
Prakosa,5,2 tahun lalu,Akhir pekan,Air terjunnya cukup tinggi. Pemandangan indah. Tidak terjangkau langsung dari tempat parkir. Harus berjalan dulu diantara hutan pinus sekitar 20 menit menurun menuju lokasi air terjun. Kalau tidak kuat jalan ada ojek dengan tarif 10K untuk menuju air terjun dan 15K kembali ke parkiran. Tarif beda karena jalan kembali menanjak.
RYN 323,5,setahun lalu,Hari biasa,
Alvian Rahman Perdana,5,2 minggu lalu,Akhir pekan,"Recomended ATV sih.. track nya cukup menantang, ada leader yang siap menemani dan ngasih arahan teknik2 melewati track dan ringtanganya.. Mungkin yang ikut tour jeep perlu di evaluasi penyelenggaranya, supaya tidak pakai sound kencang dan flare ketika acara di sungai.. sayang banget suasana alamnya jadi rusak.."
Andry Pebadja,5,setahun lalu,,"(-) Jarak dari parkiran ke air terjun lumayan jauh (2km) dan dekat air terjun medannya menurun tapi masih OKE buat diakses, so kalau kesana pastikan isi tenaga dulu."
Bertha Aditya,5,2 tahun lalu,,"Sempet di begal monyet , hati"" yg bawa jajan di kresek. Mending di masukin tas aja biar aman. Banyak warung. Air terjun ga jauh"" amat dan ada ojeknya. Bisa naik ke bukit kaliandra kalo mau view lebih menarik"
