reviewer_name,rating,date,visit_time,review_text
Lativa Desriani Putri,5,sebulan lalu,Hari biasa,"good view bgtt, aku kesini weekdays n ga rame guyss!! wajib cobaa tiket masuk per orang 12rb (WNI) + parkir motor 5rb, tadi aku ber2 kesini, total 29rb... perjalanan dari tempat parkiran ke coban nya lumayan jauh sekitar 15-20 menit tapi ada ojek ko guys harganya 15rb"
Andi Yuhono,5,2 minggu lalu,Hari biasa,"Tempatnya cukup bagus, utk mencapai air terjun bisa jalan kaki atau naik ojek. Ada wahana ATV, naik jip offroad.."
Ary Zandy,5,sebulan lalu,Akhir pekan,"Coba deh, ambil paket jeep offroad Coban Talun. Bener bener WAOW banget.. Medan berat bikin adrenalin naik, driver dibekali skill yg luar biasa. Aman.. Luar biasa.."
Wirian Risda,4,setahun lalu,Akhir pekan,"Ke coban Talun uda beberapa kali. Mulai dari acara pramuka, mbolang, syuting, dll. Ke cobannya, ke Kalindra, ke kebun bunganya, atau sekedar ke warungnya. Ada juga sungai dam gitu yg cukup iconic dan biasa dijadiin jalur jeep adventure. Ini next level buat yg mau abadiin momen yg sedikit effort. Ingat, ""sedikit"" yaa.. minusnya satu, karena ada outbound ya lagunya jelas rame dan kadang dj/koploan. Kedengeran jelas bgt dari kalindra. Niat hati mau healing tapi kena polusi suara. Next levelnya lagi bisa main ke bukit Kalindra. Tracknya enak bgt, ga terlalu nanjak. Malah banyak landainya. Viewnya cakepppp bgt dari sana. Kenapa kalindra? Soalnya suara deras kali (sungai) masih kedengeran dari sana dan banyak tanaman andra yg tumbuh disana."
kusukasandalswalow (torokway),5,5 hari lalu,Hari biasa,"Banyak wahana, mendekatkan diri kepada alam"
BAD tipi,5,seminggu lalu,Akhir pekan,SQUAD atv kota batu seru asik menyajikan pengalaman baru menjelajahi alam di kota batu join yuks pasti menjadikan pengalaman tak terlupakan
Prakosa,5,2 tahun lalu,Akhir pekan,Air terjunnya cukup tinggi. Pemandangan indah. Tidak terjangkau langsung dari tempat parkir. Harus berjalan dulu diantara hutan pinus sekitar 20 menit menurun menuju lokasi air terjun. Kalau tidak kuat jalan ada ojek dengan tarif 10K untuk menuju air terjun dan 15K kembali ke parkiran. Tarif beda karena jalan kembali menanjak.
RYN 323,5,setahun lalu,Hari biasa,
Alvian Rahman Perdana,5,2 minggu lalu,Akhir pekan,"Recomended ATV sih.. track nya cukup menantang, ada leader yang siap menemani dan ngasih arahan teknik2 melewati track dan ringtanganya.. Mungkin yang ikut tour jeep perlu di evaluasi penyelenggaranya, supaya tidak pakai sound kencang dan flare ketika acara di sungai.. sayang banget suasana alamnya jadi rusak.."
Mei Lee,5,2 tahun lalu,Akhir pekan,"- lokasi air terjunnya bagus - jalur harus ditempuh setengah jam dengan jalan Kaki - jangan datang Pas musim hujan. Karna air keruh Dan jalurnya licin... - tiket per orang 15rb - Di titik air terjunnya Ada toilet Dan warung utk minum - ( klo sy, cukup 1x aja kesini Dan gk mau lg) 🤣"
Izzah Fahma,4,2 tahun lalu,Akhir pekan,"Camping Ground Luas. ✓ Wastafel umum ✓ Toilet umum ✓ Banyak Spot yg bisa di explore seperti Hutan Pinus, Oyot, Air Terjun, Jeep dll Minusnya, kurang maintenance aja si ya. Ini mau ngasi bintang 3.7 aja hehe"
isabelle,5,2 tahun lalu,Akhir pekan,"Kali kedua ke coban talun. Bedanya kali ini off road jeep. Beneran seruuu abisss lah. Menurut aku off roadnya 10x lebih serem dari off road Merapi 😁🙏🏻. Menuritku loh yaa. Di tempat parkir off road ada banyak orang jual makanan. Aku beli baksonya. Ternyata endull loh, gak kalah sama bakso di Surabaya. Mana muraahhh lagi. Seporsi isi pentol besar 2, tahu bakso, gorengan, dan siomay tuh cuman 15 rebu doang. Rekomended seru deh pokonya."
Eveline Soeyandani,5,2 tahun lalu,Hari libur nasional,
Achidah Nur Syahdana,4,2 tahun lalu,Hari libur nasional,"tahun 2019 pernah kesini, suasana masih ramai, banyak stand makanan dan jajanan sekarang sepi sekali, seperti kurang terawat.. mungkin karena lebih diutamakan yang offroad dan penginapan yaa"
