reviewer_name,rating,date,visit_time,review_text
Bayu Gunawan,5,2 bulan lalu,Akhir pekan,"Eco Active Park (dulu Eco Green Park) adalah Wahana edukasi wisata berbasis keberlanjutan ekologi dan lingkungan yang direkomendasikan untuk dikunjungi. karena temanya adalah Eco Active yg berbasis lingkungan, maka yg disajikan bukan hanya wahana bermain tetapi lebih pada pendidikan lingkungan misalnya daur ulang barang bekas elektronik, pengolahan sampah, pelestarian hutan dan konservasi binatang. Ada bagian2 di tempat ini yg sangat sejuk dan teduh karena adanya rumpun-rumpun bambu dan mini hutan jati. Tersedia tempat penjual makanan yg tertata rapi dan bersih dengan harga yang normal (jika dibandingkan dengan yg dijual di luar). Bahkan, ada mini outdoor foodcourt yg sangat teduh berlantai hijau dan ada aneka burung termasuk merak yg bisa berinteraksi dengan pengunjung secara langsung. Toilet juga bersih. Foodcourt yg lebih besar juga tersedia dengan beragam pilihan makanan. Harga tiket masuk tergolong standar. Eco Active tetap bisa dijadikan rekomendasi untuk wahana edukasi berbasis lingkungan."
Atikerzs,5,2 bulan lalu,Hari biasa,"Wajib banget kesini untuk yg mau ngajak anaknya jalan jalan sekalian ngasih edukasi tentang hewan hewan. Banyak banget macam macam hewan yang ada disini, mulai dark hewan ternak sampai hewan laut seperti pinguin. Selain berbagai macam hewan, eco active park juga menyediakan aneka permainan permainan seru, dan sudah pasti ada kolam renangnya juga. Harga tiket masih tergolong standart ya tidak mencapai 100rb , jadi buat yg pingin ngajak keluarga jalan jalan, cobain ke eco active park ini."
FeiFei ADH,5,sebulan lalu,Akhir pekan,"Ini adalah taman yang memungkinkan kita lebih dekat dengan hewan. Di pintu masuk kita bisa bermain dengan kelinci, llama, capybara, kambing dll. Bisa beli makanannya Rp. 10.000. Overall kita lebih banyak berinteraksi dengan berbagai macam burung mulai dari macao hingga elang dan burung hantu. Disini ada juga untuk pembuatan biogas dari kotoran sapi yang difermentasi dan diambil gas metana nya. Harha tiket weekend nya Rp. 80.000"
vionaa,5,5 bulan lalu,Akhir pekan,"Saya berkunjung kemari karena acara Outdoor Learning dari sekolah saya bulan lalu. 🙆 Waktu itu, cuaca sedang hujan rintik-rintik, jadi hawa yang dibawakan sejuk dan dingin. Tetapi saya bersama teman-teman saya akhirnya rempong membawa payung hehee. Tempatnya sangat luas, kaki saya sampai pegal untuk sekedar berjalan mengelilingi bagian satwa. Mungkin saya saja yang tidak terbiasa berjalan kaki jauh. 😇🙏"
Hafidh Chru,5,3 bulan lalu,Akhir pekan,"Theme park di kawasan kota Batu, satu komplek dengan Jatim Park 2. Sangat recommended untuk edukasi anak TK dan SD mengenai hewan-hewan binatang mulai hewan ternak, ikan, hingga aneka burung (mayoritas hewan jinak). Harga masih worth it, weekday 40.000 dan weekend 60.000 sepadan dengan pelayanan dan wahana edukasinya. Dan tiket ini adalah tiket terusan, jadi semua wahana gratiiiis. Satwa yang dibawakan sangat beragam, Tempatnya asri, banyak pepohonan rindang dan tanaman lebat, membuat pengunjung serasa lebih dekat dengan alam, karna tempat didesain seperti habitat asli hewan. Kita juga bisa mendapatkan edukasi tentang batik, informasi mengenai stalaktit dan stalakmit, serta simulator gempa, angin, dan tsunami. Saran untuk manajemen eco active park, kandang kaca burung mohon dibersihkan, dan pembersihan kandang sebelum para pengunjung datang, saran untuk di tambah lagi wahana yang bersifat fun, dan tetap berinovasi setiap tahunnya. Area wisata sangat luas, jadi siapkan stamina yang prima untuk menjelajahi semua wahana disini, dan recomend datang disini saat pagi hari. Semoga bermanfaat, baarakallah"
Arfiany Nur Amalia,5,3 minggu lalu,Akhir pekan,Tempat yang sangat menarik dan menyenangkan untuk dikunjungi bersama keluarga maupun teman.
Anggi Puspita,5,2 bulan lalu,Hari biasa,"Buaguss polllllll... tiap wahana banyak yg free tanpa bayar2 lagi.. jd cocok banget buat kaum kaum sprti saya 😁 hewan2nya jg bagus2 terawat, wahana jg banyak bnget anak ga bakal badmood. Kolam renang ada, afa tour guidenya jugak."
Baihaqi Asmoro,5,sebulan lalu,Akhir pekan,"Begitu masuk ke area Eco Active Park, kesan pertama yang terasa adalah semangat eksplorasi dan kreativitas. Ada banyak spot tak terduga dan wahana interaktif yang membuat kamu terus penasaran. Tempat ini seperti dirancang untuk membebaskan sisi anak-anak dalam diri kita—banyak sudut yang menghibur, aneh, dan pastinya sangat Instagramable. Kesan paling kuat? Tempat ini sangat mengajak kita untuk bergerak dan bersenang-senang. Ada banyak aktivitas fisik ringan hingga ekstrem, tapi tetap menyatu dengan alam. Dan, karena terlalu asyik main, jalan-jalan, tertawa, dan nyobain wahana, kamera pun terlupakan—kecuali satu momen lucu bareng mobil yang nempel di langit-langit! Oh iya htm untuk weekend 90rb per orang jadi jangan lupa siapin uangnya ya atau tabungan sisa thr kemaren."
Andri Sutrisno,5,5 bulan lalu,Akhir pekan,"So far ini Zoo terbaik versi saya bila dibandingkan dengan kebun binatang di Jakarta. Terdapat hewan-hewanmyang jarang saya temui, posisi hewan sangat dekat dan kita bisa memberi makan hewan. Sayang sekali saat kita kesana hujan deras. Hebatnya disini terdapat wahana permainan free, puas banget kesini. Doakan kami kembali lagi ya :)"
Delyananti,5,5 bulan lalu,Hari libur nasional,"Pertama kali kesini waktu tahun 2022 masih dengan nama eco green park, sekarang udah ganti eco active park. Tempatnya gak begitu luas jadi gak terlalu capek dan bisa menikmati semua hewan2 yg ada di dalamnya. Tiketnya juga murah 😉 Semoga kedepannya bisa lebih berkembang."
Dika Cahyana,5,2 minggu lalu,Akhir pekan,Bagus tpi siapkan fisik dan tenaga anda.. Perjalanan wisata jauh.. Kalo pingin gk cape sewa ebike 150k per 3jam..
Ignasius Willyanto,5,5 bulan lalu,Hari libur nasional,"Pendapat Pribadi! Kunjungan kedua kali, dan ini beli tiketnya sepaket dengan Jatim Park 2 (Batu Secret Zoo).. Konsepnya menarik, memanfaatkan barang bekas yang dijadikan karya seni.. Layout tempatnya juga bagus.. Yang paling ingat dari tempat ini adalah banyaknya jenis burung Kakaktua, burung hantu, elang, dll"
Bowo Ardianto,5,6 bulan lalu,Hari libur nasional,"Destinasi wisata yang cocok buat keluarga, utamanya anak-anak. Unsur edukasi nya kental sekali. Mengajak anak berkeliling disini sangat bermanfaat mengembangkan pengetahuan mereka. Laboratorium yang ada di dunia nyata. Koleksi cukup banyak dan lengkap. Menambah poin plus ketika mengunjungi JTP2. Berhubung area nya cukup luas maka stamina yang prima diperlukan biar bisa jalan-jalan tuntas mengelilingi eco green park."
Sanni Zee,5,8 bulan lalu,Hari biasa,"Manajemen benar-benar totalitas dalam maintenance dan pengadaan spot-spot edukasi. Keren banget sih. Tapi kalau kata saya, ini lebih cocok digunakan outbound/outing class anak SD-SMP, kalau untuk anak TK selain fisik yang bener-bener terkuras juga waktu yang kurang sat-set karena yang dibawa anak under 6th semua ya, jadi ada spot yang harus dipilih untuk ditinggal demi efisiensi waktu. Tingkat kemandirian belum mumpuni. Tapi tetep sih keren banget, buat anak TK pol senengnya karena setiap mata memandang semua bernilai edukasi. Harga oke lah ya masih worth it sama pelayanan dan kesan edukasinya. Untuk makanan di food courtnya termasuk masih normal dan enak sih. Cocok buat anak-anak. Eh lagi semua wahana gratis loh. Kecuali ada beberapa yang berbayar tapi gak banyak kok. Kalau buat orang tua yang udah sepuh lebih baik sewa e-bike deh bener, teklok kaki. Wkwkwkwkw. Tiket Masuk 65.000 Paket outbound 95.000 Lunchbox 20.000"
Diah Dekamuslim,5,6 bulan lalu,Hari libur nasional,"Menyenangkan sekali ke Eco Green Park bareng keluarga. Anak-anak senang, ortu juga ikut bahagia. Di sini terdapat binatang mulai hewan ternak, ikan, hingga aneka burung. Banyak replika benda/patung dari barang-barang bekas, berbagai wahana dengan memanfaatkan barang bekas, rumah terbalik, dll. Ada juga kolam renang. Ada mushala, toilet, foodcourt, kios jajanan, dll. Intinya fasilitas lengkap. Kalau ke sana sebaiknya sejak pagi, sehingga waktunya cukup untuk mengeksplorasi seluruh area dan wahana di sana 👌"
Siti Balkis,5,7 bulan lalu,Hari biasa,"Salah satu wahana di Jatim Park 2 yang menawarkan edukasi tentang gaya hidup ramah lingkungan sekaligus bermain dan berinteraksi bersama satwa. Satwa yang ada di sini ada aneka burung dan unggas, serangga, domba, sapi, kelinci, kuda poni, rusa, berang-berang, primata, hingga pinguin. Bisa animal feeding dan ada animal show juga. Ada juga zona edukasi kebudayaan tentang miniatur candi hingga mempelajari batik. Di Science Center, kita dapat belajar mengenai stalaktit dan stalakmit, serta simulator gempa, angin, dan tsunami. Tidak lupa seperti di semua wisata Jatim Park Group, selalu ada wahana permainan gratis. Kalau cape berjalan kaki, ada penyewaan ebike. Disarankan juga membawa stroller buat yang membawa balita karena area Eco Green Park sangatlah luas. Sayangnya, dibanding kunjunganku ke sini di tahun sebelum pandemi, ada beberapa zona yang sepertinya kurang terawat. Buat yang memang ingin berkunjung ke Jatim Park 2, disarankan beli tiket bundling karena lebih murah. Aku nginap di Pohon Inn karena memang ingin menjajal semua wahana JTP 2. Bagi tamu yang menginap di Pohon Inn, tiket yang dibeli di sini berlaku 2 hari, kecuali Eco Green Park yang hanya berlaku di hari pertama pembelian tiket. Jadi, di hari pertama aku berkunjung ke Eco Green Park & Museum Satwa, lalu di hari ke-2 ke Batu Secret Zoo & Sweet Memories Selfie. IG: tracemyfootprints"
Lin Cuys,5,2 bulan lalu,Hari biasa,"Aaarghhh kembali lagi ke jatim park2,setelah hampir 6tahun lalu Kenapa pilihan nya kembali ke jatim 2? Karena mau liat binatang nya lagi,dibanding yang baru sepertinya saya tetep paling fav di jatim2 Harga tiket weekday 150k/person+terusan *Eco park+jatim2+museum+memories selfie Tempat tetap jempol.bersih n terawat Semua binatangnya sehat dan harga makanan nya di dalam situ juga murce Dari pagi sampe tutup baru selesai kita jalanin jatim2,sangat wprth every penny kata suami yang baru pertama ngikut ke jatim park"
puspita ica,5,5 bulan lalu,Akhir pekan,"cocok buat edukasi anak"" banyak binatang & pelajaran🥰 kemarin kesana agak sepi jadi enak buat njelajah"
Idris Efendi,5,setahun lalu,Akhir pekan,"Eco Green Park di Kota Batu adalah destinasi wisata yang asyik buat kamu yang ingin menikmati liburan sambil belajar tentang alam dan lingkungan. Tempat ini nggak cuma menawarkan pemandangan hijau yang segar, tapi juga banyak wahana edukatif yang seru untuk dikunjungi. Pas banget buat kamu yang pengen refreshing sambil menambah wawasan. Masuk ke dalam Eco Green Park, kamu akan disambut dengan berbagai macam taman tematik, seperti Taman Burung yang penuh dengan berbagai jenis burung eksotis. Di sini, kamu bisa melihat burung dari dekat dan bahkan memberi makan mereka. Ada juga Taman Hydroponic yang bakal bikin kamu paham gimana cara bertani modern tanpa tanah. Menarik banget, kan? Kasih makan: 5k/spot Harga Tiket: 70k Minuman : 10k-50k"
SiNyoman AWww,4,2 bulan lalu,Akhir pekan,Good blul sempet masuk keburu hujan jdi ambil yg di dalam ruangan saja.
Septian Eko N,5,4 minggu lalu,Hari libur nasional,"Eco Active Park, sebelumnya dikenal sebagai Eco Green Park, adalah destinasi wisata edukatif yang terletak di kawasan Jatim Park 2, Kota Batu, Jawa Timur. Tempat ini menggabungkan konsep pelestarian lingkungan, interaksi dengan satwa, dan teknologi ramah lingkungan dalam satu kawasan seluas sekitar 5 hektar. Dengan lebih dari 35 zona edukatif, Eco Active Park menawarkan pengalaman belajar yang menyenangkan bagi seluruh anggota keluarga. Salah satu daya tarik utama di Eco Active Park adalah koleksi lebih dari 1.000 spesies burung eksotis dari berbagai belahan dunia, seperti flamingo, kasuari, emu, dan elang. Pengunjung dapat berinteraksi langsung dengan burung-burung ini melalui sesi pemberian makan dan pertunjukan burung yang diadakan sepanjang hari. Selain itu, terdapat wahana edukatif seperti simulator gempa dan badai, yang memberikan sensasi nyata dan mendidik tentang fenomena alam. Fasilitas pendukung di Eco Active Park cukup lengkap, termasuk area parkir luas, mushola, toilet bersih, food court, dan penyewaan e-bike untuk memudahkan eksplorasi area yang luas. Harga tiket masuk bervariasi, mulai dari Rp50.000 untuk hari biasa hingga Rp80.000 untuk akhir pekan. Tersedia juga paket bundling dengan Jatim Park 2 seharga Rp150.000–Rp170.000, yang memungkinkan pengunjung menikmati lebih banyak wahana dalam satu kunjungan. Dengan kombinasi antara edukasi, hiburan, dan pelestarian lingkungan, Eco Active Park menjadi destinasi wisata yang ideal bagi keluarga yang ingin menghabiskan waktu berkualitas sambil belajar dan bersenang-senang. Kunjungan ke tempat ini tidak hanya memberikan hiburan, tetapi juga menanamkan kesadaran akan pentingnya menjaga lingkungan dan keberagaman hayati."
punya nana fikri,5,7 bulan lalu,Hari biasa,"tempat wisata keluarga yang recommended dan murah. cocok untuk wisata edukasi bagi anak-anak. selain itu disini juga ada wahana. hewan-hewan yang ada disini juga cukup terawat, didominasi jenis burung dulu dateng kesorean jadi udah sepi bangett dan udah banyak wahana yang tutup."
Made Nias,5,4 bulan lalu,Hari libur nasional,"Tempat wisata di Batu Malang yang penuh dengan edukasi, tempat berlibur yang cocok dengan keluarga 👍🏻👍🏻👍🏻"
Hidayatullah Almaududi,5,2 bulan lalu,Akhir pekan,Taman edukasi yg cukup lengkap. Dengan atraksi burung yg keren.
Nina Dawson,5,setahun lalu,Hari biasa,"Kesini udah 3x dan keliatan sih perkembangannya. Bagus, bersih dan edukatif. Kesini bersama rombongan sekolah jd enjoy banget ga berasa capek karena rame2. Syg, kolam renangnya kecil jd ga cukup utk menampung byk anak, apalagi kalo jadwalnya barengan 4-6 sekolah. Semoga next bisa diperbesar kolam renangnya."
