reviewer_name,rating,date,review_text
Islahdka,5,3 bulan lalu,"Not the best but a great place to hike for beginners, jalanan licin jika musim hujan. Estimasi 2.5 jam jalan santai, awas banyak monyet di puncak dan jangan sekali2 beri makan monyet di puncak"
Pilgrimage of Mind and Spirit,5,4 bulan lalu,"🏔️ _Gunung Panderman_ menawarkan pengalaman pendakian yang menenangkan dengan jalur yang relatif bersahabat. Terletak di Kota Batu, gunung ini menjadi pilihan favorit bagi para pendaki yang ingin menikmati suasana alam tanpa rute yang terlalu ekstrem. 🌲 Sepanjang perjalanan, pendaki akan disuguhi pepohonan rindang dan udara yang sejuk. Puncaknya menyajikan panorama menawan, terutama saat fajar menyingsing atau senja turun. Dari sini, lanskap Kota Batu dan Malang tampak begitu indah. 📷 Momen ini diabadikan pada 19 Januari 2020."
Produsen Kaos Malang,4,4 bulan lalu,"Tanjakan lumayan, yg bikin agak jengkel adalah sun-gokong nya, kayak gak bisa bebas makan makan. Puncaknya agak rimbun jadi pemandangannya lumayan tertutup pepohonan. Bagus untuk pendaki pemula"
Adi Polenk,4,sebulan lalu,Pendakian 11mei 2025 .. Awal pendakian lancar sampai pos 3 hujan deras. Terpaksa ngecamp di pos 3 karena beberapa pertimbangan.
Adinda Darmana,5,2 bulan lalu,"Perjalanan menuju ke gunung panderman. Aksesnya mudah untuk dituju dan disediakan ojek harga yang ekonomis . Menikmati pemandangan dan pendakian ke gunung panderman, gunung buthak. . Diharapkan para pengunjung mempersiapkan fisik dan logistik. . Selamat berlibur para pengunjung. #localguidesmalang #gotoMUN4"
Gerald Dion,4,seminggu lalu,"BARU jalan sngt landai 🙂‍↕️👀, tempuh perjalanan ±1 jam setengah, monyetnya sih yg agak ganggu …"
Asmar M Regan Madani,5,6 bulan lalu,"Kesini mengawal temen yang debut mendaki HAHHAHAHAHA! Waktu Pendakian BC - Pos 1 : 40 Menit Pos 1 - Watu Gede : 1 Jam 20 Menit Watu Gede - Puncak : 2 Jam Total : 4 Jam Jarak Tempuh : 3,5Km Elevasi : 2045 Meter Elev Gain : ± 800 Meter Ini merupakan line pendakian pendek saya yang paling lama, walaupun sebenernya untuk normalnya cuma 2-3 jam saja. Untuk jalurnya sendiri masih bisa dimaafkan oleh kaki dari bc sampai pos 1 latar ombo, tapi setelah pos 1 menuju ke watu gede sudah mulai membuat ngos ngosan, apalagi setelah watu Gede masih harus melewati 2tanjakan brutal yang kadang"" ada monyet yang tiba tiba menyerang wkwkwk disini tidak ada sumber air ya guys, adanya hanya warung saja di latar ombo dan itu jauh dari puncak. disini perlu berhati hati ya guys karena dominasinya memang tanjakan dan itu lumayan panjang, apalagi musim hujan membuat jalurnya menjadi super licin. Tips : kalau ketemu jalan licin, usahakan mencari kayu untuk menusuk tanah sampai agak gembur (khusus naik atau turun) biar sepatu jadi ada grip dikit, atau mencari guguran pohon cemara kering untuk nantinya di injak dan usahakan tidak merosot dengan sengaja, karena malah merusak track dan membahayakan"
Elang Timur,4,5 bulan lalu,Track pendek dan menantang karena banyak monyet. Suasana asri dan cukup bersih. Bisa mihat lautan awan kalau beruntung
HAFIDZ ZUYYINARRAHMAH,4,setahun lalu,"Cocok untuk pemula yang sudah pernah mendaki sebelumnya. Treknya nanjak terus, vegetasi juga lumayan rapet, banyak monyet, sumber air tidak ada. Panorama kota batu dan pegunungan sekitar buthak!!! ademm krna musim ujan, licin juga!!! SERU"
Hastuti Moeljono,5,setahun lalu,"Sejujurnya, saya bukan berada di gunung panderman nya. Di pinggiran jalanan, saya menemukan sunrise, walau sudah kesiangan."
Mufa Mufaroha,5,10 bulan lalu,"Alhamdulillah, naik ke panderman kali ini banyak ya allah ya allahnya soalnya naiknya nanjak terus dan cukup menantang bagi saya 😂 hati hati banyak monyet yaa. Soalnya temen saya kaosnya yang dia keluarin dari tas kena jambret monyet hihi …"
Surya Simarmata,5,setahun lalu,"Gunung panderman merupakan salah satu dari sekian gunung yang ada di wilayah kota batu, terletak di desa pesanggrahan, dengan ketinggian 2045 mdpl gunung ini sangat cocok untuk pemula. Waktu yang diperlukan untuk bisa sampai puncak sekitar 2-3,5 jam tergantung dari kekuatan masing - masing orang. Untuk akses menuju pos masuk pendakian gn panderman sangat mudah, sekitar 10-15 menit dari alun - alun kota batu."
Yuniar Yudhistira,5,2 tahun lalu,"Pas di puncak hati2 dgn monyet merebut tas makanan 😄, cocok buat pemula. Perjalanan sampai puncak 2,5jam termasuk istirahat sebentar. Jalur menanjak sekitar 40 menit menuju puncak. Masuk tiket 15rb. Ada parkir mobil dan motor manual di pos. Utk matic parkir dibawah perkampungan 2,5km dr pos. …"
ricky Pasaribu,4,2 tahun lalu,track sih lumayan santai cuma harus isi air dari pos 1 soalnya masuk pos pos lain sampe puncak gak ada sumber air lagi. monyet nya banyak banget tapi gak ganggu sih cuma kalau logistik lebih baik di simpen di tas agar gak gampang di bongkar monyet. titik sunrise nya ciamik parah lautan awannya cakep banget minusnya masih banyak pendaki yg lupa dengan sampah nya. kalau bagi pemula sih lumay asik.
