reviewer_name,rating,date,visit_time,review_text
Cak Abidin,5,seminggu lalu,,Menakjubkan
Leo van Galen,4,sebulan lalu,Hari biasa,
Zhy Rex,1,2 bulan lalu,Hari biasa,
Cici Lucia,5,2 bulan lalu,,Diterjemahkan oleh Google ・ Lihat versi asli (Inggris)
Yusuf Efendi,1,2 bulan lalu,Akhir pekan,
Devito Pradipta,1,3 bulan lalu,,
Hadi Gunarto,4,3 bulan lalu,,
Gussari Pujon,5,3 bulan lalu,,Alhamdulillah saat sudah Berbenah goa pinus
Hussein Abdullah,5,4 bulan lalu,Hari libur nasional,
Syahri Ramadhan,5,4 bulan lalu,,
Farandi Anggono,4,4 bulan lalu,Akhir pekan,"Pemandangannya sendiri bagus tapi tempatnya sudah sepi, tidak ada perawatan apa pun pada fasilitas di dalamnya, kafenya sudah tutup untuk selamanya"
dwia prass,5,6 bulan lalu,Hari biasa,Pernah kesini pas cuaca mendung dan kita kehujanan bikin suasana jadi syahdu. Dingin2 berkabut enak buat ngopi disini.
Paula Anindia,3,6 bulan lalu,Akhir pekan,"Hal yang sangat disayangkan dari tempat sebagus ini adalah tidak dikelola dengan baik, pemandangannya sangat sangat indah, akses menuju goa pinus jg mudah ga susah nyarinya via google map, krn tidak dirawat, banyak nyamuk dan terbengkalai, sedih banget padahal viewnya cantik dan hawanya sangat sejuk"
Saneva Maharani,5,7 bulan lalu,,
Riadi Surya,3,7 bulan lalu,,Sejujurnya tidak banyak yang bisa dilakukan di sini kecuali Anda mencari tempat yang tenang untuk melakukan pencarian jiwa.. tetapi saya tetap memberikan nilai bagus karena satu tempat yang dapat Anda lihat pada gambar Diterjemahkan oleh Google ・ Lihat versi asli (Inggris)
Ian Lim,1,7 bulan lalu,,
alphie chan,5,8 bulan lalu,Akhir pekan,"Lokasinya dekat dengan paralayang.. lereng gunung Banyak.. jalanan cukup menanjak, tp tidak terlalu ekstrim.. pemandangan bagus."
Hadi Rubianto,5,8 bulan lalu,Akhir pekan,"Tempatnya enak dan nyaman, tenang tidak berisik dari bising kendaraan"
sabillatann,3,9 bulan lalu,,tempatnya agak tidak terawat dan sepi pengunjung juga
Zaman Zulqarnain,1,9 bulan lalu,,
