reviewer_name,rating,date,visit_time,review_text
Leo van Galen,4,sebulan lalu,Hari biasa,
Zhy Rex,1,2 bulan lalu,Hari biasa,
Yusuf Efendi,1,2 bulan lalu,Akhir pekan,
Hussein Abdullah,5,4 bulan lalu,Hari libur nasional,
Farandi Anggono,4,4 bulan lalu,Akhir pekan,"Pemandangannya sendiri bagus tapi tempatnya sudah sepi, tidak ada perawatan apa pun pada fasilitas di dalamnya, kafenya sudah tutup untuk selamanya"
dwia prass,5,6 bulan lalu,Hari biasa,Pernah kesini pas cuaca mendung dan kita kehujanan bikin suasana jadi syahdu. Dingin2 berkabut enak buat ngopi disini.
Paula Anindia,3,6 bulan lalu,Akhir pekan,"Hal yang sangat disayangkan dari tempat sebagus ini adalah tidak dikelola dengan baik, pemandangannya sangat sangat indah, akses menuju goa pinus jg mudah ga susah nyarinya via google map, krn tidak dirawat, banyak nyamuk dan terbengkalai, sedih banget padahal viewnya cantik dan hawanya sangat sejuk"
alphie chan,5,8 bulan lalu,Akhir pekan,"Lokasinya dekat dengan paralayang.. lereng gunung Banyak.. jalanan cukup menanjak, tp tidak terlalu ekstrim.. pemandangan bagus."
Hadi Rubianto,5,8 bulan lalu,Akhir pekan,"Tempatnya enak dan nyaman, tenang tidak berisik dari bising kendaraan"
lauren glou,1,10 bulan lalu,Akhir pekan,kecewa bgt jir
muhammad fattah,3,10 bulan lalu,Akhir pekan,kurang terawat
Arif Rahman Hakim james,5,10 bulan lalu,Hari biasa,
Andre Setiawan,1,11 bulan lalu,Hari biasa,tidak terawat
Aster Mocca,1,11 bulan lalu,Hari biasa,"Tempatnya terbengkalai, bahkan banyak tempat duduk yang sudah berlumut."
Rismauliya Melati Surya,3,setahun lalu,Hari biasa,"bersih, bisa lihat pemandangan, tapi seperti sudah jarang dikunjungi, masuk bayar parkir dan tiket, jika masuk ke goa harus beli tiket lagi."
Arjenega Damanike,5,setahun lalu,Hari libur nasional,"tempatnya enak buat ngelamun gitu, dan hawanya juga enak dingin"
Said Abdullah,5,setahun lalu,Hari biasa,"wisata disamping paralayang kota batu, untuk melihat keindahan desa dibawah sangat worth it sekali, tapi disini sangat sepi dibandingkan paralayang itu sendiri. tempatnya ga begitu luas, dan ada goa memang cuman seperti goa buatan yang pendek tidak sedalam itu"
Feerenza,1,setahun lalu,Akhir pekan,"Mending ke wisata2 lain harga masuk lebih murah, fasilitas nya lebih bagus, pemandangan juga lebih bagus."
Ghias Gie,5,setahun lalu,Akhir pekan,Self healing.. spotnya bagus bagus tapi ada beberapa spot dikenakan biaya lg tapi ga mahal ko cuma 10rbu.. recommend
Astrid Wira Yudha,4,setahun lalu,Hari biasa,Sepertinya kurang perawatan sekarang ya dan untuk keamanan tempat swa photo juga minim
Aisyah arfayanti,4,setahun lalu,Akhir pekan,"Tempatnya sepi, udh keliatan ga kerawat tapi masih worth it buat dikunjungi"
Anas Bahfi,3,setahun lalu,Akhir pekan,
Andy Wijaya,5,setahun lalu,Akhir pekan,
OKTAFIA NURAZIZAH,3,setahun lalu,Hari biasa,
mochammad syaifuddin,1,setahun lalu,Hari biasa,"Tempat tidak terawat, harus bayar loket 2x"
Khansa Maritza,4,setahun lalu,Hari biasa,
Ellzio,4,setahun lalu,Akhir pekan,
c,5,setahun lalu,Akhir pekan,
ulfa risma,5,setahun lalu,Hari libur nasional,Cukup untuk menikmati Batu dari sisi atas
Mister Ardy,1,setahun lalu,Akhir pekan,"Maaf, harus review jujur. tempatnya sepi, sepertinya lama tidak dirawat. tiket masuk 10r, didalam bayar lagi 10rb."
BAMBU RANCAK,5,setahun lalu,Akhir pekan,
Lova Ocha,4,setahun lalu,Hari biasa,
Indra Goenawan,5,setahun lalu,Akhir pekan,
Ridwan Purnomo,5,setahun lalu,Hari biasa,
Aulia Aisya Cahyarani,3,setahun lalu,Hari biasa,"medannya ga seberapa nanjak, jalan menuju lokasi juga ga seberapa rusak, bisa dilalui mobil, motor matic juga bisa kesini. semoga kedepannya bayar pintu masuknya sekali aja ya mas/mba, baru saya kasih bintang 5."
Muthi Sarwiyata,5,setahun lalu,Hari biasa,
Azman Rusli,5,setahun lalu,Hari biasa,
Ariel thetravellers,3,setahun lalu,Hari libur nasional,
Felita Gutana,3,setahun lalu,Akhir pekan,"super kecil kyk kamar kost an, gtau apa yg dilihat buat jd tempat wisata 😅"
Citra,5,setahun lalu,Akhir pekan,"Tempat healing yang sangat estetik. Awas jangan salah jalan, jika mengikuti GMaps bisa dilewatkan jalan kecil dan terjal serta tanjakan sangat curam. Lokasi bersebelahan dengan wisata Paralayang."
Nikmatul Azizah,4,setahun lalu,Hari biasa,"Tempatnya bagus, pemandangannya dapet juga. Cuman udah mulai engga terawat, ada spot yg udah rusak dan belum diperbaiki lagi. Buat biaya masuk per motor aku kemarin 25k per motor, terus pas mau masuk yg lebih ke dalam buat dapet spot yg lebih bagus bayar lagi 10k per orang. Mau bilang mahal tapi lumayan worth it sama pemandangannya. Tapi kalo dibilang murah juga enggak menurutku karena banyak tempat wisata lain yg lebih murah. Selebihnya it's okay ke sini untuk refreshing melepas penat✨"
ahmad tumroni,5,2 tahun lalu,Hari libur nasional,
infar marley,5,2 tahun lalu,Hari libur nasional,
Yunita Setyowati,5,2 tahun lalu,Akhir pekan,
Dito,4,2 tahun lalu,Hari biasa,
Nur Affiq,4,2 tahun lalu,Akhir pekan,
Alenn 1922,5,2 tahun lalu,Akhir pekan,BAGUS KANNN
fredy kurniadi,5,2 tahun lalu,Akhir pekan,
ucupjune,5,2 tahun lalu,Akhir pekan,Tempat wisata alam yg cukup menyegarkan mata
Ongko Shiuan,3,2 tahun lalu,Hari biasa,
Septimia Ambarwati,5,2 tahun lalu,Akhir pekan,
Afa Royyy,1,2 tahun lalu,Hari biasa,
Nizli Grace,1,2 tahun lalu,Hari biasa,Jelek ga wort it bngt bayar 2 kali per orang tempat tidak terawat
Aldwin Nouvalrifqi,5,2 tahun lalu,Akhir pekan,"Tulisannya buka jam 8, pas kemarin kesana gak ada yang jaga loket haha. Have a nice hidden spot for photo, lokasi dekat / di bawah paralayang. Akses bisa pakai mobil dan motor, depan loket ada parkiran kecil, pas dateng ga ramee jadi cuma 2 motor aja"
Desy Evelyn,3,2 tahun lalu,Hari libur nasional,
Lina_ Gunawan 88,2,2 tahun lalu,Hari libur nasional,
dilla khff,5,2 tahun lalu,Akhir pekan,
Theresia Wiwin,4,2 tahun lalu,Akhir pekan,
Roy Sulahyar,4,2 tahun lalu,Akhir pekan,"Maaf tanya,apa bisa masuk/lewat pakek mobil ya?"
Hafiz Furqoni Wisam Azizi,3,2 tahun lalu,Akhir pekan,
Tiar Tiara,5,2 tahun lalu,Akhir pekan,Serius view di sini bener² apik banget. Cocok banget buat refreshing biar ga jenuh sama pekerjaan atau hal² yang mengganggu pikiran. Cuma sayangnya skrng di Goa Pinus kurang terawat tempatnyaa
Rischa Novian,5,2 tahun lalu,Akhir pekan,"Baru datang dilokasi sudah disuguhi oleh pemandangan alam yang cantik... udara di sini juga sangat sejuk, cocok sekali untuk refreshing melepas penat. Tiket masuk juga sangat terjangkau, ada tempat untuk parkir. Daerah Batu, jawatimur 👍🏼"
Nanayu Mokoagow,4,2 tahun lalu,Hari libur nasional,"Gak seindah dulu ,kayu udah pada rapuh"
Alil Santoso,5,2 tahun lalu,Hari biasa,"Tempatnya bagus,kebetulan ksni pas Cerah. Cuma sayangnya per spot fto harus bayar"
Grishelda Safa Kamila,1,2 tahun lalu,Akhir pekan,
Niken Maharani,4,2 tahun lalu,Akhir pekan,
Cak Man,5,2 tahun lalu,Hari libur nasional,Tempat merenung & indah
My Body My Choice,5,2 tahun lalu,Hari biasa,"keren banyak pohon pinus masuk sini cuman 10rb, mungkin map nya kurang akurat ya tapi ya deket deket situ tapi worth the price kok"
Gilang Indra K.,3,2 tahun lalu,Hari biasa,
Pira Santoso,5,2 tahun lalu,Hari libur nasional,Pemandangan indah dan sejuk
Zenal Muttakin,2,2 tahun lalu,Hari biasa,Sepi pengunjung dan kurang terawat
Machmud Herry setyawan,5,2 tahun lalu,Akhir pekan,
Rini Wulandari,3,2 tahun lalu,Hari biasa,"Banyak properti yang ngga kerawat seperti balonnya, terus banyak lumut😄 sayang bgt"
Moh Zainal Alim,1,2 tahun lalu,Akhir pekan,Wisata kayak kuburan nih
Rommy Sutanto,1,2 tahun lalu,Akhir pekan,Rugi masuk disini.Ga ada spot menarik karena pada rusak.
Brian Kusuma Putra,5,2 tahun lalu,Hari biasa,
Fajar Argo Wibowo,5,2 tahun lalu,Akhir pekan,
Bungsu Tri Wahyono,5,2 tahun lalu,Akhir pekan,Bagus banget
Dar Mini,5,2 tahun lalu,Hari biasa,Gut place for narsis
Rohmatus Solihah,5,2 tahun lalu,Akhir pekan,
Arahman Arahman,5,2 tahun lalu,Hari biasa,
B A W A,5,3 tahun lalu,Akhir pekan,
Muhammad mikail ar roikhan,5,3 tahun lalu,Hari biasa,
Nadya Zubair,4,3 tahun lalu,Hari biasa,
Maha Nanta,4,3 tahun lalu,Hari biasa,"Selain wisata paralayang wisata 'Goa Pinus' ini, wajib nih untuk di kunjungi toh ya sejalur kok jalannya. Dengan harga tiket Rp 10.000 per orang dan parkir motor Rp 5.000 anda sudah dapat menikmati pemandangan alam yang begitu indah dari atas bukit. Untuk tempatnya si lumayan sepi jadi enak gitu ga terlalu ramai dan tenang rasanya. Goanya biasa aja kok, kecil, ga ada unsur mistis-mistisnya wkwkwk. Masalah sinyal agak susah yh disini karna di atas bukit mungkin saran bisa pakai telkoms*l aja."
Putu Gede D.P.,5,3 tahun lalu,Hari biasa,
Novy Irawatie,4,3 tahun lalu,Hari biasa,
Budhi Harjo Sanyoto,5,3 tahun lalu,Akhir pekan,Tempat yang wajib dikunjungi saat menikmati liburan Anda
wempy,5,3 tahun lalu,Akhir pekan,Berjalan-jalan dan nikmati alam
Ha and Ris,5,3 tahun lalu,Hari biasa,🏕Tempat paling cocok buat holiday akhir pekan 🌲Pemandangan pohon pinus yang memanjakan mata ✅REKOMENDED
Astuty Meina,5,3 tahun lalu,Astuty Meina,
Desy Indraw,4,3 tahun lalu,Akhir pekan,Sejuk bgt udara nya buat cari angin... Pengelola ramah.
Ok Fendrik dwi pamungkas,4,3 tahun lalu,Akhir pekan,Suasana nyaman asri adem.. masih alami banget.. tolong untuk kebersihan di maximalkan..
Denias M,5,3 tahun lalu,Akhir pekan,
