reviewer_name,rating,date,visit_time,review_text
Ukhtiana,4,seminggu lalu,Hari libur nasional,"Seperti tempat liburan pada umumnya, bukanya jam 10 pagi dengan tiket yang bisa dibeli on the spot. Sayangnya untuk harga tiket berlaku tiket terusan, bisa dengan museum tubuh atau dengan museum angkut (dengan harga yang berbeda). Tempatnya luas dan banyak permiainan seru, kayaknya satu hari gak bakal cukup untuk explore keseluruhan tempat."
Miss Ferlyn,5,2 minggu lalu,Hari biasa,"Cocok untuk edukasi science terutama untuk anak sekolah. Bisa dicoba alat peraga yang ada di dlm. Beli tiketnya sekalian tiket ke museum angkut. Lagi high season jadi agak mahal, cuman worth it lah harga segitu dgn segala wahana yg ada. Cuman ada bbrapa fasilitas yg tdk ter include dlm tiket."
Lily Indahsari,5,sebulan lalu,Hari biasa,"Untuk tiket rombongan saran saja lebih baik beli di tempat karena banyak potongan apalagi rombongan dari sekolahan, kalau untuk sendiri bisa beli tiket masuknya di online Kebetulan kesana pas waktu liburan sekolah jadi rame, walaupun rame kalau mau naik wahana tertentu antrinya nggak lama kok jadi tenang aja."
Agritha PN,5,3 bulan lalu,Hari libur nasional,"Kesini tgl 6 april 2025. Rame banget, area bersih, banyak titik toilet jadi aman, naik wahana apapun gampang ga lama antrinya, banyak wahana gratis, ada juga yg berbayar start 25K. Harga makanan dan minuman normal. Saran kesini beli tiket online aja karna antriannya ga terlalu panjang, pake pakaian tertutup dan topi karna ini outdoor dan panas pool. Butuh 1 harian untuk bener bener bisa nikmatin semua. Seruuuu JTP 1 Kereeennn."
Olivia Yunita,5,2 bulan lalu,Hari biasa,"Seru bgt wajib dikunjungi kalau ke malang 😁 Jatim park 1 punya wahana kurang-lebih 60 wahana seru dan banyak memacu adrenalin contohnya wahana keramat Deket gokart. Mulai dari wahana air, roller coaster bahkan rumah hantu pun ada Tempatnya luasss, pastiin pake alas kaki nyaman. Toilet tersedia cukup banyak, ada foodcourt jadi ga bakal kelaperan. Kesini tuh sengaja mau coba main gokart bayar terpisah bisa tunai atau Qris jadi praktis Dijamin ga akan bosen guys"
mita kusuma,5,2 minggu lalu,Akhir pekan,"Permainan beragam dari yang soft sampai yang extreme. Ada beberapa lokasi makanan di dalam jatim park 1, Saya berkunjung saat musim hujan,di sarankan membawa payung/jas hujan."
yudistyawan yudistyawan,5,3 bulan lalu,Akhir pekan,"Terakhir kali kesini sudah lebih dari 10 tahun yang lalu, sekarang sdh lebih banyak perubahan dan lebih modern, banyak dilengkapi dengan tema science dan edukasi, ada juga tema etnik. wahana-wahana nya juga ada untuk segala usia, anak-anak hingga dewasa. dan yang utama diantaranya waterpark."
Rani Fara Yunia,5,sebulan lalu,Akhir pekan,"JTP1 sangat mengedukasi, wahananya lumayan banyak dan seru2, sayang waktu kesana lumayan rame karna musim outing klas, jd waktunya habis buat ngantri permainan, semoga nanti2 bs kesana lagi 😊"
Rizki Rachmansyah,5,2 bulan lalu,Akhir pekan,"Wisata Sambil Belajar Yaa Kesini , Belajar Sambil Happy , Belajar Sejarah Kebudayaan Indonesia Dan Diakhiri Dengan Happy Di Arena Permainan Dan Kolam Renang , Untuk Stand Makananya Juga Banyak Dan Murah2 Harga Standard , Ilmu Dapat Hati Senang Gembira , Mantap JTP1 JTP2 JTP3 Museum Angkut 👍👍👍 , Tinggal Ke Baloga Dan Ke BNS yang Belum"
Ervin Fitri Agusdiana,5,sebulan lalu,Akhir pekan,"Kesini bersama teman teman, menghabiskan waktu dengan berbagai permainan yang sangat kerenmulai dari rumah pipa, rumah hantu, bombom car dan lain lain, ada juga miniatur indonesia dalam rumah adat dan baju adatnya, ada bagong anventure yang berceritatentang mulut dan keringkongan, serta tidak ketinggalan studio 3 film dimensi"
Alll,5,3 bulan lalu,Hari biasa,
ruwaidah damayanti,4,2 bulan lalu,Hari libur nasional,"harus remidi. karna di bulan desember masih musim hujan. jd bbrp wahana tdk beroperasi. hanya perlu diperbaiki di aquarium & kebersihan bbrp spot. aku booking lewat tiket.com jd lebih murah drpd beli on the spot. pokoknya kalo beli lewat online no antri². saran sy klo ngincer wahana, skip museum² nya dlu. krn wahana nya banyak + antri. harus remidi di thn ini (2025)"
Adzwar Azhari,5,5 bulan lalu,Hari libur nasional,"seru banget tempatnya. jadi inget jaman SD 18 tahun lalu. wahana, wisata edukasi, kolam renang sangat menyenangkan. harga nya menurut saya cukup terjangkau. banyak wahana baru yg seru2 juga. yang paling penting makanan di cafe area kolam murah bgttt. untuk membawa orang tua dengan kursi roda sangat bisa walau ada beberapa turunan dan tanjakan yang curam. sukses selalu jatim park."
Reva Trisma,5,5 bulan lalu,Akhir pekan,"YUK KE JATIM PARK 1 PAKAI KERETA Pesan tiket PP kereta H-7hari pada jam 00.00 agar tidak kehabisan. Ada 3 opsi: 1. Naik Grab Mobil Harga Miring (Turun di stasiun blimbing, jarak lebih dekat jadi tarif lebih murah hanya 73k/mobil 6 orang atau 60k/mobil 4 orang) 3. Naik Angkot Umum. Turun di Stasiun Malang dan cari angkot warna biru kode AL/ADL jurusan terminal ladungsari dengan tarif 5k. Lanjut cari angkot warna ungu kode BL jurusan BATU dnegan tarif 10k. Harga tiket 115.000/weekday dan 125.000/wekend. Beli di TRAVELOKA lebih murah dan gaperlu antri. 1. Datang jam 9 pagi agar tidak antri wahana dan bisa main sepuasnya. 2. Dilarang membawa makanan dari luar, kecuali tumblr atau bekal 3. Main wahana yang telah dipanaskan 4. Mulai dengan wahana yang paling banyak peminat, agar tidak antri panjang di siang hari 5. Jangan memaksakan diri apabila takut/tidak kuat. 6. Bagi pengunjung yang mudah mual disarankan tidak naik wahana yang berputar. Happy Holidayy!!!"
JULI ISWANDI,5,sebulan lalu,Hari libur nasional,"Sangat lengkap wahananya. Wahana banyak yang baru, semakin seru. Sangat cocok untuk belajar sambil liburan."
Bagus Fatkhurrozi (Bagus),5,5 bulan lalu,Hari biasa,"Jatim Park 1 merupakan salah satu destinasi wisata edukasi dan rekreasi paling populer di Kota Batu, Jawa Timur. Tempat ini menawarkan kombinasi wahana permainan yang seru dengan berbagai fasilitas edukatif, menjadikannya pilihan yang tepat untuk wisata keluarga maupun rombongan sekolah. Dengan luas lebih dari 11 hektare, Jatim Park 1 menghadirkan beragam atraksi yang menarik bagi pengunjung dari berbagai usia. Salah satu daya tarik utama di Jatim Park 1 adalah Science Center, yang menyajikan berbagai informasi ilmiah dalam bentuk interaktif, mulai dari fisika, kimia, hingga biologi. Selain itu, terdapat Galeri Nusantara yang memperkenalkan kebudayaan dari berbagai daerah di Indonesia, sehingga memberikan pengalaman belajar yang menyenangkan. Bagi pecinta wahana ekstrem, Jatim Park 1 juga menyediakan berbagai permainan seru seperti Flying Tornado, Sky Ride, dan Volcano Coaster yang menguji adrenalin. Ada juga wahana air seperti Waterboom yang cocok untuk anak-anak dan keluarga yang ingin bersantai sambil menikmati suasana sejuk Kota Batu. Selain wahana dan fasilitas edukatif, Jatim Park 1 memiliki area kuliner dengan berbagai pilihan makanan khas Jawa Timur, sehingga pengunjung tidak perlu khawatir soal tempat makan. Ditambah dengan fasilitas lengkap seperti area parkir luas, mushola, dan pusat oleh-oleh, tempat ini menjadi pilihan wisata yang nyaman dan menyenangkan. Secara keseluruhan, Jatim Park 1 adalah destinasi wisata yang menggabungkan hiburan dan pendidikan dengan baik. Dengan banyaknya wahana menarik dan suasana yang nyaman, tempat ini layak menjadi tujuan utama bagi wisatawan yang berkunjung ke Kota Batu."
Bowo Ardianto,5,6 bulan lalu,Hari libur nasional,"Berwisata sekaligus belajar kebudayaan Indonesia. Wahana menambah ilmu pengetahuan sambil rekreasi. Areanya sangat luas. Anjungan dari suku-suku di Nusantara tersaji lengkap. Selain itu banyak wahana permainan. Mulai dari flying dok, family coaster, hingga kolam renang. Jalur dari awal sampai akhir menuju pintu keluar sangat rapi. Walaupun pengunjung ramai namun masih bisa leluasa menikmati suasana. Sehari rasa-rasanya belum cukup untuk mengunjungi tempat ini. Sip, mantab dan keren !"
