reviewer_name,rating,date,visit_time,review_text
arif hidayat,5,3 minggu lalu,,"Kesini 11 Juli 2025, tanpa reservasi sebelumnya. Harga tiket petik 25 ribu bisa cicip beberapa buah stroberi dan gratis jus stroberi. Utk hasil petik nanti bayar, harga per ons. Pelayanannya ramah, karena baru banyak kunjungan dan buah sudah tidak terlalu banyak dibolehkan untuk mengecek dulu jika tidak jadi gpp, mungkin sebaiknya reservasi dulu biar ga kecewa jauh² datang tapi buahnya tidak banyak. Waktu antrean Tanpa mengantre Sebaiknya buat reservasi Tidak yakin"
Dyah Lestari,5,4 bulan lalu,Akhir pekan,"Baru pertama kali kesini Ternyata kebunya luas, Strobery nya manis Tiket masuk 25k dapat jus strobery lagi Untuk kknya juga ramah"" Nanti kesini lagi deh"
Febrita Fadila,5,6 bulan lalu,Akhir pekan,Seru ke sini ke lumbung strawberry. Ada atv nya diberi jus starwberry bener2 enak segerrr manteb. Keiling cari strawberry seruuu pake caping biar kayak petani. Enak lah disana.
Dezan Rahmanus,4,11 bulan lalu,Akhir pekan,"Lahan parkir lumayan dan untuk bis besar sulit masuk karna aksesnya sempit, lokasi dekat dengan masjid dan masjid nya bersih untuk tempat petik strawberry agak jauh karna full booking dan lokasi lumayan jauh cuman banyak buahnya selebihnya pas dan cocok"
Cyan Thunder,5,10 bulan lalu,Akhir pekan,HTM 25k/orang. Free jus stroberi segar. Kebun luas dan buah berkualitas. Bisa makan maksimal 3 buah stroberi per orang. Buah yang dipetik wajib dibeli sesuai isi keranjang yang dipetik karena mengutamakan kesegaran dari buah itu sendiri. Guide ramah dan ada mobil shuttle untuk menuju kebun. Cocok untuk liburan keluarga ataupun bersama teman yang ingin bersantai di akhir pekan.
Christina The,1,4 minggu lalu,,"Bad experience. Saya tadi kesana ber-14. Sebelum memetik, saya dijelaskan kalau strawberrynya tinggal sedikit dan diminta cek lahan. Tapi karena saya hanya ingin berikan experience memetik strawberry untuk anak, saya tidak masalah dengan itu. Ternyata, mereka punya beberapa lahan dengan petani yang berbeda, dimana di lahan lain, strawberrynya lebih banyak dan segar. Dan mereka tidak menjelaskannya kepada saya. Saya hanya dijelaskan kalau strawberry tinggal sedikit. Pertanyaannya, kenapa saya tidak langsung diberi lahan yang strawberry nya banyak dan segar???? Atau diberi informasi kalau ada beberapa lahan???? Saya sebenarnya tidak mempermasalahkan hal tersebut. Tapi di kasir saya melihat ada ibu2 yang bawa keranjang isi strawberry gendut2, sedangkan punya kami kecil2 dan jelek. Lalu saya hanya curhat sama teman saya kalau saya tidak diberi informasi tentang adanya pilihan beberapa lahan, dan bahwa ada beberapa lahan yang stroberinya masih bagus dan banyak. Eh satu pegawai malah nyolot dengan ekspresi tidak enak, bilang kalau sudah menginformasikan kepala saya untuk cek lahan karena stroberinya timggal sedikit. Anda ngerti kann bedanya informasi kalau stroberi tinggal sedikit dengan informasi kalau ada lahan yang masih ada banyak stroberinya? Siapa yang mau memanen di lahan yang stroberinya jelek dan sedikit kalauu ada yang masih bagus dan banyak? Anda itu sudah salah, informasi anda tidak lengkap, hanya mengarahkan saya untuk menerima / tidak menerima kalau stroberinya tinggal sedikit, tidak memberi tahu saya sama sekali kalau sebenarnya ada lahan yang strawberrynya lebih bagus dan gendut. Saya tidak mempermasalahkan hal tersebut karena hanya ingin memberikan experience memanen strawberry kepada anak-anak. Kalau anda tidak nyolot, saya juga tidak akan memberikan rating 1. Saya juga tidak mempermasalahkan. Saya juga tidak komplain. Saya lagi curhat sama teman saya eh tiba2 anda nyolot. Sungguh experience yang mengecewakan. Seharusnya sebagai penjual, anda lebih transparan dalam informasi ke customer. Bukannya malah sudah salah dalam memberikan informasi yang tidak lengkap, eh malah nyolot ke customer yang sebenarnya juga tidak komplain ke anda!"
Desti Afriani,5,10 bulan lalu,Akhir pekan,"Akhirnya kita kesini. Setelah sekian lama cari wisata petik strawberry akhirnya kita dapat yang juara. Kalau kalian mau kesini enaknya reservasi dulu, jadi tidak perlu antri. Kebetulan kita datang agak siang jadi buat pilih2 yg merah dan manis agak kecil. Tapi beneran manis asem gt. Seger bgt. Wajib kesini lagi deh."
Gita El Hamdun,5,9 bulan lalu,Hari biasa,"Wisata petik strawberry yang lumayan luas. Ada cafenya. Kesini pas weekday jadi gak antri. Pertama masuk kita bakal dijelaskan prosedur buat petik strawberry nya. Terus dikasih kayak tiket buat petik strawberry harganya 25 ribu/ orang. Tiket ini, nntinya bisa di tuker sama se cup kecil jus strawberry. Terus nnti ke kebun strawberry nya di anter pake mobil karena cukup jauh. Pas dikebun sendiri sudah ada mas mas yang menyambut dan menjelaskan cara petik strawberry nya . Kita boleh ambil 3 biji strawberry untuk free tester. Sisanya kita boleh ambil semau kita a. Tapi, nanti pas udah ambil, terus balik ke kafe awal tadi buat di timbang strawberry yang udah kita petik . Harga per 1 ons nya 6000 aja. Mas dan mbaknya ramah. Tempatnya juga adem. Oya, disana juga ATV , tapi kita gak naik sih"
Chorida Kamila,5,setahun lalu,Akhir pekan,"Tiket masuk : 25.000/org Parkir motor : 3.000 Makan dikebun : 3 biji Bawa pulang : 6.000/ons 𝗗𝗶𝘀𝗮𝗿𝗮𝗻𝗸𝗮𝗻 𝗥𝗲𝘀𝗲𝗿𝘃𝗮𝘀𝗶 Kesini Sabtu, 1 desember. Saran yg mau kesini lbh baik reservasi h-2/1 aja krn ternyata kalau reservasi kebun nya sudah disiapkan dan aksesnya lbh mudah, kebetulan saya ngga reservasi Krn takut hujan dan gajadi datang kebunya paling blakang dan becek syukurnya dateng pagi jam 10 jd msh kebagian bagus². Jgn lupa wa dulu/DM untuk konfirmasi gmn keadaan buahnya tersedia banyak/sedikit. Kmrn dibilang admin gaterlalu banyak tp pas disana saya rasa banyak buanya wkwkw gbs bayangin versi banyak kata admin gmn yak asik bgt pasti...harus pinter milih biar ga busuk Setiap pengunjung kek ada tour guide nya dijelasin cara metiknya dan diarahin ke kebun, seinget saya kata masnya kesini bagus kalo bulan 7,8,9 Untuk jus enak banget seger pure strawberry kek gaada gula susu tp seenak itu emang, tp gelas kecil emang. 𝗧𝗲𝗺𝗽𝗮𝘁 𝗠𝗮𝗸𝗮𝗻 Jangan takut laper Krn ada penjual bakso dan enakk bangett!"
tri wahyuningsih,2,sebulan lalu,Akhir pekan,"Dulu berasa pingin cepet balik lg, krn jus stroberi & bakso abang2 gerobak motor yg bening & enak. Kemarin pas kesana lg, jus stroberinya mmg msh enak, tp bakso abang2 gerobak motornya sdh g ada... ada bakso pengganti, karyawan bilangnya sama, tp sy rasa beda jauh 😪 Kyx kl g lg pengen bgt petik stroberi, g ada alasan lg kesana..."
Vienni vien,5,2 tahun lalu,Hari libur nasional,Kalau bingung wisata di malang boleh cobain ini. Menjelang sore uda adem banget Tiket masuk : 25.000 per orang (termasuk metik buah) + Free 1 gelas jus stroberi Beli buah hasil petik 1ons : 6000 Tiket parkir : 10.000/mobil Kalau mau beli buah stroberi yang besar-besar mesti pesan dulu. Kebetulan datang kali ini buahnya ga terlalu besar tapi seger manis
Wisnu Kusuma Wardhani,5,3 bulan lalu,Hari libur nasional,"Agak kecewa, dtg waktu stroberrynya tdk berbuah..,"
Herrera Derby Martharina,5,setahun lalu,,"Wisata petik strawberry yg recommended. Tiket masuknya sangat terjangkau, 25K per orang dengan fasilitas petik strawberry, dapat 3 biji strawberry, dan jus strawberry. Kebunnya banyak ya, meski saya kedapetan kebun yg harus naik mobil kesanannya karena mungkin kami belum sempat reservasi, tapi pemandangannya bagusss. Jus strawberrynya juga enak bgttt !!! Semoga menjadi desa wisata yang semakin memberdayakan warga sekitarnya."
Shantica Arum Ramadhani,5,3 tahun lalu,Akhir pekan,"Dari arah Cangar, Batu lebih deket dari jalan gede. Kalau dari arah Kota Malang agak susah ya aksesnya. Tapi jalannya udah bagus kok. Sepanjang jalan menuju kebunnya sejuk, didukung memang kawasan Batu pasti dingin-dingin sejuk. Ini desa wisata, beberapa kali dinobatkan jadi desa wisata terbaik dari kemenparekraf. Kualitas pelayanannya baik, dari harga paket petik dan beli pengalamannya juga baik. Petik stroberi, bawa pulang stroberinya, dan ada tambahan bonus jus juga. Seger buahnya, seger jusnya."
Debra Priha,5,2 tahun lalu,Akhir pekan,"Pengalaman wisata petik untuk liburan keluarga, perlu reservasi dulu sebelum masuk kesini tiket sudah termasuk gratis minuman strawberry & free 3 buah strawberry . Udaranya sejuk kalau pagi"
Erwin Kurnia,5,2 tahun lalu,Akhir pekan,Perkebunan buah Stroberi yang dikelola Bumdes Desa setempat menjadi tempat wisata. HTM Rp. 25.000. Per ons hasil petikan kita Rp. 6.000. Maksimal makan buah ditempat 3 biji. Gratis 1 gelas jus stroberi. Ada antrian tunggu untuk masuk perkebunan. Parkir luas. Hawa sejuk khas Batu.
