reviewer_name,rating,date,visit_time,review_text
Fangz Wu,5,2 bulan lalu,Hari libur nasional,
Saripi 016,5,seminggu lalu,Hari biasa,Bagus sekali cuma udah kemaleman jadi gak bisa masuk pokoknya recommended terimakasih banyak Jatim Park 3 batu malang ✅
pipit,4,seminggu lalu,Akhir pekan,"lumayan menarik, ada pertunjukan live saat malam hari. jika kesana sebaiknya sore diatas jam 5 sore, setelah terusan dari dino park,.karena nuansa kerlap kelip lampu neon lebih terlihat cantik. untuk area pujasera,.harga sedikit lebih mahal, dan kualitas rasa pun sangat amat kurang."
naufal araminta,5,sebulan lalu,Hari libur nasional,"Sangat menarik ya tempatnya, lampu-lampunya bagus, cocok banget buat keluarga. Permainannya juga asik, bisa buat anak-dewasa, pertunjukannya juga keren keep it up ✨"
aldiano Albar,5,3 bulan lalu,Hari biasa,
Maya Prastio,5,5 bulan lalu,Akhir pekan,
Arga Savetiar,5,3 bulan lalu,Hari libur nasional,"Harga tiket masuk tergolong mahal, apalagi buat penduduk lokal ya. Tapi cukup worth it sih. Banyak disajikan hiburan² yang memanjakan mata. Bagi yang belum pernah, setidaknya bisa dicoba sih ini 👌🏻"
Apri Suryono,5,2 bulan lalu,Hari libur nasional,"Tempatnya luas, antrean relatif sedikit, ada wahana bermain juga, cocok buat liburan keluarga"
Ferdiansyah Putra Manggala,5,2 bulan lalu,Hari libur nasional,Bagus banget tempatnya. Wahananya juga oke. Cocok untuk kaum milenial juga membawa anak kecil pasti happy
Selva Bagis,5,3 bulan lalu,Hari biasa,
Herman Prasetyo,5,6 bulan lalu,Akhir pekan,"Tempatnya seru untuk dikunjungi di kala liburan, buka mulai dari siang namun disarankan mengunjungi dari sore hingga malam supaya bisa menikmati suasana glow garden yang lebih bagus."
eclipse picture,5,2 bulan lalu,Hari biasa,Tempat bermain bersama keluarga 👍👍👍 Tiket masuk 90rb Anak dengan tinggi diatas 85cm sudah d hitung 1 tiket
Siti Balkis,5,7 bulan lalu,Hari biasa,"Ada 2 area di sini, indoor dan outdoor. Aku datang jam 16.00 dan itu merupakan pemilihan waktu yang pas. Menghabiskan waktu di area indoornya selama 2-3 jam, lalu lanjut ke area outdoor hingga jam 20.00. Nah, kalau di area outdoor banyak lampion ukuran besar dengan bentuk-bentuk lucu. Jangan lupa, setiap jam 7 atau setengah 8 malam ada Lumina Magica Show. Meskipun durasi pertunjukan sebentar tapi bagus kok. IG: tracemyfootprints"
Adityo Liano,4,6 bulan lalu,Hari biasa,"- : ada bagian yg mnurut kita lagu dan area instalasinya krg nyambung. Di bagian yg bola2 besar lagunya jedag jedug 😁, tp selera masing2."
Kharisma Sugesti Ane,5,4 bulan lalu,Hari libur nasional,Tempat wisata malam yang penuh dengan cahaya indah dan udara dingin memanjakan mata dan tidak ingin pulang
Vivi Setiawan,5,10 bulan lalu,Akhir pekan,"Pas nyampe area yg ada air2nya & harus lepas sepatu + nyimpen barang di loker segala, gue skip. Males ribet. Tambahan lagi udah mo jam 7, waktunya show di panggung outdoor. Mungkin kalo mo puas nikmatinnya, dateng sekitaran jam 4. Kemaren ini aku baru nyampe sana pas udah mulai gelap, jam setengah 6an. Di dalem pastinya banyak orang, karena emang pas weekend. Jadi, buat moto2nya kadang mesti nunggu & gantian ma orang laen. Keluar pulang ngarah ke Dino Mall, sempet kaget bentar pas harus lewatin jembatan yg ada lantai kacanya. Nggak ada tempat buat melipir. Yowes, gas ae sambil setengah lari lewatinnya 😅 Pas udah ""lolos"", liat ke belakang, ada beberapa orang yg juga sama terkaget2 😜"
ian suhendra,5,9 bulan lalu,Akhir pekan,Tempat Wisata dengan konsep teknologi lampu yang cakep banget !
