reviewer_name,rating,date,visit_time,review_text
Guide Local,5,seminggu lalu,Akhir pekan,"Datang kesini karena menjadi tujuan keluarga saat liburan anak sekolah juli 2025. Banyak hal bisa di lihat di cerna serta dinikmati di area ini. Salahnya kami datang saat weekend, yang mana wisatawan cukup ramai. Banyak tema yang di usung di tempat ini, seperti tema wilayah, tema moda dan koleksi serta parade. Perjalanan cukup jauh, namun menyenangkan. Fasilitas banyak yang baik serta koleksi yang tidak main main. Walau datang sudah sore (sekitar pukul ) namun dapat menyelesaikan hingga akhir sekitar pukul . Parkiran kebetulan di arahkan dari pintu masuk ke kanan, sehingga mendapatkan area indoor ( atap tertutup ) sehingga tidak takut kehujanan serta panas. Lebih baik beli tiket online (bisa dapat promo diskon walau tak banyak) namun untuk grup besar, diskon ini sangat lumayan. Untuk makan dapat di lakukan di area luar."
Restu Wijaya,5,3 bulan lalu,Hari biasa,"Wisata Museum Transportasi yang berada di Kota Batu sesuai dengan tema namanya disini menampilkan koleksi transportasi mulai dari yang traditional, klasik sampai dengan modern. mulai dari cikar, becak, mobil² antik jaman dulu sampai dengan F1 bahkan helikopter dan pesawat juga ada. untuk tiket masuk kemarin pas weekday di kenakan 110rb sudah dapat disc voucher makan 10rb yg bisa di tukar ketika kita membeli makanan di dalam Museum Angkut atau di Pasar Apung. Ketika masuk kita sudah di suguhkan mobil² yang sangat keren dan ada beberapa wahana edukasi untuk anak yang bisa dimainkan seperti puzzle dan mewarnai mobil. tempat ini juga di bagi beberapa zona Negara dan tiap zona menampilkan koleksinya masing². untuk yang capek jangan khawatir didalam ada tempat duduk dan juga outlet penjual makan dan minum di lantai 3 tempat koleksi pesawat dan juga di gangster town. dan saat sore hari akan ada atraksi drift dan parade superhero. untuk toilet dan mushola sudah pasti tersedia di beberapa area. ketika kita masuk dan keluar kita akan melewati pasar apung, pasar yang menjual aneka souvenir dan juga makanan dan pasar ini buka sampai malam."
diffy fitriand,5,seminggu lalu,Hari biasa,"Surprisingly, semua unit mobil, kendaraan yang ditawarkan adalah koleksi pribadi yang masih bisa beroperasi normal, dan sesekali diparadekan. Lahannya begitu luas, penataannya apik dan tidak membosankan, tidak bikin capek, selalu ada unsur wow di setiap tematik areanya. Bersih, toilet mudah didapat, ada mushola. Tempat wisata keluarga yang komplit dan full experiences."
Fadlillah Akhmadi,4,3 minggu lalu,Hari biasa,"Luar biasa koleksinya, bener-bener bikin kagum. Terutama motor dan mobil kunonya, sampai mikir gimanaaa ini bisa dapet barang2 antik gini. Overall bagus sih, keren. Temlat ini, recomended utk didatangi. Tapi, ini adalah salah saru tempat yg cukup sekali didatangi utk menghilangkan penasaran aja"
Aghnia Hauna,5,3 minggu lalu,Akhir pekan,"Pembelian tiket dapat dilakukan on the spot atau secara online, namun harus ditukar gelang tiket di tempat (antrian sebelahan). Untuk anak di atas 85 cm dikenai harga tiket penuh. Tempat cukup luas, memerlukan waktu sekitar 45 menit hingga 1 jam untuk mengelilingi museum, belum termasuk jika berhenti untuk bermain di wahana yang disediakan. Di dalam terdapat beberapa atraksi yang dapat dinikmati dengan membayar sekitar 30,000 rb/wahana. Terdapat musholla di tengah museum, tepatnya di area china town. Setelah melewati pintu keluar, pengunjung bisa langsung mampir ke area Pasar Apung yang menyediakan berbagai pilihan kuliner, souvenir, maupun wahana perahu bebek."
Ummu Ammar,5,sebulan lalu,Hari biasa,
Mila Monita,5,3 minggu lalu,Akhir pekan,"Wisata Museum Transportasi yang berlokasi di Kota Batu dengan koleksi nya transportasi mulai dari yang traditional, klasik sampai dengan modern. Mengunjungi landmark berbagai negara dengan transportasi khas nya. Luar biasa koleksi Transportasi nya, sangat worth it untuk wisata edukasi. Harga terjangkau sesuai dengan yang di dapatkan, tempat bersih & luas. First time ke sini, sangat memuaskan wisata ke Museum Angkut, tidak sia-sia datang jauh2 ke malang. Recomended to come!!"
Adjie Tri,4,3 minggu lalu,Hari biasa,"Bener-bener takjub bisa lihat mobil klasik begitu banyak jumlahnya dan masih bisa hidup berjalan semua fungsinya. Ada sejarahnya, ada juga ilmu otomotifnya, terus bisa lihat kemajuan teknologi negara lain berdasarkan dari mobil yg mereka buat. Kalau laper dibawah ada pasar apung yg jual banyak makanan dan minuman, harganya juga murah dan bisa dituker pakai voucher bayarnya. 🏎️ Museum Angkut 02 July 2025"
Agritha PN,5,3 bulan lalu,Hari libur nasional,
atmajaya alviano,5,sebulan lalu,Hari libur nasional,Ato langsung jajan aj ke pasar apung nya lokasinya persis di depan pintu masuk museum angkut.
Fadi Gumilang,5,2 minggu lalu,Hari biasa,"Museum berbagai jenis kendaraan darat, dari gerobak sampai kendaraan roda 4 ada. Koleksinya fantastis, banyak mobil klasik & modern dari berbagai negara mulai dari amerika, inggris, perancis, jerman, dll. Ada juga replika bandar udara & pangkalan peluncuran roket angkasa sebagai pelengkapnya. Tiap sore ada pertunjukan pawai mobil klasik & joget flashmob bersama para superhero."
ayesha marcely,5,4 minggu lalu,Hari biasa,"Tempatnya luas ternyata, koleksi mobilnya banyak. Suami dan anak saya sampai cobain ferrari stimulator 2x (berbayar yaa 35rb-50rb). Aksi stuntman kebetulan lg maintanance, untuk tenant makanan kurang enak rasanya maaf ya"
Pujo Widyantoro,5,sebulan lalu,Hari biasa,"Tiket masuk 110 rb / orang (hari biasa), tempat sangt luas, berbagai sarana transportasi mulai sepeda, mobil pesawat ada... Di lantai 3 ada replika pesawat kepresidenan... Cocok utk rekreasi keluarga"
Hakim Nusantara Property,5,sebulan lalu,Hari biasa,Museum angkut kota batu Kunjungan : Juni 2025 - sudah beberapa x kesini dan akhirnya Alhamdulillah dapat tiket naik gratis salah satu mobil eksotis yg ada di museum angkut 😁🙏 - walaupun hari biasa tapi suasana show nya tetap WOW luar biasa... - terus berinovasi sampai jumpat di lain waktu ... Terimakasih atas pelayanannya
Yudhis Tira,5,2 bulan lalu,Akhir pekan,
10 _dy,4,2 bulan lalu,Hari libur nasional,"Isinya berbagai jenis kendaraan,,ada replika tempat² hits,, museumnya ada yang outdoor dan indoor, ada juga pertunjukan actionnya Fasilitas toilet, tempat makan, meja kursi, parkir motor, mobil sampai bis,, Tiket masuk ada yang terusan dengan jatim park 1 maupun musium tubuh Selain museum angkut, disebelahnya juga ada pasar apung (pasar yang menjual berbagai macam makanan, minuman maupun baju² oleh² khas batu), ada juga cloud theater (cinema 9d dg harga sekali masuk 30k/org, rasakan sensasi menonton film secara nyata -> seru, bikin nagih 😅🤭)"
diah saraswati,5,3 bulan lalu,Hari biasa,"kesini pas ramadhan dari jam 1 siang sampe jam 8 malam, dari terang sampai hujan sampai terang lagi😁 tidak bosan karena banyak hiburannya💫 setiap pembelian tiket dapat kupon undiannya jg tp lewat barcode diisi lewat email, pengundian akhir bulan di instagramnya JTP. sepi banget kesini pas ramadhan jd leluasa, tiketnya jg promo jdi 80k/orang, sayangnya night race tdk ada masih banyak pembangunan dan pembenahan, semoga kedepannya semakin bagus 💫⭐️"
manik divyani,4,2 minggu lalu,Akhir pekan,"bagus banyak mobil antik namun tidak terlalu lengkap, tapi untuk anak2 di bawah 15thn pasti seneng. tempatnya mungkin bisa di rawat lagi terutama di parkiran"
R Dian Agustanti,5,2 minggu lalu,Akhir pekan,"Dapet kesempatan buat naikin koleksi mobilnya, ga expect kalau ternyata diajakin muter museum angkut. Mas & mba nya jg ramah pol, terima kasih pengalamannyaa!🫶🏻"
Yuliana Hapsari,5,2 bulan lalu,Akhir pekan,"Makanan di dlm lumayan enak² dan jangan lupa bayarnya pake voucher diskon yg di dapat dari pembelian tiket masuk, karna lebih menguntungkan"
Miss Ferlyn,4,2 minggu lalu,Hari biasa,"Cukup ramai pengunjung di hari libur, koleksinya banyak dann beragam. Tiket nya bisa dibeli bersamaan dgn tiket ke jatim park 1"
Sofianingrum Andriana,5,3 minggu lalu,,"Tempat yang bagus buat melihat segala jenis kendaraan,dari yg jadul smp yg modern. Seneng banget bs main kesini. Mbak Masnya ramah banget,tempatnya bersih,toiletnya bersih dan harga makanannya masih yg wajar. Keep it up 👍👍💪 …"
Fikri Alfathan,5,2 bulan lalu,Hari biasa,"Museum Angkut merupakan surga bagi orang-orang yang senang otomotif terkhusus mobil-mobil vintage. Bagi saya yang tidak terlalu mengerti mobil, saya melihat mobil-mobil ini terlihat nyata dan operasional. Walaupun mungkin mayoritas kendaraan di sini adalah replika. Ini menunjukkan betapa otentiknya kendaraan-kendaraan di sini terlihat. Di sini juga saya lihat ada beberapa tempat yang seharusnya saya bisa coba tapi sayang sekali tidak ada penjaganya. Ada beberapa simulasi mengendarai seperti mengendarai pesawat dan mobil F1 yang saya lihat mungkin boleh dioperasikan, sayangnya saat saya berkunjung tidak ada yang menjaga tempat-tempat ini. Jadi, saya ragu apakah saya boleh atau bisa mencoba alat-alat ini atau tidak. Saat saya berkunjung, kebetulan ada show cosplay karakter superhero. Sangat seru dan menarik. Overall, Museum Angkut merupakan destinasi wisata yang menarik bagi para pecinta otomotif vintage."
"Muhammad Zuhri, S.Pd.I",4,3 minggu lalu,Akhir pekan,
ItzAmadsavani,5,2 bulan lalu,Hari libur nasional,"Museum yang berfokus pada kendaraan. Satu-satunya museum di Indonesia yang memajang banyak mobil zaman dahulu. Modelnya pun bervariasi, ada model USDM, ada model Jepang, ada model Indonesia, dan masih banyak lagi. Museum ini juga menyediakan section dengan tema yang bervariasi, seperti Gangster Town, Chinese, Las Vegas, Stasiun Jakarta, dsb. Ada juga museum POLRI yang menyediakan informasi lengkap sekali jika Anda tertarik mempelajari seputar POLRI. Yang terbaru, ada juga Pasar Apung. Disini HTM nya gratis. Banyak sekali variasi makanan mulai dari makanan khas kaki lima, makanan Arab/Timur Tengah, Korea, Jepang, dan Chinese. Voucher dari Museum Angkut dapat ditukarkan disini.. Overall, museum ini sangat recommended untuk dikunjungi."
Alll,5,4 bulan lalu,Hari biasa,
Lutfiah Rahmadini,5,2 bulan lalu,Hari biasa,"Opps, kelupaan review disini. Jauh bgt yaa smpe terbang ke Malang (Kota Batu,).. Aku mau share, selama kunjungan ke Malang.. salah satunya Museum Angkut. Jujur, pas pertama kali kesana, luas bgt, ada beberapa bagian pas masuk, ada kaya jejeran panjang mobil, pesawat, helikopter, ada patung kaya presiden sama beberapa lain udh lupa wkwk... Ad bagian2 khas suatu negara, salah satunya bentuk istana Buckingham dari inggris dan masih banyak lagi pokok nya... Seru bgt, cocok buat liburan keluarga"
Jerni Sinaga,4,2 minggu lalu,Hari biasa,"Ga ada ramah2nya blas, cukup sekali.."
Maya Prastio,5,5 bulan lalu,,
cipoet cipoet,5,3 bulan lalu,Hari libur nasional,"Cuma masuk di pasar apungnya yaa, ga masuk di museum angkut (karna uda pernah masuk dulu hihihi...) Jadi gratis cuma bayar parkir aja 5 rb, disini pemandangan nya bagus yaa kpn hari sempat ke sini siang hari panas banget. Terus skrg malem enak jadi dingindingin. Bagus bagus yaaa pemandangan nya baguss,"
Eriz Widodo,5,3 bulan lalu,Hari libur nasional,"Mayoritas mobil yang dipajang asli dan terawat, jadi bagus sekali. Toilet tersebar di beberapa tempat, dan koleksinya cukup banyak, jadi tidak cepat bosan. Ada juga show mobil di jam-jam tertentu yang menarik."
Dwi Murtiningsih,5,2 minggu lalu,Hari libur nasional,Seperti masuk k tmpt yg berbeda....seperti universal studio...happy bisa ikut show parade...dan betah banget...
Mukhammad Saaiq,5,3 bulan lalu,Hari biasa,"Kami berkunjung di hari biasa (kamis sore) dan tidak antrian di pembelian tiket Ada show di jam Man in fire season 2, ada aksi slalom dari 2 driver yang cukup menghibur kita"
Fatma,5,5 bulan lalu,Hari biasa,"Nyampe di Malang udh jam 3 sore, cari tempat wisata rata2 tutup jam 5,sayang kan. Eh ada museum angkut yg bukanya sampe jam 20.00 tiket nya beli traveloka 102 ribuan. Awalnya ga expect yg wow sih paling lihat koleksi mobil doank, tapi pas disana ternyata di luar ekpektasi bgt. Koleksi alat angkutnya mmg kereen pool dan dikemas dg konsep masing2 negara yg kereen dan begitu terkonsep. Terus ada show2 di jam2 tertentu kl ga salah 15.15 dan 18.30 yg kereen bgt dan amazing nya anak sy kebagian ikutan show race sama Mr.Thomas. Puas dr area alat angkut bisa lanjut ke Pasar Apung,,, bisa jajan dan kulineran dg view yg estetik bgt dan bisa naik perahu berkeliling. Bisa tukar voucher yg didapat saat di loket dg free minuman (kopi,teh, jahe, Milo dll), kalau mau popmie tambah 2500. Pokonya puas bgt main kesini dan masih worth it lah dg harga tiket segitu."
Yurnas Rachman,5,3 minggu lalu,Akhir pekan,"Berkunjung ke Museum Angkut ini sangat mengesankan. Sebaiknya masuk dari pagi, sehingga berkesempatan melihat semua pajangan mobil2 antik secara seksama. Menyaksikan kendaraan jadul yang masih sangat mulus dan luar biasa di zamannya. Museum Angkut ini sangat cocok sekali utk memuaskan rasa penasaran penggemar kenderaan klasik yang ingin menyaksikan secara langsung secara fisik model2 dan variasi berbagai merek mobil dari satu generasi ke generasi berikutnya."
Millah Shofiah,5,2 bulan lalu,Hari biasa,"Pesen sepaket sm JTP 1, tutupnya agak malem jadi bisa ke JTP 1 dulu baru sore ke museum angkut. Dateng pas ada show race. Tempat makannya seru 😂"
Surya Simarmata,5,4 bulan lalu,Hari biasa,
Putri Cru,5,3 bulan lalu,Hari libur nasional,"Salah satu Destinasi wajib kalau ke Malang. Harga worth it dengan hiburan yang disajikan. Nyaman dan menyenangkan utk segala umur, muslim friendly, toilet bersih, mushola bersih. Menarik banget sih."
