reviewer_name,rating,date,visit_time,review_text
Kharisma Putri Pertiwi,5,seminggu lalu,,"Pemandangan yg ga pernah bosen di lihat, terakhir ke sini 2018 an, anak2 masih kecil hehehe skrg dtg berdua aja, betah lama2 liat pada terbang dan pemandangan indah"
Tegar Argandi,5,4 minggu lalu,,"Spot paralayang yang sudah terkenal sejak dulu kala. Lokasinya mudah dijangkau dengan mobil. Ada tiket masuk kawasan, @25rb per orang, tapi worth banget buat sekedar healing melihat pemandangannya yang mewah. Banyak warung makanan dengan harga terjangkau. Bisa juga tandem paralayang dengan harga 400rb."
Andreas Nugroho,5,3 bulan lalu,,"Kalo kesini hindari cuaca mendung/berkabut, krn tdk bs melihat pemandangan. Dan atraksi paralayang jg break, krn cuaca tdk mendukung."
Hello Susie,5,4 bulan lalu,,
Taufiq Ibadi,5,4 bulan lalu,,"Sejuk , pemandangan indah dari atas Gunung, suatu hari nanti perlu mencoba paralayang Taman Bermain Kesesuaian untuk anjing Mmmmmmh gimana ya.... Area piknik"
Dicky Arwana,5,setahun lalu,,"Mengajak anak anak mengisi liburan Imlek ke Gunung Banyak/Gunung Angsa menguji adrenalin, yuuk kita naik paralayang (400.000/orang). Sehari sebelumnya kami datang tapi gagal terbang karena arah angin salah. Hari ke dua kami datang lagi, arah angin sudah benar dan angin bertiup keras membuat kami bersemangat untuk terbang. Datang juga anggota klub paralayang ikut terbang dari Gunung Banyak ini, situasi lapangan jadi sangat ramai yang bersiap antri ke angkasa. Kita bisa terbang tandem untuk yang belum bisa terbang solo, dan banyak teman teman yang bertongsis ria merekam. Ada pula serombongan ibu ibu dari Malaysia yang bergabung, kata mereka di sini harganya murah, sedangkan di Malaysia 1 juta/orang. Nah tonton gambar dan video ya, jangan lupa untuk naik paralayang kalau wisata ke Batu yoo... Oh ya, di dekat paralayang ini terdapat Santerra Flora Wisata yang cantik banget, jadi kalau ke sini harus mampir sis... Ayoo langsung gaas..."
anita rachmad,1,2 minggu lalu,,"Ke sini ingin menghirup udara segar namanya juga pegunungan, tapi dimana mana selalu tercium aroma asap rokok tolong 😭😭 masuk bayar 25 ribu per orang ga masalah, bau rokoknya gak tahaannnnn …"
TheCyclistGuide,5,2 tahun lalu,,"Pemandangan tetap sama. Tempat ini dekat dengan *Paralayang Asli* dan Goa Pinus. Tempat ini untuk melihat pemandangan saja dan ada 3km setelah point map - ditambah lagi 700m mendaki agar benar benar puncak. Untuk pesepeda - bisa melewati jalan nanjak songgoriti dengan grade >20% (berdasar Garmin dan Strava), dari malang (35km), elevation gainnya adalah 1300m dan top elevation 1490m. 700m terakhir hanya untuk mendaki dan sepeda hanya bisa dituntun. Warning; Pastikan rem anda makan saat menuruni, rem deore saya berasap di turunan songgoriti. Disini juga tidak ada Kamar Mandi/Toko Warung sama sekali. Area piknik Bisa untuk piknik, sightseeing namun bukan paralayang."
dyah rahmawati,5,10 bulan lalu,,"Wisata Paralayang gn banyak, tempat bersih,, pas hari jum'at ternyata ada komunitas pejalan kaki dari songgoriti hot springs jalan kaki ke paralayang ini,, katanya stard nya habis jumat an sekitar jam 13 siang, jam 14 udah nyampai, banyak juga anggota nya katanya sekitar 100 an orang,, jalan kaki kurleb 8km Bersih, bayar 2rb ke toilet deket mushola nya"
Andrianna Photo,4,setahun lalu,,"Tiket masuk per orang Rp. 20.000,- Parkir Motor Rp. 5.000,- Parkir Mobil Rp. 10.000,- Toilet : Rp. 2.000,- yang lucu helm wajib di titipkan banget yah, trus di suruh bayar seIkhlas nya😁, padahal ya di taro di motor jg aman ko mas Taman Bermain Taman Langit bayar Rp. 2.000 Area piknik Bawa kursi, tikar sendiri"
Dindin Bordir,4,setahun lalu,,"View nya menakjubkan, lokasi mudah dijangkau , tiket masuk bersahabat, tapi taman2 bunga nya masih terlalu minim dan kurang bagus."
Muchammad Ahmed,5,setahun lalu,,"Kesini subuh bareng teman2 Pemandangan keren kerlap kerlip lampu kota dari atas, dapat juga sun rise nya... Tempat2 wisata Kota Batu memang gak ada yg gagal..."
sindu yudoasmoro,5,6 bulan lalu,,Kursi roda sampai puncak...adem di pagi hari
Rizkya Nisa Amima,5,setahun lalu,,"Mungkin kalau malem bagusnya cuma lihat banyak lampu-lampu, tapi kalau pagi sampek sore, kayaknya lebih bagus kalau nyoba naik paralayangnya, baguuuuus bangeeeeet sumpaaaaaah cobain, crew nya ramah-ramah, safety banget kok, mengudara sekitar 15menit kalau cuaca mendukung, ow iya ini aku bookingnya online kena sekitar 400k udah sama gojek ❤️❤️❤️ ngerekam pake insta360 X3, jangan pake pelindung kameranya, biar hasilnya maksimal. Seru banget nagih 👍"
Riris Anasthasia,1,4 bulan lalu,,Booking paralayang disni.. awalnya oke2 aja.. tp pas bagian antri buat paralayang TIDAK SESUAI LIST yang berakhir saya gak ikut rombongan saya karna di selip oleh orang lain dan pilotnya diem aja. Udah tau angin lagi susah tp list tidak di jalankan. Ngabisin waktu orang aja!
Hydraaa,1,3 bulan lalu,,
Budiani Budiani,5,2 tahun lalu,,Sayang sekali pas sampai kabut nya tebaaal sekali .... tp seneng keamanan terjamin dg kapasitas pengunjung yang gak banyak membuat nyaman... toilet bersih sayang nya untuk mushola belum ada...untuk HTM weekend 100K per tenda
Febby Hadnoro,4,setahun lalu,,"Lokasi Gn. Banyak sangat menggoda untuk mencoba paralayang, hanya sayang cuaca habis hujan 2 hari berturut-turut dan arah angin yang belum mendukung sehingga masih belum bisa paralayang. Semoga kesana lagi sdh bisa paralayang"
Zepta Windaryanti,5,8 bulan lalu,,Pemandangan malam bagus bisa melihat lampu2 dari kota malang dan sekitarnya.
Haidar Jaya,1,3 minggu lalu,,"Operator songong, orang nanya baik-baik jawabnya ga enak,"
Dava Aulia,1,2 tahun lalu,,"Dulu wisata ini selalu ramai, karena terkenal gunung dan pemandangan kota yang bisa dilihat secara meluas. Tapi kenapa ya sekarang ada peraturan seperti ini? (Gambar terlampir, jika tidak ada file maka saya tuliskan ""Dilarang masuk, kecuali penumpang tandem paralayang crew""). Kami sudah membayar tiket masuk sama tiket parkir, apalagi nanti ke tempat lain bayar lagi. Wah gimana ini? Wkkwkw tolong dihargai para pengunjung yang datang 🙏. Masalah wilayah untuk penerbangan kan bisa dibagi. Tempatnya juga luas. Tolong hargai pengunjung🙏"
Panji Agus Prasetyo,4,setahun lalu,,"Rekomendasi ke Batu dari Jam 16.00 - 19.00 Tempat berbayar, jadi siapkan Uang Tunai. Minggu, 19 Mei 2024. Bisa lihat Paralayang dari KONI Batu."
JON ARIP,4,setahun lalu,,
AL Arif,4,setahun lalu,,"Pengalaman terbang tandem paralayang yg seru... Tiket masuk kawasan 20rb per orang, tiket parkir mobil 10 ribu Biaya 400rb, untuk durasi terbang antara 5~8 menit dipandu profesional Biaya termasuk ojek dari landing point kembali ke lokasi paralayang"
Robert Effendi,3,setahun lalu,,Pemandangan alamnya bagus # udara sekitar bersih # perlu ditambah kursi buat hangout
Lutfia Hanim Mufida,5,2 tahun lalu,,Landing Paralayang yang terletak di Kelurahan Songgokerto… lahan yang luas dengan fasilitas yang memadai untuk melihat dan menikmati langsung atlet Paralayang dalam keahliannya yang dimulai dari Gunung Banyak dengan mengitarinya sebelum landing di tempat tersebut. Rekomendasi 🤩👍 …
syamsul bahri husaini,4,setahun lalu,,"Tempat bagus, bersih ,parkir luas, akses motor mobil aman"
Hilmy “Hil”,5,6 bulan lalu,,"Seru, saya warga malang sudah 53x kesini. Enak tempatnya buat bengong dan mikirin sesuatu🤭 …"
Datyo Widharto,5,setahun lalu,,"Istri saya sdh 7kali terbang, saya cukup sekali, kali ini kakak saya yg terbang"
Eka Nazla,4,setahun lalu,,View nya juara 🫰 Area piknik
Rendi Rendiy,1,setahun lalu,,"Pungutan retribusi dimana mana : 1. Saya menyiapka uang masuk sebesar 40/2org untuk gapura pertama. 2. Gak cukup sampai pintu pertama saja, setelah nya juga dipinta uang 5rb untuk parkir katanya. 3. Helm yg kita bawa DIPAKSA untuk dititipkan, dan berdalih biaya penitipan disebut “bayar seiklasnya”. Kalaupun helm di taroh di motor juga kan gak apa apa, gak ada apa apa. Ngga buat area parkir juga makin sempit ! Pemalakan halus ini namanya🥱"
Gps Elf,1,3 minggu lalu,,Operatornya songong males kesini lagi
Elkhoir Iyyah,4,setahun lalu,,Pemandangannya bagus...
Abrico Saekopona,5,9 bulan lalu,,Ini tempat mantap.. utk hiburan dan paralayang..ok pake banget..gag nyesel kesini..seep
Adiriyanto S,1,setahun lalu,,"Premanisme berkedok pemandangan Tiket Masuk overpriced ✅ Parkir motor overpriced ✅ Dipaksa dan diancem titip helm katanya gratis ternyata bayar ✅ Jalanan masuk nanjak dan gelap ketika malam ✅ Bonus paralayangnya 500k, kalau anda berminat, kebanyakan orang2 cuma pengen lihat lampu2 kota dari atas bukit aja sih, mending ke tempat sebelahnya museum angkut"
bang dik,5,setahun lalu,,Buat sendiri pengalamanmu.... Area piknik Mungkin takkan pernah bosan kesini...
Anne Yolo,4,7 bulan lalu,,Pemandangan City Light nya emang baguss bangett !
Fikri Khuzainul5,4,2 tahun lalu,,
Dani Darmawan,5,11 bulan lalu,,Tempatnya bagus..
Aprillia Frandsisca Sari (April),1,setahun lalu,Aprillia Frandsisca Sari (April),Per orang 20000 itu tolol. Gk masuk akal
willy yoga46,4,9 bulan lalu,,Area sangat ramai kalo pas pagi
Iwanda Drone,5,2 tahun lalu,,Bisa lihat kota batu dari sini...
Shelina Talita,5,setahun lalu,,Tmpat romantis di malam hari
Anik Yuliani,5,setahun lalu,,Tim tandem paralayang baik dan ramah ramah. Terimakasih
RIZKYprayana,1,setahun lalu,,Mahal wisata gitu gitu aja
iqbal agus,5,6 bulan lalu,,
Lucky Zacky,5,setahun lalu,,Mantap suasananya
ILA Nuril,5,2 tahun lalu,,Pemandangannya asri banget
Bromo Ijen Batu Tour & Trevel,5,setahun lalu,,Akses jalan mudah dituju Taman Bermain Taman langit Area piknik Tempat parkir luas nyaman dan aman
nurasiyanis nunung,5,setahun lalu,,
Fani Delva1997,3,8 bulan lalu,,toilet harus bayar kalo mau pake padahal udah ada tiket masuk 20k Area piknik spot nya kurang dan di dlm ada area wisata tpi hrus byar lagi
IKADIANRESA,3,8 bulan lalu,,"Air susah, jorok"
Fitria Al Azzam,5,setahun lalu,,Htm 20rb/org Tempat ini adalah tempat terbaik untuk melihat panorama cahaya kota Batu Sangat bagus sekali Diterjemahkan oleh Google ・ Lihat versi asli (Inggris)
