reviewer_name,rating,date,visit_time,review_text
Wahyu Tri Ananda,5,2 minggu lalu,,Bisa dibilang tempat ini merupakan pemandian air panas terbaik yang pernah saya kunjungi. Kolam luas dan bersih dengan suhu yang bervariasi (ada yang hangat sampai cukup panas). Fasilitas penunjang kebutuhan wisatawan terbilang baik dan cukup lengkap. Akses sangat mudah dengan pemandangan pegunungan sejuk dan menawan sepanjang jalan. Ada destinasi bonus berupa Goa Jepang dan Air Terjun Surya Setya yang berada di satu lokasi. Saya hampir setiap minggu kemari karena dekat dari rumah saya.
Ike Winartiningsih,5,sebulan lalu,,"Pemandian Air Panas Cangar – Segar, Murah, dan Menenangkan! Salah satu tempat favorit untuk relaksasi di Batu! Tiket masuk hanya Rp25.000, parkir mobil Rp10.000, motor lebih murah. Fasilitasnya lengkap dan cocok buat keluarga. Ada kolam anak-anak, kolam dewasa, dan kolam khusus untuk berendam yang lebih panas. Kalau mau lebih private, bisa pilih kolam VIP."
Aan Marzuki,3,2 bulan lalu,,"pemandian air panas cangar saat ini sudah banyak berbenah dibandingkan dulu, mulai tempat berendam yang sudah nyaman dan kolam yang lebih bersih, terlebih yang saya apresiasi wisata ini sekarang lebih ramah kepada kelompok rentan, dulu terakhir kesini masih ingat harus naik turun tangga yang cukup curam sehingga tidak ada akses untuk kelompok rentan. namun masih ada beberapa hal yang masih perlu diperhatikan dalam pengelolaan wisata, apalagi yang mengelola pemerintah, seperti: - kesadaran pengunjung terkait sampah sangat rendah, mereka bebas buang sampah dimana dan gak ada petugas yang negur - beberapa kamar mandi sangat kotor (mungkin karena gratis), tapi kamar mandi lain yang dijaga petugas masih agak bersih (walau harus bayar seikhlasnya, cmiiw) - saat menguras kolam tidak ada pengumuman terlebih dulu, langsung kuras jadi pengunjung yang gak tau seperti diusir halus. kan bisa kasih pengumuman dulu buat kosongin kolam, baru dikuras"
Feerenza,5,2 bulan lalu,,"Berikut adalah review dari kunjunganku ke Pemandian Air Panas Cangar, Batu. Kelebihan : ➕️ Wisata yang menawarkan pemandian air panas yang merilekskan tubuh serta berkhasiat bagi kesehatan. ➕️ Tersedia kolam renang 1.6 meter dan kolam berendam se-paha yang air nya lebih panas. ➕️ Tersedia kolam wanita tertutup. ➕️ Tersedia kolam vip ala-ala jacuzzi yang bisa memuat hingga 8 orang. ➕️ Tempat ganti bajunya bersih. ➕️ Ada musholla, ada toilet, ada banyak warung, ada penitipan barang. ➕️ Dari parkiran tidak perlu tracking jauh. Kekurangan : ➖️ Hati-hati dengan monyet nakal. ➖️ Ada toilet di kolam renang yang sangat tidak terawat. ➖️ Suhu di kolam berendamnya lumayan panas, TIPSnya adalah jangan langsung nyeburin seluruh tubuh tapi pelan-pelan basahin tubuh dulu biar tubuh beradaptasi dengan suhu panasnya, nanti kalo tubuh sudah beradaptasi maka berendam sampai leher pun bisa. ➖️ Kalau merasakan pusing atau ingin muntah segera naik dari kolam, jangan diteruskan berendam. Itulah yang bisa aku paparkan mengenai pengalamanku mengunjungi tempat ini, semoga membantu, CHEERS!"
Diana Nur Utami,5,2 bulan lalu,,"Terkenal dg pemandian sumber air panas belerang, Cangar tetap menjadi tujuan wisata yg nagih. Setelah pembenahan beberapa tahun terakhir, tampilannya menjadi lebih cantik dan nyaman. Pintu masuk bergeser sekitar 300 m dr pintu lama, tempat parkir menjadi lebih luas dan jalan masuk menjadi lebih lebar landai dan cantik. Kolam air panas ada sekitar 4 yg terbuka dan 1 yg tertutup khusus wanita. Dan ada kolam VIP yg disewa dg harga 100k per jam maksimal 6 orang dlm 1 ruang. Kolam baik yg terbuka, wanita dan VIP bersih dan airnya jernih. Ada beberapa foodcourt dan cafe di area. Kamar mandi dan bilas banyak. Ada tersedia musholla. Tiket masuk 21.500, parkir spd motor 5k dan mobil 10k."
AZIZ LESTARI,4,sebulan lalu,,"Hari minggu weekend kesana berdua sama istri pakai motor kena HTM 48 rb (sudah termasuk parkir) , *kelebihan ada kolam renang hangat buat anak2, dewasa, dan kolam berendam yang panas. Kesana nyoba beli ketan hitam harga 5rb yang rasanya asam poll gatau rasanya emang gitu apa gmn .. banyak monyet berseliweran di pohon2 kayak ala2 bonbin hahaha.. *kekurangan kondisi toliet kurang bersih bs ditingkatkan , sampah berserakan disekitar kolam begitupun karyawannya bs lebih humanis lagi+jgn pelit senyum.. enak buat badan ilangin pegel2 dan nyeri bisa hilang.. kondisi waktu kesana berkabut dan agak gerimis menambah nuansa alami ."
agung purwo,5,4 bulan lalu,,"Akses bisa mobil juga bisa bis sedang bisa. Managernya bu devi orangnya ramah cantik. Toiletnya hati hati tititnya yak karena airnya panas. Wudhu juga panas ati ati. Bakul pentol depan loket juga enak. Berendam air panas disini enak, airnya bening tidak banyak belerangnya. Sumber hulu air sungai brantas dari gunung welirang. Kepala dinas kehutanan provinsi jawa timur yang mengelola juga orangnya baik ramah ganteng dan berwibawa Pak Jumadi namanya"
Rico Rachmanto,5,seminggu lalu,,"Tempat pemandian alam yang jadi destinasi wisata langganan di Kota Batu, jalanya cuma agak extrem saat turun dan kalau bisa jangan pakai motor matic saat musim hujan karna rawan sekali kecelakaan. Untuk tiket masuk terjangkau dan banyak tempat jualan di depan tapi harga gak digetok mahal di dalam pokoknya recomended"
dian pratama,1,3 bulan lalu,,"Secara tempat overall bagus, airnya juga cukup panas dibandingkan di daerah pacet. Namun, layanan wisata yg dikelola pemerintah biasanya emang kalah daripada yg dikelola oleh swasta. Tiket pada hari libur dikenakan 30 rb (1 orang + 1 motor) sdh include fasilitas berendam air panas dan kolam renang. Namun, fasilitas toilet sangat kurang dalam kebersihannya. Toilet pun jg dikenakan biaya pdhl kondisi tidak layak. Selayaknya petugas yg berhubungan lgsg dgn konsumen ialah yg ramah, murah senyum. Jgn yg model seperti ini."
Ayu Enggarini Christi (Jajuk),5,6 bulan lalu,,Udah lama bgt ga ke sini. Dtg lagi setelah udah byk renov an. Tiket 20k per org kemarin. Hawa mendukung adem seger. Ada campnya jga sepertinya. Buat refleksi cocok bgt.anak2 aman sih. Tempat syahdu melepas penat kota
