reviewer_name,rating,date,visit_time,review_text
Adelia Farah Kamila,5,3 bulan lalu,Akhir pekan,"this is one of the best swimming place in malang rayaaa!!! tempatnya bener bener cantik banget, setiap spotnya estetik dan instagrammable. bahkan kalau kalian shoot in every corner nya tuh emang beneran cantik gada yang gagal. ada 2 kolam renang utama, 3 kolam belerang, dan 2 kolam anak. kolam renang utama nya ga yang terlalu dalam juga kok. fasilitas nya lengkap ada musola dan toilet, bahkan ada beberapa toilet yang menyediakan shower air hangat lohh. makanan mereka juga oke punya enak enak. mereka juga menyediakan barang spt handuk dan kaos gitu misalnya punya kita ketinggalan. bener bener recommended buat yang mau healing atau refreshing dari kerjaan atau hiruk pikuk kota. harga tiket nya tergolong murah yaitu 40k di weekday dan 50k di weekend dan hari libur. will go back asap🥹🥹🥹🫶🏻🫶🏻🫶🏻 Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Faizal nur Arif,2,sebulan lalu,Hari libur nasional,"Sorry banget, dapet harga 75k per orang hanya untuk berendam air hangat, 100 k jika ambil paket plus makan (martabak telur dan minuman) Untuk harga segitu dengan fasilitas berendam yg sedikit dan tempat yg kecil menurut sya over price. Kolam air hangat hanya ada 3 kolam bulat kecil dan ada 2 kolam besar tapi airnya tidak hangat. Ketika menjual nama ""hot spring"" Ada baiknya yg di tonjolkan adalah hot spring nya, awalnya mau membawa rombongan ke sini, tetapi saya rasa kurang worth it Hari libur nasional Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Meta Mei Vera,4,2 bulan lalu,Akhir pekan,"Lumayan untuk refreshing. Berkunjung hari jumat tiket masuk 50k, kalau ambil paket makan 80k, tidak berenang bayar tiket masuk 20k. Ada 4 kolam kecil air hangat. Pas rame kurang nyaman karena kolam berendamnya kecil2. Toilet sama kamar bilas harusnya dipisah, karena terlalu sempit, ada shower yg mati juga. Kolam air hangatnya juga beberapa kali mati pemanasnya, harus panggil petugas utk menyalakan lagi. Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Farah Ramadhani,4,seminggu lalu,Akhir pekan,tempatnya baguss kalau kesini agak oagi aja biar ga rame😋 makanannya enak tapi burgernya gedein piringnya dong kak susah makannya😔 tapi pemandangannya oke bangett sangat recommended untuk hiling🥰 Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
Farhan Muhammad Andria,5,5 bulan lalu,Akhir pekan,"Kilas balik: Berkunjung ke Songgoriti setelah seharian di bromo motoran. Kami sih enjoy, start jam 2 pagi dari rumah lalu ke bromo, setelah selesai urusan di bromo, baru sore harinya kami berkunjung ke daerah UMM untuk ganti unit motor. Oleh karena itu, sekalian lah kami lanjut jalan ke Batu untuk berendam air hangat😁 - Kami menempuh perjalanan dari Pakis Malang sekitar 1 jam lebih, jalanan lumayan macet di sekitar polinema. - Kami sampai saat hujan, karena saat itu hari jumat tiket masuknya jadi Rp 50.000 - Pelayanan ramah, baik pulang maupun pergi kita dilayani dengan ramah dan baik, bahkan oleh penjaga keamanan pun. Selain itu, ketika kami meminta pelayan yang di area makanan untuk menyalakan keran air supaya lebih hangat, mereka pun sigap dan tahu caranya sehingga tidak perlu menyuruh operator🌐🗺🧭 - Kolamnya sangat bersih, tidak sesuai review yang bilang kotor. Sangat baik - Banyak pilihan makanan dan ada juga kopi. Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Yolanda Bundafarel,5,sebulan lalu,Akhir pekan,Bagus mungkin lebih sering dibersihkan jacuzzynya lebih bagus lagi. Kamar mandi bersih. Bilasan air panas cuma menyala di satu kamar mandi. Area kolam renang besih dan dingin. Ada 1 jacuzzy yg g bisa dipergunakan. Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
mubarak ahmad,1,seminggu lalu,Akhir pekan,"Airnya gak panas, hangat mendekati dingin, kolamnya kotor ada endapan lumpur sulfur, dinding kolam kuning licin seperti endapan lama tidak dibersihkan, kolam nya hanya 3 saja itupun kecil Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Nadya,5,2 bulan lalu,Hari biasa,Tempatnya bagus dan cukup bersih. Ada kolam air dingin dan kolam air panas. Kolam air panasnya di kayak jacuzzi. Itu bisa blubuk blubuk tapi belum dihidupin sama petugasnya. Airnya ada yang agak hangat dan hangat Sayangnya pas kesini kok nggak keliatan tamu lain. Padahal tempatnya bagus dan ok. Nggak tau deh kenapa
artia suastha,5,2 bulan lalu,Hari libur nasional,"Tempat nya bagus beraih , dan terawat sekali , ada 3 plungepool jacuzi , tersedia shower air dingin juga untuk menetralkan kalo sdh terbisa dengan suhu dalam kolam , bisa bilas dulu terus masuk lagi ke air panas maknyooss, semua pegawainya ramah ramah dan sopan pertahankan pelayanan dan fasilitasnya Hari libur nasional Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Dian Muliasari,4,3 bulan lalu,Hari libur nasional,"Songgoriti disulap jadi kekinian. Thanks management owner dll yg sudah ngikuti trend. Overall nyaman sekali, di weekend dan libur panjang per orang 75k, menurutku agak mahal, tp worth the price karna kita bisa move dr kolam renang air biasa, ke kolam hangat yg ada belerang nya ya kalo ga salah. Minusnya, ada 1 kolam yg ngga ada gelembung2 nya, but its fine sih tetep hangat kok. Area parkir luas, wifi di sediakan jd kalau mau pake qris sinyal aman, kamar mandi banyak dan ada water heaternya. Posisi duduk buat penunggu juga banyak. Hopefully yg lt.2 bisa segera di aktifkan ya. Kayaknya jd foodcourt atau cafe gt. Musholla ada dan bersih, saran tetep bawa mukenah sendiri. Saran untuk management, mungkin bisa di beri petunjuk lantai licin karena banyak yg wudhu karena aku sendiri kepleset disana 🤣 wkwkwk atau saran aja d kasih keset ya. Takutnya orang tua yg kepleset atau anak2 bakal berabe. Hari libur nasional Waktu antrean Tanpa mengantre Sebaiknya buat reservasi Tidak yakin"
Ira Maxmtwo,4,3 minggu lalu,Hari biasa,pemandangan dan tempat yang sangat bagus tenang indah... fasilitas keseluruhan bagus cuma untuk jakuzi nya kurang bagus dari kualitas air dan suhu... seandainya ini bisa diperbaiki pasti ini opsi yg sangat bagus drpd harus ke cangar Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
Bowo Ardianto,5,7 bulan lalu,Hari libur nasional,"Tempat yang bagus untuk melepaskan penat dari hiruk pikuknya pekerjaan. Berendam dikolam dengan air belerang dari sumbernya memang membikin rileks. Apalagi ditambah view pegunungan yang asri dan alami. Tersedia cafe juga,, sehingga bisa pesan makanan ketika sedang atau setelah berendam. Hari libur nasional Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Shela Rohendi,4,3 minggu lalu,Hari libur nasional,"Tiket weekend harga 50rb/org Air hangat hanya 4 kolam kecil, itupun suhunya tidak pasti (tidak terlalu hangat). Saya kira semua kolam air hangat mengingat nana wisatanya hot springs. Tempat bersih, toilet banyak dan bersih tapi heater ada yg nyala, ada yg tidak. Hari libur nasional Waktu antrean Tanpa mengantre Sebaiknya buat reservasi Tidak yakin"
nurul siibonitha,5,3 minggu lalu,Hari biasa,"Tempatnya bersih sekali, santay kalau di hari weekday lebih enak tidak rame, serasa kolam renang sendiri. untuk yg berenang/berendam di kenakan 50k baik anak2 & dewasa, yg tidak berendam 20k saja dapat snack Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
athallah rendra,5,2 minggu lalu,Hari biasa,"Pelayanan ramah, makanan worth dengan harganya, tempat juga bersih. Minus aja kurang kolam yang lebih dalam 😁. Overall sangat baik 🔥 Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Mohammad Syaifudin Edo Santoso,5,2 bulan lalu,Akhir pekan,"Tempatnya nyaman, cocok buat menghilangkan penak habis kerja.. Sejuk ,rindang banyak pohon pokoknya.. Mantab lah.. Akhir pekan Waktu antrean Sebaiknya buat reservasi"
Olivia Novi,4,2 bulan lalu,Hari biasa,"Saran aja, untuk paket berendam & makanan, bagusnya makanan nya bisa milih sesuai harga sih. Kalo makanannya ditentuin gitu jadi nya gak minat ambil yang paket karna pengennya makanan yang lain Waktu antrean Tanpa mengantre"
Super Kids,5,2 bulan lalu,Hari biasa,"Kolam berendam air hangat sepaket dengan view pegunungannya, fasilitas lengkap, enak banget buat melepas penat 👍👍 Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Aris sdr,5,3 bulan lalu,Hari libur nasional,"Tempatnya enak buat santai santai sambil menikmati air hangat... Ada juga kolam air dinginnya yang lumayan besar.. Parkiran ada, snack (mamin) bisa dibeli di dalam... Viewnya bagus sih.. Oiya saya ke sini sekeluarga 6 April 2025... Di akhir akhir masa libur lebaran Hari libur nasional Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Indah Putri,2,3 minggu lalu,Akhir pekan,"Di bawah ekspektasi. Datang ber5, bayar 500rb dpt tape ketan dan minuman dingin di saat kita kedinginan. Mending minumannya itu teh tawar hangat ocha2 gitu sama bakso malang baru deh oke. Kalo misal kolamnya itu airnya panas 40derajatC okelah masih bisa dimaafkan. Airnya itu suam suam kuku, pake water heater di rumah juga lebih panas. Alasannya pake mata air sumber yg suhu berubah2.. lha orang kolamnya itu dikurangi airnya separo gitu ya, trus dicampur sama air sumber yg panas. Ya air campuran gitu ya pasti kurang panas lah suhunya. Yang diukur sama mas2 petugasnya itu air keluaran sumbernya. Lhaa mas yg diukur ya air mixingnya mas nyampe ga ke suhu nyaman orang berendem? Kolamnya cuma 3 kecil2, selebihnya kolam air dingin yg ga ada usaha dibikin kolam air hangat kek biar berfaedah…. Satu aja kolam dinginnya gitu… Cukup sekali dan gak akan datang lagi. Mending nabung onsen di jepang cuma bayar 50rb per orang beneran panas… Buang2 uang dan waktu ke sini guys. Niatnya ngilangin capek berendem air panas yang ada badan meriang kedinginan. Satu lagi, toilet mandinya itu dengan bodohnya pake water heater listrik yg kapasitasnya terbatas. Kalo air panasnya abis ya wes lah selamat kademen. Pake gas water heater aja atau instan water heater kalo listrik. Sudahlah lupakan saja ke sini. Masih mending ke cangar walopun jelek masih ada rasa berendamnya. Akhir pekan"
Dini Kartika,5,3 minggu lalu,Hari libur nasional,Tingkat panas air nya tergantung alam jadi bukan yang panas2 sekali. Hari libur nasional Waktu antrean Tanpa mengantre Sebaiknya buat reservasi Tidak yakin
Josephine Agung,5,5 bulan lalu,Akhir pekan,Pemandangan bagus..harga terjangkau..hanya kamar mandi harusnya dibedakan laki perempuan nya..kehangatan air baru terasa setelah agak malam..jadi kalo dateng sore kurang hangatnya..masih kedinginan..tapi so far good la ya Akhir pekan Waktu antrean Maks 10 mnt Sebaiknya buat reservasi
Eugene Niels,1,8 bulan lalu,Akhir pekan,"Tidak rekomendasi!!! hari jumat termasuk weekend htm 50k. Air panas nya mati, kolam jg dingin, hanya kolam sulfur yg hangat (itu saja hangat kuku). Masa iya malam2 berendam, bilas nya air dingin... Ga LUCU... Pegawai nya juga banyak alasan, masa iya customer suruh memahami? Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Langgeng Wijayanto,5,2 bulan lalu,Hari biasa,"dateng kesini hari jumat siang cuaca lagi mendung dan akhirnya hujan dan pas hujan turun dipinjamin payung sama karyawan nya, baiki bgt mas e👍 Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Herlina Prastiwi,4,11 bulan lalu,Akhir pekan,"Vibes nya keren banget. Kesini di jumat malam, sepi.. Rasanyaa kyk punya kita sendiri. Karena baru landing dari Jakarta, kita cuma coba berendam di kolam air hangat yg ada belerang dan bisa blukutuk2, hehe. Saat itu suhu udara sedang dingin2nya jadi wajar kalo ga terlalu panas kolamnya. Keluar dari kolam hangat lgsg menggigil. Tapi jangan khawatir ada kamar bilas yg ada air hangatnya, cuma ya gitu.. Keran air hangat, hanya 5 menit pertama aja yg hangat. Tapi overall, keren banget tempat ini! Lampu2nya romantis bangeeeet! Next time mesti kesini lagi! Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Tata Pertiwi,5,2 bulan lalu,Akhir pekan,"Tempatnya syahdu banget, dateng pas sepi dan kebetulan gerimis, masyaAllah enak bgt buat ngelamunnn meratapi kehidupan 😁.. Nice place,mulai satpam dan semua mas2 yg kerja disana ramah.. good job 🥰 Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Ferry Wijaya,4,9 bulan lalu,Akhir pekan,Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
Rini Panggabean,5,setahun lalu,Hari biasa,"Syukaaaaa.... yg harus dipahami bahwa air panas di Songgoriti ini airnya hanya standar hangat saja. Kalau yg terbiasa mengeksplorasi onsen pasti kesan pertama akan bilang, airnya gak panas. Tapi yg berbeda adalah kadar mineral. Terasa banget perbedaan di tubuh. Apalagi kalau kita mondar mandir dr kolam panas ke kolam dingin. Akan menyegarkan badan. Ada Jacuzi juga jadi akan terasa berbeda dengan tempat lain. Kamar bilas juga bersih walau gak ada shower air panasnya. Ada resto dimana kita bisa pesan makanan dan minuman. Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
silvi azizah,5,2 bulan lalu,Hari biasa,"Sudah berkali kali ke spring hill songgoriti batu, enak banget pokoknya, dapet view, fasilitas lengkap, musholla, toilet juga bersih, nyaman bisa buat healing atau refreshing 😇🤩👍 Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Sheila Arif,4,setahun lalu,Hari libur nasional,"Kolam air panas, ada 4 kolam buat berendam, kolam renang ada 3, ada anak2 dan dewasa. Tapi kolam dewasa nya cuma 60cm an. Tempat nya kecil tapi nyaman, hanya saja, banyak tanaman nya yg perlu perawatan. Banyak pilihan menu makanan. Kl mau kesini datang pagi2 biar dpt kolam air panas nya. Saran saya, mungkin bisa di perbanyak kolam air panas nya. Masuk gratis kl tidak berendam. Kl berendam 75rb /org free greentea. Hari libur nasional Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
thoheer khansa,5,5 hari lalu,Hari biasa,"Tempatnya bagus, nyaman terus enak dingin. Pas datang tidak terlalu ramai jadi bisa santai. Banyak kamar mandi dan bersih ada kolam dingin dan hangat Waktu antrean Tanpa mengantre"
Sasha Fairuza,5,setahun lalu,Akhir pekan,"Tempat berendam air belerang yang recommended, pemandangannya langsung gunung dan suasana sekitar sangat asri. berangkat pagi lebih enak karena tidak terlalu ramai. Kamar mandi bersih dan juga ada banyak.. Mungkin nanti bisa di tambah air hangat biasa jadi bukan air hangat belerang saja. Sehingga ada beberapa macam pilihan air hehe Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Endra Purnama,2,5 bulan lalu,Hari libur nasional,Hari libur nasional Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
Ernes Riza,5,2 bulan lalu,Hari biasa,"Mantap, fasilitas lengkap, ada kolam berendam hangatnya, view top 👍👍 Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
GAC Detailing,4,11 bulan lalu,Hari libur nasional,Hari libur nasional Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
Elissa,5,setahun lalu,Hari biasa,"overall experience was great. sebelumnya ada chat marketingnya untuk reservasi, tapi karena weekday jd disuruh dtg langsung. kena 100rb/org (nyebur ngga nyebur tp nunggu di dalem). kalo ga nyebur dan gamau kena 100rb, nunggu nya di lantai 1. dengan total biaya yg dibayarkan nanti dituker makanan dan minuman yang senilai total biaya tersebut. kolam sulfurnya ga begitu bau, warna kuningnya sempet bikin ngeri awal² 😅 tapi pas udah berendem enak, jd relax badan karena airnya hangat. makanan dtg dengan food wrap jd cukup hygiene. food taste lumayan oke. minuman lumayan oke jg, mending minuman hangat habis keluar air panas jd menggigil kena udara dingin hehehe Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
BOS Fish Mart,3,setahun lalu,Hari biasa,"(+) Lokasi dekat pusat Kota Batu, pemandangan indah dan udara sejuk, ada live music (saat kami berkunjung). (-) Suhu air tidak panas sama sekali, cuma hangat malah cenderung adem. Kolam kurang bersih. Makanan paket rasanya tidak sebanding dengan harga, kebetulan kami ambil paket 100K dengan menu nasi goreng. Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Meika Ayu Cahya,5,7 bulan lalu,Meika Ayu Cahya,Terakhir kesini suhu airnya hampir menyentuh angka normal. Jd ga hangat suam2 kuku aja. Mgkn krna sdg musim hujan Tp it's okay.. Waktu antrean Sebaiknya buat reservasi
ADID DARMAWAN,4,10 bulan lalu,Hari biasa,"Biaya masuk weekday 50 ribu, namun airnya gak panas. Kata petugas karena aliran dr alam. Saran klo kondisi air gak panas, perlu disiapkan pemanas spt Jacuzzi, karena tiket gak murah. Harga makanan cukup mahal, jahe hangat, ternyata bukan jahe geprek, pake sachet dan harga 25 ribu secangkir, kopi item 30 ribu. Makan rata2 60 ribu. Waktu antrean Tanpa mengantre"
