reviewer_name,rating,date,visit_time,review_text
Ika Nur Noviyanti,5,2 tahun lalu,,"Wisata berendam dan berenang yg memuaskan...., menurutq. Reservasi utk masuk ke fasilitas jacuzzi dan kolam renang 100 k per orang, ada Transfer DP jg. 100 rb nanti bisa ditukar dg menu² makanan dan minuman yg emg pricy sih tp sepadan banget dg rasa yg diberikan, enak² dan mantab👌 Ada 2 kolam renang dingin dan 4 kolam jacuzzi belerang yg airnya hangat kuku. Pas banget di udara yg dingin berendam di jacuzzi belerang. Fasilitas kamar mandi bilas jg dilengkapi dg air panas dingin, dan yg pasti kebersihannya terjaga. Suasana malamnya jg sahdu bet dg lampu² yg instagramable, bikin betah... Tempat yg recomended untuk relax dan melepaskan penat."
Velyn Souvenir,5,2 tahun lalu,,"Dengan bayar 100.000 per orang, kamu sudah bisa dpt fasilitas berendam air panas di Jacuzzi Pribadi nya. Ada 4 Jacuzzi dan 2 kolam renang dengan air dingin. 100.000 bisa kamu tukarkan makanan dan minuman di SHS ini ya gaes. Lumayan worth it semuanya Untuk anak usia 5th kebawah free ❤️ Makanan dan minuman nya mantap ❤️ Kamar mandi untuk bilas tersedia air panas juga Management nya sangat ramah, karena saya sempat bertanya kenapa Jacuzzi yg 3 cuma hangat, manager nya lgsg menjelaskan bahwa sedang ada perbaikan pompa. Begitu selesai, ke 4 Jacuzzi berfungsi dg sangat baik"
Zaky Dzulfikar,5,2 bulan lalu,,Rombongan dosen UMS acara kunjungan ke UB dan wisata kesini bersama V-Car Transwisata Cek ig kami di @sewabissolo
Heru Kristanto,5,setahun lalu,,"Di sini bisa menikmati suasana dengan berendam air hangat mengandung belerang. Tersedia juga 3 kluster kolam air biasa, yg seger dan dingin. Cocok untuk relaksasi, tempatnya bersih dan makanannya enak. Spotnya bagus."
gendhis sya,5,setahun lalu,,"Tempat ini suasananya sangat nyaman untuk kita yang menyukai alam, kolam renang nya juga banyak dan banyak pepohonan yang menghiasi, banyak juga patung patung lucu seperti dinosaurus, buah buahan, dll. Sangat cocok untuk anak anak remaja seperti kita"
cindy satriyo,5,setahun lalu,,"Update terbaru harga tiket masuk untuk weekday 40K weekend 50K, ada sistem paket juga tiket masuk include paket makan dan minum. Sebelum kesini browsing2 kalau harus reservasi, coba reservasi tapi gak bisa, kontak via DM IG, dapat no WA nya. Ternyata bisa datang langsung tanpa reservasi. Hari Sabtu langsung otw jam 16.00 sudah di TKP. Gak begitu ramai. (17 Juni 2023) Parkiran OK. Biaya masuk 100 per orang, usia dibawah 5 thn free Biaya tersebut utk deposit pesan makan minum serta menikmati berendam air hangat (4 kolam kecil), atau menikmati kolam renang yang dingin (2 kolam). Harap bersabar ketika ingin menikmati kolam air hangat bersama keluarga karena pasti ada yg nempatin. Kalau pas sepinya..saat magrib.. Setelah itu makin malam makin ramai.. Taste makan dan minum lumayan enak meskipun harganya agak pricey menurutku..tapi masih worth it lah dengan fasilitas yang disediakan dan pemandangan yang cakep. Pilihlah makanan dan minuman yg direkomendasikan, supaya ndak zonk.. Tidak tersedia locker ya, jadi simpanlah barang berharga kalian di tempat yang aman dan dapat kita awasi ya.. Bawa peralatan mandi (handuk, sabun, shampo) sendiri Toilet bersih tapi air dingin (seandainya saat mandi pakai air panas lebih OK lho) dan bilas pakaian kalian yg dipakai berendam.. supaya tidak berubah warna jadi kuning. pelayanan ramah gercep. OK lah Waktu menunggu makanan minuman kurang lebih 30 menit. Sebaiknya setelah bayar pesan makanan dan minuman. Setelah berendam bisa langsung makan atau minum..tapi ya itu...makanannya jadi dingin."
Anindya qanita Maheswari,5,2 tahun lalu,,"100rb per org utk minimum pemesanan dine in disana... Dpt bonus berendam air panas🤗... Utk kolamnya ada 3 varian kolam air panas dgn suhu yg berbeda dan ada juga 3kolam air biasa...snack platernya enak,hot milk, spaghetti n curry ramen n mojito yg kami coba😊 …"
Kiki Indriani,5,2 tahun lalu,,Main ma keluarga seruuu di SHS. Soal nya kalau mau berendam di cangar jaauuuuhhh banget. Ini jarak dan lokasi nya mudah dan terjangkau. Apalagi kalau sore suasana makin menggoda dengan suasana batu dingin dan jacusi belerang menyehatkan.
Fauziah Rachmawati,4,2 tahun lalu,,"Tempatnya nyaman, bikin betah lama-lama di sini. Kamar mandi banyak dan bersih. Parkir luas. Mbak mas nya ramah.. Ada mushola.. Satu hal yang perlu ditingkatkan: rasa makanan.. Smg ke depan makin nyaman di lidah makanannya. 😊"
Indah Wahyuni,5,setahun lalu,,Termasuk wisata baru di Songgoriti.. resto sangat recommended dengan view yg super cantik.. tempat berendam dengan air panas alam banyak berminat bagi wisatawan2
Nurul Arifin,5,11 bulan lalu,,cocok buat liburan penenang penat dikepala sambil berendam air hangat. mantap😻 …
Wiwid Widartik,4,setahun lalu,,Tempatnya bagus banget under mountain tiket utk HR biasa 40k utk weekend 50 k. Staff di sini ramah2 dan sangat membdntu
Jooupdate,5,setahun lalu,,Satu satunya permandian airpanas blerang yang ada jacuzzy nya. Tempatnya bagus
Vinda Perwitasari,5,2 bulan lalu,,Best place for relax Cocok bgt yang ga betah dingin bisa berendam aja dsni..kids friendly
Sisil Atik,5,2 tahun lalu,,"Tempatnya nyaman banget,pemandangannya juga bagus. Area kolam bersih dan pegawainya ramah2.terutama kolam renang air panas belerangnya juga nyuaman baget Kapan2 mau kesini lagi deh🤗🤗🤗"
Anto Antet,5,2 bulan lalu,,"Tempatnya sangat indah, apalagi klo buat bersantai nyaman bgt. Pasti berkunjung ke sini lagi"
Christian Ariando,5,2 tahun lalu,,"Tempat cozy, makanan enak dan pelayanan yg ramah recommend untuk bersantai dengan keluarga"
titania fourensach,5,2 tahun lalu,,"Pemandangannya bagus, tempat juga bersih Pengalaman pertama berendam dimalam hari dengan suasana dingin kota batu 👍 …"
Reski Al-Kajangi,4,2 tahun lalu,,"Tempat ini selain tempat wisata, memiliki suasana yang suhu nya tidak terlalu dingin, aman, nyaman, dan ramah lingkungan"
Fazri Subianto,5,2 tahun lalu,,Tempatnya nyaman plus cafe.. ada tiga kolom rendam yg cocok buat keluarga berendam bareng satu keluarga makan dan minuman nya euuunak banget...suana romantis cck lah buat guys yg masih bujangan
Nasyawa Kirana,4,2 tahun lalu,,wajib bgt si nambah experience klo ke batu mainnya ke hotspring. hawa dinginnya batu bakal cocok bgt sama angetnya jacuzzi. kalo kalian kesini masih terang siang-sore pasti bisa bgt nikmati ijonya songgoriti yg ala ala swiiss gitu gais.
LAILATUS SYARIFAH,5,setahun lalu,,"Kukira sama dengan yg di pasarnya, Ternyata tidak. Kolam renangnya banyak, ada air panas, hangat, natural dan dingin. Bisa pilih kan kalian"
sri kurniawati,4,2 tahun lalu,,Nice view berendam air panas dan jakuzi mamin only 100 rb
Heri Oktavinalis,5,2 tahun lalu,,"Selepas bisnis trip Yogya dan Malang, berendam sekeluarga dari Magrib hingga Malam.Sangat menikmati liburan di weekday. Tinggal pilih kolam mana aja, dari yg anget rendah sampe anget menuju panas. Sup Iga nya sedap.dagingnya empuk, rasa kuahnya sedap.. Layannya ramah."
ahmad andik,5,2 tahun lalu,,"HotSpringsnya lumayan mantab, wlw hanya 3 kubangan, cafe yg cozy & nyaman buat refresh-relaxing. Songgoriti, tempat maen lama yg lama tidak kesini."
Aditya Firmansyah,4,2 tahun lalu,,"Tempat cukup bagus Kolam air panas cuma ada 3, sisanya air dingin Rasa makanannya standar banget"
Azhura Funny,5,2 tahun lalu,,Kamu harus cobain... Makanannya estetik.. enak.. harga manusiawi lah.. sesuai.. mantul tempatnya pula.. cuma 1 minusnya.. bagi saya airnya kurang panas sdikit hehehe
GS W,5,2 tahun lalu,,"Pelayanan U/ masakannya lumayan lama, ada 1menu kedouble kirim makannya. Ramah² pelayannya,"
Sinta Rossita,3,2 tahun lalu,,"Tempatnya bagus, makanannya lumayan enak cuma sayang banget airnya ga panas sama sekali agak mengecewakan karena maunya kan berendem air panas ya 😭😭 …"
