reviewer_name,rating,date,visit_time,review_text
Dina Trismawati,5,sebulan lalu,Akhir pekan,"Bagus, akses mudah, ada lampu dan colokan listrik di setiap campsite, ada kran air juga. Kamar mandi bersih, ada air panas juga. Pemandangan bagus bisa lihat sunrise 👍👍 next bisa diagendakan kesini lagi"
Rika Adjie,3,sebulan lalu,Akhir pekan,"terlalu dekat dengan jalan raya jadi cukup bising, tidak ada viewnya. bit pricey dg fasilitas yg begitulah. okenya toilet ada air hangat"
Nusa Weni,5,sebulan lalu,,"Baguss... Penerangan ada, listrik dan colokan banyak di area dekat camp.. kamar mandi ada lumayan dekat... Dan bersih dibandingkan tempat camping area lain.. Tersedia juga mushola... Tapi bila pilih yang reguler... Jauh dari kamar mandi,, listrik atau colokan gak ada sama sekali..... Daya tarik hanya pegunungan dan hutan pinus... Seandainya dibikin kolam renang kecil khusus anak, mgkn akan lebih baguss lagi.. karena tempat bermain anak tidak ada sama sekali disni..."
Ram Karen Mada,5,sebulan lalu,Akhir pekan,"nyaman untuk keluarga, akses mudah, kamar mandi bersih dan ada air hangat, cocok jika untuk pengalaman pertama camp"
Bayu Kriswanto,5,3 bulan lalu,Akhir pekan,Cocok banget buat ngecamp ama keluarga.. Menikmati ketinggian kota batu .. Fasilitas lengkap .. Toilet juga bersih..
David Ananta,5,6 bulan lalu,Akhir pekan,"Pengalaman pertama camping disini sangat nyaman, terdapat persewaan tenda, terpal dll, fasilitas umum terdapat mushola dan toilet yang bersih. Tersedia colokan listrik dan air bersih setiap titik camp, penerangan yang cukup menambah kesan menarik."
Triman Utama,5,sebulan lalu,Hari biasa,"Tempatnya sangat enak sekali apalagi klo pas weekday bisa santai sepi dan serasa di hutan beneran,,"
sutanto malik,4,2 bulan lalu,Akhir pekan,"Untuk yang penasaran biayanya, saya datang hari minggu sore, masih termasuk weekend, untuk weekend biayanya: sewa lahan : 150 rb, tiket masuk 10 rb per orang, anggota saya 3 orang jadi biayanya 180 rb per malam, lahanya cukup luas, bisa buka tenda di samping mobil. Saya bawa tenda dan perlengkapan sendiri, Fasilitas : colokan listrik, lampu penerangan"
Nidya Citra,5,7 bulan lalu,Akhir pekan,"Tempat nya asik buat camping, datang dari Bali ke Batu khusus buat ngecamp disini. Alhamdulillah jam 8 pagi sampai sudah diperbolehkan utk cek in, kalau yg ga sempat bawa logistik, tenang!! Di depan pintu masuk udah jejer dagang bakso, sempol dll dan ada cafe juga. Kamar mandi bersih hanya saja tdk ada air panas, lumayan adem airnya hehe. Area Camp cukup luas, pemandangan pohon pinus juga bagus banget. Ga kecewa camping disini.... Will visit again next time!!"
ANTON denbagoess,5,3 bulan lalu,,"Cocok untuk liburan bersama keluarga untuk menikmati keindahan alam..ada mushollahnya, toilet bersih..."
Syahril Yogie,5,7 bulan lalu,Akhir pekan,"Tempat camping yg rekomended. Pelayanan nya cepat, fast respon, peralatan lengkap, meskipun malam minggu disana tp ga berisik dan ga padat. Ada cafe juga yg bisa ngelayani. Makanan juga enak dan harga relatif aja"
AVINASHOP,5,9 bulan lalu,Akhir pekan,"Pengalaman pertama ngajakin anak2 camping. No drama. Pesan jauh2 hari 2 tenda. Nyampe tenda sdh terpasang. Fasilitas lengkap. Mushola, kamar mandi, air bersih, lampu dan colokan listrik juga ada. Sampe isi ulang gas pun tersedia."
Asmar M Regan Madani,5,8 bulan lalu,Akhir pekan,"First experience camping saya terdapat di sini, untuk saya yang belum pernah camping dan pertama kali mencoba camping, tempat ini sangat cocok sekali apalagi fasilitas yang ditawarkan sangat sangat lengkap, mulai dari colokan disetiap campsite, terdapat wifi dan juga alat alat camping / alat pembantu camping. Untuk viewnya juga lumayan, hutan pinusnya tidak terlalu rapat tapi vibes hutan masih bisa terasa, campsitenya sangat banyak dan terdapat banyak sekali pilihan ukuran campsite, mulai dari yang standart hingga super deluxe yang cukup untuk keluarga besar camping. yang pastinya juga disini hawanya dingin, karena terletak dibawah kaki gunung panderman, jadi tempat ini mungkin cocok untuk kalian yang baru pertama kali mencoba camping di alam tetapi fasilitasnya masih lengkap dan tidak mau tempat yang terlalu liar/alami di hutan belantara"
