reviewer_name,rating,date,visit_time,review_text
EmSu,5,sebulan lalu,Akhir pekan,
Farell,4,2 minggu lalu,Hari biasa,
Meri Flamboyan,5,3 bulan lalu,Akhir pekan,"Tempat rekreasi yang selalu didatangi kalo tiap libur karena deket banget sama rumah. Walaupun tempat wisata yang tergolong udah lama (dibangun 1950) tapi cukup seneng karena selalu ada perubahan yang dibuat, mau selalu berinovasi dan berbenah jadinya gak kalah sama wisata yang tergolong baru. Minusnya mungkin lebih panas dari yang dulu karena beberapa lahan yang dulunya pohon harus dikurangi buat wahana. Tiket masuk ada yang terusan dan reguler. Kemarin ambil yang reguler 160.000 untuk 3 orang, sudah termasuk biaya parkir motor. (Tidak include tiket wahana ya) tiap wahana bayar diloket yang udah tersedia didalam selecta. Tersedia toilet untuk air panas dan biasa di dekat kolam renang, ada foodcourt di bawah (dekat lahan parkir) tidak ada makanan berat seperti nasi, kecuali kalau mau ke resto yang ada disana. Ada juga bakso di dekat aula sri paseban, dan sky bike di atas. Buat bioskop 4D nya keren sih, seru banget karena bener² bisa ngrasain realnya."
Suwondo S. Kom,5,4 minggu lalu,Akhir pekan,"Keren tempatnya bersih, parkiran tambah luas. tiket masuk semakin mahal, sekarang per orang Rp. 50rb, ada terusan kalau gak salah 80rb. tapi worth it kok. 😊"
Naytasemarang210494@gmail.com Nayta,5,sebulan lalu,Hari biasa,"Tempatnya sangat indah dan luasss sangat, banyak wahana dr kolam renang waterboom & kolam dewasa, sky bike, perahu mobil, kereta mini, ada jg taman dinosaurus dg replika patung yg bs bergerak, masjid & toilet jg bersih & luas, ada banyak toko & resto didalam, view aneka tanaman & bunga, ada naik kuda jg, banyak akuarium yg ikannya besar2 & bs d kasih makan, beli makanan nya cuma 5rb"
febda permana,5,seminggu lalu,Akhir pekan,"Selecta adalah tempat rekreasi Legend yg berada di Kota Batu, kesini pada waktu liburan atau Akhir pekean suasananya sangat Ramai, banyak permainan, Bunga Bunga, dan banyak ikan Koinya, cocok untuk liburan Keluarga"
Rony Djunianto,5,sebulan lalu,Akhir pekan,"Selecta merupakan tempat hiburan di kota Batu yang eksis hingga sekarang. Bayangkan saya kesini untuk pertama kalinya di tahun 1979. Sekarang tahun 2025. Betapa lamanya. Selecta sekarang, amazing. Berbenah demi eksistensi hiburan di kota Batu. Patut diacungi jempol. Ke Selecta kali merupakan tombo kangen bernostalgia buat saya. Paket lengkap. Sukses buat pengelola wisata Selecta."
the rath,4,3 bulan lalu,Akhir pekan,Salah satu taman rekreasi dan taman bermain di Kota Batu yang sudah cukup dikenal orang. Areanya luas dan nyaman untuk berekreasi menikmati aneka macam bunga dan permainan. Di sini juga ada kolam renang dan water park untuk anak-anak kecil dan dewasa.
Ayuni Sri Rahayu,4,sebulan lalu,Hari libur nasional,"pemandangannya alam bagus banget, udaranya juga sejuk, adem jangan lupa pake jaket ya buat yang ga kuat ademnya batu, tolong kebersihannya di area sekitar di perhatikan juga yaa, thankyou"
yenny alfyan,5,seminggu lalu,Akhir pekan,Super bagus dan bersih tempatnya... Nyaman untuk acara liburan anak Banyak wahana seru...
istiardi channel,5,sebulan lalu,Akhir pekan,"Rekreasi buat keluarga, teman, pacar, sahabat juga rombongan dengan wahana yang lumayan banyak,ada life music,resto area belanja diparkir, Selecta pemandangan yang menarik."
Thata Pang,5,3 bulan lalu,Akhir pekan,"Salah satu tempat wisata yang melakukan banyak perubahan. Cocok untuk anak2 dan juga keluarga. Lengkap ada taman dinosauraurus yang bisa bergerak, ikan, kolam renang, bianglala, dll permainan. Restoran, kios2 buah, suvenir. Semua dlm satu lokasi. Sejuk udaranya. Rekomen"
Wibisono Rijadi,5,seminggu lalu,Hari libur nasional,
Uswatul Muzayanah (UM Channel),5,2 minggu lalu,,"Taman yang sangat indah, berbagai macam bunga yang indah untuk dipandang. Dilengkapi dengan aneka permainan untuk anak dan dewasa, sehingga tempat ini sangat cocok untuk destinasi wisata keluarga"
risty ayu fauziah,5,sebulan lalu,Akhir pekan,"Tempat tujuan wisata untuk keluarga, fasilitas lengkap harga makanan affdorable. Kolam renang dan wahana permainan yang seru."
Sesilia Ernita Putri Utami,5,5 bulan lalu,Hari libur nasional,"Tempat rekreasi yang murah, cocok untuk liburan keluarga dan bisa mencoba beberapa wahana menarik."
Andre Rinaldi,5,3 minggu lalu,Hari biasa,"kita datang kepagian, petugas loket baru datang pukul 07.10, sebagai kompensasi kita di beri free tiket anak."
I Nengah Suarna,5,sebulan lalu,,Taman yang sangat indah. Cocok untuk acara rekreasi bersama keluarga dan teman-teman. Suasana sejuk bersih dan nyaman.
Mohamad Fansuri,5,seminggu lalu,Hari biasa,"Bagus, bersih dan tertata. Lahan parkir luas makannya baik."
Arzy muzakki,5,7 bulan lalu,Hari biasa,"Agustus kemarin baru saja saya mendatangi tempat sejuk dan asri ini. Bernuansa alam, waterpark, taman, dan cocok untuk berbagai kalangan usia. Harga tiket murah dibandrol hanya 25 rb sesuai sama tempat, view dan fasilitas. Namun, saya hanya beli tiket sedangkan untuk wahana bayar sendiri karna saya pilih yang terpisah sebab ngga semua wahana dicoba. Wahana lain masih banyak, seperti naik kuda, flying fox, bianglala, Bioskop 3D, numpak bebek, kolam renang dll. Ngga cuma wahana yang lengkap ,fasilitas juga dongg.. ada mushola, restoran, tempat makan, kamar mandi, pasar bunga, tempat parkir seluas samudera, dll. Kuyyy ajakin keluarga, teman, rekan maupun ayang kalian kesini!!! Buruan!"
renny puspita,5,5 bulan lalu,Hari biasa,"Selecta menginjak usia ke 75 , banyak penambahan spot menarik disamping kolam renang yg sudah ada sejak Selecta berdiri, utk piknik bersama keluarga yg paling asyik karena bisa membawa makanan..."
ir indahria,5,8 bulan lalu,Akhir pekan,"Enak.. Luas... Kolam renang juga luas.. Wahana bianglala gratis (include tiket) Harga tiket 50rb/orang & 20 parkir mobil. Ada juga stand bunga & bibit buah, kios utk oleh-oleh juga luas tersedia. Musholla ada, fasilitas bilas setelah renang enak gak pakai antri, bahkan ada yg air panas (berbayar 10ribu), kalo air dingin gratis. Untuk makanan dan jajanan enak, hanya harganya lumayan mahal."
