reviewer_name,rating,date,visit_time,review_text
farhan arif,1,1 hari lalu,,"Ada kolam pancing ngga boleh di pancing, katanya hanya hari minggu. Hati minggu balik lagi ngga boleh bawa pancing sendiri, harus sewa. Udah ikut peraturan alat pancing sangat tidak proper sekali. Lebih parahnya ndak di info jam oprasional kolam di loket depan setelah mancing baru di info jam set 4 tutup kita dateng jam 3 kurang. Apaan coba ngga jelas"
Galuh Kurniawan,4,seminggu lalu,Akhir pekan,Sayang sekali kondisinya sepi sekarang Padahal tiket masuknya murah Kolam renang masih terjaga kebersihannya Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
Pendik Hermawan,3,3 minggu lalu,,
Bang Riff,5,4 minggu lalu,,
Wirian Risda,4,sebulan lalu,Akhir pekan,"Tempat renang favorit. Kolamnya dari dangkal ke dalam. Bersih. Kalo tempat wisatanya sepi, jajd8 kesana ya emang tujuannya selalu buat renang. Ga se hype dulu. Harga tiket masuk terjangkau. Minimnya kamar mandi gelap dan duingiin. Ada air hangat tapi berbayar lagi Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Benito musolini,5,sebulan lalu,Hari biasa,"Bagus, tapi sayangnya sepi Waktu antrean Sebaiknya buat reservasi"
Joz Kutik,4,sebulan lalu,,Tempatnya bersih sejuk Banyak tmpt selfi Ada perahu bebek berbayar 20k
Deky Zulkarnain,5,2 bulan lalu,,Mudah didapat kan
Saif Azzuhri,3,2 bulan lalu,Akhir pekan,Kolam renang bersih dan nyaman. Nggak terlalu banyak orang Hanya saja di beberapa spot terlihat tidak terawat Akhir pekan Waktu antrean Tanpa mengantre
dawam as,4,2 bulan lalu,Hari libur nasional…,Hari libur nasional…
Mahros Darsin,4,2 bulan lalu,,"Kolam renang yang bagus. Kolam utama berukuran sekitar 10 m X 20 m dengan kedalaman mulai dari 1 m hingga 2,5 m di sepanjang kolam. Airnya sejuk dan segar. Jangan lupa untuk menghangatkan diri sebelum menceburkan diri ke kolam, karena airnya dingin terutama di pagi hari. Disarankan untuk menjaga kebersihan toilet, kamar mandi, dan ruang ganti. Banyak tempat parkir yang tersedia di dalam tempat tersebut. Anda dapat memarkir kendaraan di luar tepat di samping taman. Diterjemahkan oleh Google ・ Lihat versi asli (Inggris)"
Valentine Hutajulu,5,2 bulan lalu,Hari biasa,"bagus,nyamann Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
khoiruz zadit taqwa,5,3 bulan lalu,Hari biasa,"Sangat cocok buat piknik keluarga, namun perlu banyak pembenahan dan inovasi wahana maupun desain taman Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Ary SOESWADI,4,3 bulan lalu,,"tempat ini bagus, sayangnya tidak dirawat dan dikembangkan dg baik, jadi trkesan jadul. akhirnya kalah menarik dg tempat tempat wisata baru yg lebih kekinian."
Khusnul Ina,5,3 bulan lalu,,
maulana nurilhuda,5,5 bulan lalu,Akhir pekan,"Tempat rekreasi favorit waktu kecil.. Tempat pemandian dan belanja sayur, buah, perabotan dapur tradisional.. dan di paling ujung toko depan parkiran atas sedia kuliner sate kelinci.. waktu kesana hari Minggu lagi longgar banget, banyak stand jualan yg tutup, sudah tidak seperti dulu ramenya.. Semoga bisa pulih kembali, ramee lagi seperti duluu.. 🙏 Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Jwo Jae,5,5 bulan lalu,,Kengan masa kecil
Ahmad Razali Gurning,4,5 bulan lalu,,
Fiqi,5,5 bulan lalu,Akhir pekan,Tiap bingung mau renang kemana ujung ujungnya selalu kesini. Kolamnya luas terus kedalamanannya juga pas. Harga tiket masuk juga terjangkau. Akhir pekan Waktu antrean Sebaiknya buat reservasi
M Misbachul Munir,5,5 bulan lalu,Akhir pekan,"Serasa tempat rekreasi milik sendiri, saya kesini pas sepi pengunjung. Hanya sebentar krn keperluan survey aja. 5 hari lagi balik kesini bersama rombongan 30an orang Akhir pekan Waktu antrean Sebaiknya buat reservasi"
Hery Alfian,4,5 bulan lalu,,Tempat sejuk cocok buat acara keluarga akhir pekan
Herman Hermawan,5,6 bulan lalu,Hari biasa,Masih seperti dahulu . mohon pengelola menambah wahana di kolam atau wahana bermain . kwalitas air yg bagus .kenangan masa sekolah dulu ... Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
