reviewer_name,rating,date,visit_time,review_text
Wirian Risda,4,4 minggu lalu,Akhir pekan,"Tempat renang favorit. Kolamnya dari dangkal ke dalam. Bersih. Kalo tempat wisatanya sepi, jajd8 kesana ya emang tujuannya selalu buat renang. Ga se hype dulu. Harga tiket masuk terjangkau. Minimnya kamar mandi gelap dan duingiin. Ada air hangat tapi berbayar lagi"
M Misbachul Munir,5,5 bulan lalu,Akhir pekan,"Serasa tempat rekreasi milik sendiri, saya kesini pas sepi pengunjung. Hanya sebentar krn keperluan survey aja. 5 hari lagi balik kesini bersama rombongan 30an orang"
Galuh Kurniawan,4,6 hari lalu,Akhir pekan,Sayang sekali kondisinya sepi sekarang Padahal tiket masuknya murah Kolam renang masih terjaga kebersihannya
Fiqi,5,5 bulan lalu,Akhir pekan,Tiap bingung mau renang kemana ujung ujungnya selalu kesini. Kolamnya luas terus kedalamanannya juga pas. Harga tiket masuk juga terjangkau.
Saif Azzuhri,3,2 bulan lalu,Akhir pekan,Kolam renang bersih dan nyaman. Nggak terlalu banyak orang Hanya saja di beberapa spot terlihat tidak terawat
IRMA WIDY,5,setahun lalu,Akhir pekan,"Tempatnya luasss cocok banget buat spend time with family. Kolam renang ada 2, buat anak2 dan dewasa. Tempat makan luasss, banyak pilihan menu nya."
Rio Acim,5,6 bulan lalu,Hari libur nasional,"Tempat favorit anak anakku, paduan suasana alamnya kota batu nambah makin asoy pokok e"
Gaming Akun,4,7 bulan lalu,Hari libur nasional,Masih sama kayak jamanku sd. Tempatnya luas tp skrg butuh peremajaan di area selain kolam renang. Berenang murah dan nyaman di kota batu
Syamsuddin Noor Mokhammad,5,setahun lalu,Hari biasa,"Tempat renang dan piknik andalan keluarga, airnya segar dan jernih. Tempatnya untuk piknik juga sangat luas dan rindang. Udaranya dingin dan sejuk. Tempat piknik yg sangat cocok untuk menghabiskan waktu bersama anak anak"
maulana nurilhuda,5,5 bulan lalu,Akhir pekan,"Tempat rekreasi favorit waktu kecil.. Tempat pemandian dan belanja sayur, buah, perabotan dapur tradisional.. dan di paling ujung toko depan parkiran atas sedia kuliner sate kelinci.. waktu kesana hari Minggu lagi longgar banget, banyak stand jualan yg tutup, sudah tidak seperti dulu ramenya.. Semoga bisa pulih kembali, ramee lagi seperti duluu.. 🙏"
MUJIANTO,5,setahun lalu,Hari libur nasional,
Benito musolini,5,sebulan lalu,Hari biasa,"Bagus, tapi sayangnya sepi"
Dimas Galilea,5,2 tahun lalu,Hari biasa,"pelayanan ramah, kolam bersih, banyak spot untuk piknik bersama keluarga, suasana nyaman banyak pohon pohon, wisata legendaris kota batu, yang menurut saya pribadi worthit untuk me time bersama keluarga. TOPP💪"
khoiruz zadit taqwa,5,3 bulan lalu,Hari biasa,"Sangat cocok buat piknik keluarga, namun perlu banyak pembenahan dan inovasi wahana maupun desain taman"
Herman Hermawan,5,6 bulan lalu,Hari biasa,Masih seperti dahulu . mohon pengelola menambah wahana di kolam atau wahana bermain . kwalitas air yg bagus .kenangan masa sekolah dulu ...
Karina Divisari,4,setahun lalu,Hari biasa,
Pak Rivan,5,2 tahun lalu,Akhir pekan,Sekarang sepi. Padahal dulu rame banget. Berasa di taman pribadi. Tamannya juga kumuh tidak terawat. Harga tiket lumayan murah sih.
ayu anggraini,5,8 bulan lalu,Akhir pekan,
Surja Mutiara,5,setahun lalu,Hari libur nasional,"Taman rekreasi kuno, sayang sdh tidak terawat"
Mas Adie,5,7 bulan lalu,Akhir pekan,Tempat wisata kolam renang songgoriti cocok buat kluarga
Indra AP,4,11 bulan lalu,Hari biasa,
Valentine Hutajulu,5,2 bulan lalu,Hari biasa,"bagus,nyamann"
Himawan Alfan,3,setahun lalu,Lainnya,Fasilitas sedikit... tapi ada pasar sayur yg bikin menarik
Agung Wibowo,5,2 tahun lalu,Hari biasa,Rame dikolamnya untuk taman kurang terawat tapi tetap menyenangkan untuk keluarga.
cak kholiq,5,setahun lalu,Hari biasa,enk tempat nya ada kolam renang dan camping ground nya
juni hadi,3,2 tahun lalu,juni hadi,Tempat kurang terawat
Putut sas,4,2 tahun lalu,Akhir pekan,
22. Nur Muhammad Fahrul,5,setahun lalu,Akhir pekan,
Akhid Khan,4,setahun lalu,Akhir pekan,
dawam as,4,2 bulan lalu,Hari libur nasional,
Dwi Sabil yanto,2,10 bulan lalu,Hari libur nasional,
Salmano Baisa,5,11 bulan lalu,Akhir pekan,
firna khusnul,4,setahun lalu,Hari biasa,
Agung Wahono,5,setahun lalu,Akhir pekan,
Ahmad Naufal Zaidan,4,setahun lalu,Akhir pekan,
ataa,5,setahun lalu,Hari libur nasional,
Vallensya DhiyaurRahman,5,setahun lalu,Akhir pekan,
Budihardjo java,4,setahun lalu,Akhir pekan,
Sami Sandjayani21,5,2 tahun lalu,Akhir pekan,
Aprillia Ramadhani,4,2 tahun lalu,Hari libur nasional,
Mochammad Rusydan Alfiansyah,5,2 tahun lalu,Hari biasa,
Diva Mei,5,4 tahun lalu,Diva Mei,
Mei Fenita,5,4 tahun lalu,Mei Fenita,
