reviewer_name,rating,date,visit_time,review_text
Galuh Kurniawan,4,seminggu lalu,Akhir pekan,Sayang sekali kondisinya sepi sekarang Padahal tiket masuknya murah Kolam renang masih terjaga kebersihannya Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
Wirian Risda,4,sebulan lalu,Akhir pekan,"Tempat renang favorit. Kolamnya dari dangkal ke dalam. Bersih. Kalo tempat wisatanya sepi, jajd8 kesana ya emang tujuannya selalu buat renang. Ga se hype dulu. Harga tiket masuk terjangkau. Minimnya kamar mandi gelap dan duingiin. Ada air hangat tapi berbayar lagi Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Benito musolini,5,sebulan lalu,Hari biasa,"Bagus, tapi sayangnya sepi Waktu antrean Sebaiknya buat reservasi"
Saif Azzuhri,3,2 bulan lalu,Akhir pekan,Kolam renang bersih dan nyaman. Nggak terlalu banyak orang Hanya saja di beberapa spot terlihat tidak terawat Akhir pekan Waktu antrean Tanpa mengantre
dawam as,4,2 bulan lalu,Hari libur nasional…,Hari libur nasional…
Valentine Hutajulu,5,2 bulan lalu,Hari biasa,"bagus,nyamann Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
khoiruz zadit taqwa,5,3 bulan lalu,Hari biasa,"Sangat cocok buat piknik keluarga, namun perlu banyak pembenahan dan inovasi wahana maupun desain taman Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
maulana nurilhuda,5,5 bulan lalu,Akhir pekan,"Tempat rekreasi favorit waktu kecil.. Tempat pemandian dan belanja sayur, buah, perabotan dapur tradisional.. dan di paling ujung toko depan parkiran atas sedia kuliner sate kelinci.. waktu kesana hari Minggu lagi longgar banget, banyak stand jualan yg tutup, sudah tidak seperti dulu ramenya.. Semoga bisa pulih kembali, ramee lagi seperti duluu.. 🙏 Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Fiqi,5,5 bulan lalu,Akhir pekan,Tiap bingung mau renang kemana ujung ujungnya selalu kesini. Kolamnya luas terus kedalamanannya juga pas. Harga tiket masuk juga terjangkau. Akhir pekan Waktu antrean Sebaiknya buat reservasi
M Misbachul Munir,5,5 bulan lalu,Akhir pekan,"Serasa tempat rekreasi milik sendiri, saya kesini pas sepi pengunjung. Hanya sebentar krn keperluan survey aja. 5 hari lagi balik kesini bersama rombongan 30an orang Akhir pekan Waktu antrean Sebaiknya buat reservasi"
Herman Hermawan,5,6 bulan lalu,Hari biasa,Masih seperti dahulu . mohon pengelola menambah wahana di kolam atau wahana bermain . kwalitas air yg bagus .kenangan masa sekolah dulu ... Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
Rio Acim,5,7 bulan lalu,Hari libur nasional,"Tempat favorit anak anakku, paduan suasana alamnya kota batu nambah makin asoy pokok e Hari libur nasional Waktu antrean Tanpa mengantre Sebaiknya buat reservasi"
Gaming Akun,4,7 bulan lalu,Hari libur nasional,Masih sama kayak jamanku sd. Tempatnya luas tp skrg butuh peremajaan di area selain kolam renang. Berenang murah dan nyaman di kota batu Hari libur nasional Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
Mas Adie,5,7 bulan lalu,Akhir pekan,Tempat wisata kolam renang songgoriti cocok buat kluarga Akhir pekan
Dwi Sabil yanto,2,10 bulan lalu,Hari libur nasional,Hari libur nasional Waktu antrean Sebaiknya buat reservasi
Salmano Baisa,5,11 bulan lalu,Akhir pekan,Akhir pekan Waktu antrean Maks 10 mnt Sebaiknya buat reservasi
Indra AP,4,11 bulan lalu,Hari biasa,Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
Karina Divisari,4,setahun lalu,Hari biasa,Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
firna khusnul,4,setahun lalu,Hari biasa,Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
Himawan Alfan,3,setahun lalu,Akhir pekan,Fasilitas sedikit... tapi ada pasar sayur yg bikin menarik Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
22. Nur Muhammad Fahrul,5,setahun lalu,Akhir pekan,Akhir pekan Waktu antrean Tanpa mengantre Sebaiknya buat reservasi
Agung Wahono,5,setahun lalu,Akhir pekan…,Akhir pekan…
