reviewer_name,rating,date,visit_time,review_text
Wirian Risda,4,4 minggu lalu,,
Pendik Hermawan,3,3 minggu lalu,,"Butuh peremajaan,libur sekolah kemarin kesini taman sudah kotor tdk terawat seperti hutan. hanya area kolam renang saja yg bersih."
Joz Kutik,4,sebulan lalu,,Tempatnya bersih sejuk Banyak tmpt selfi Ada perahu bebek berbayar 20k
M Misbachul Munir,5,5 bulan lalu,,
Galuh Kurniawan,4,seminggu lalu,,Sayang sekali kondisinya sepi sekarang Padahal tiket masuknya murah
Fiqi,5,5 bulan lalu,,
Saif Azzuhri,3,2 bulan lalu,,Kolam renang bersih dan nyaman. Nggak terlalu banyak orang
IRMA WIDY,5,setahun lalu,,"Tempatnya luasss cocok banget buat spend time with family. Kolam renang ada 2, buat anak2 dan dewasa. Tempat makan luasss, banyak pilihan menu nya."
Rio Acim,5,6 bulan lalu,,"Tempat favorit anak anakku, paduan suasana alamnya kota batu nambah makin asoy pokok e Waktu kunjunga…"
Gaming Akun,4,7 bulan lalu,,
