reviewer_name,rating,date,visit_time,review_text
jumhur affandi,5,4 tahun lalu,,"cari bunga hias indoor maupun outdoor di sini, bisa sambil melepas penat, mwncari relasi penjual bunga, bisa langsung ke petani juga. banyak sekali pilihan bunganya, harganya oun bisa ditawar, juga banyak toko perlengkapan berkebun, ada banyak juga warung untuk beristirahat atau makan siang, rekomendasi sekali ke sini waktu weekday karena tidak terlalu ramai. jalannya maaih sempit jadi sering macet."
Hiraka,1,sebulan lalu,,"tolong tempat titik di yang maps di ganti mas/mba, kasian orang"" banyak yang nyasar ke tempat makan saya. trims"
Alvin Pratama,5,4 bulan lalu,,"The best sih , healing sederhana yang lumayan memuaskan"
Budi Setiawan,5,4 tahun lalu,,"Pusat bunga di Batu. Banyak pilihan jenis bunga dan indah banget. Harga mulai dari 10rb sampai ratusan ribu tersedia, tergantung jenisnya"
Rb Prajoga,4,6 tahun lalu,,Lumayan luas areanya... menjadi sentra perkulakan tanaman hias.
Seno mr.,5,4 tahun lalu,,"Bunga bunga nya bikin mata hijau, sueger seger dan harga bisa dinego"
dyah pangestu,4,4 tahun lalu,,Agak susah parkirnya si klo untuk jalan2 lihat2 bunga
Ainun Rofiq,5,5 bulan lalu,Akhir pekan,
yulianti nurwidianto,5,3 tahun lalu,,"Bunganya bagus, murah, tapiii parkirnya susah"
Ely Tsania,5,4 tahun lalu,,Tempat yg sangat indah surganya pecinta tanaman
Febrika Mayasari,5,4 tahun lalu,,Bunganya segar2 dan banyak macamnya serta murah2
Andrijan Mindjaja,4,3 tahun lalu,,Koleksinya cukup ngtrend dgn harga relatif
Loss Doll,5,3 tahun lalu,,Tempat belanja tanaman hias yg murah
achmad suprapto,5,3 tahun lalu,,Sangat sejuk dan selalu pingin mengunjungi terus
boycaemTV,5,4 tahun lalu,,ke jne selecta tiap hari nganter paket
Edy Supriyanto (Totok),3,4 tahun lalu,,Banyak pilihan bunga dan bibit
eff efendi,5,4 tahun lalu,,Pusat bunga hias kota batu
Komunitas H3 (OM J),5,4 tahun lalu,,"Mantab da menyemangkan,"
Yorra Zamhariri,5,4 tahun lalu,,Bunganya lengkap bagus2
Sugiyo Harimukti (Hari),5,4 tahun lalu,,Bisa belajar tentang ragam hayati
xito karin,5,6 tahun lalu,,Cari pesanan ..buat mudik
Ferratya Nanda,5,4 tahun lalu,,Nyaman dan Asri
Sutiksan Syafi'ul,5,4 tahun lalu,,
Diva Emilya,5,5 tahun lalu,,banyak bungaaa
Hary Santoso,5,3 tahun lalu,,Luas & rapi
ANDREAS BUDI SETYAWAN,5,4 tahun lalu,,
Omen Ojan,5,5 tahun lalu,,
agoes soeh,4,setahun lalu,Hari biasa,Ini adalah petani dan penjual bunga di seluruh desa. Khusus untuk bunga biasa bukan bunga koleksi atau eksotik. Anda harus berhati-hati dalam memilih rute menuju tempat ini karena beberapa rute memiliki bagian yang agak sempit untuk mobil.
vergian septiawan,5,3 tahun lalu,,Tempat yang bagus!!! Benar-benar menakjubkan! Tempatnya asri dan penjual tanamannya super ramah juga tanamannya tidak mahal. Diterjemahkan oleh Google ・ Lihat versi asli (Inggris)
Jony Indrasono,5,5 tahun lalu,,
yohanes franklin,5,4 tahun lalu,,Banyak pilihan.
Bachtiar Rachmad,5,4 tahun lalu,,Ntappppp 👌 … Diterjemahkan oleh Google ・ Lihat versi asli (Inggris)
Miftahul Handika,5,9 bulan lalu,Akhir pekan,
Roni Paini,5,5 bulan lalu,,
Hafid Dzikrullah,5,setahun lalu,,
Sigit Riatno,4,setahun lalu,,
Heriani Bintoro,3,2 tahun lalu,,
Muhammad Azlansyah,5,3 tahun lalu,,
Chayriel Ramadhan Y.A. Channel,5,3 tahun lalu,,
Irjik ja,5,4 tahun lalu,,
Saiful Anwar,3,4 tahun lalu,,
isal ramadan,5,4 tahun lalu,,
Beny Koka,5,4 tahun lalu,,
Anjas Suehatta,5,4 tahun lalu,,
Ahmad Samhaji,4,4 tahun lalu,,
Afdilla Luthfita Syaani,5,4 tahun lalu,,
Intan Permatahati,4,4 tahun lalu,,
Rafi Ahsand,5,4 tahun lalu,,
nindry nur,4,4 tahun lalu,,
Sur yanto,5,4 tahun lalu,,
Agnes Ambarwati,5,4 tahun lalu,,
Deby Trans,5,4 tahun lalu,,
Alviano Official,5,4 tahun lalu,,
Rudy Winarjo,5,4 tahun lalu,,
Arif Widijanto,5,4 tahun lalu,,
Puji Astutik,5,4 tahun lalu,,
Chaplin Attitude,5,4 tahun lalu,,
Brek ele channel,5,4 tahun lalu,,
Robin Simatupang,5,5 tahun lalu,,
Adha Qobil Alkautsar,4,5 tahun lalu,,
panda geta,5,5 tahun lalu,,
Nara Muflih,4,6 tahun lalu,,
6c 65 raka Abdi arviano,5,6 tahun lalu,,
Maritza Aleenara Tridistia,5,6 tahun lalu,,
Nieken Risma,3,6 tahun lalu,,
Nanik Sri Muhartini,3,8 tahun lalu,,
