reviewer_name,rating,date,review_text
Arif Mustofa,2,3 bulan lalu,"Mungkin bagus seperti yg disampaikan orang2, cm pas kebetulan saja kami yg kesitu namun 1. Buahnya enggak tapi ada dan banyak yg rusak 2. Seharusnya pengelola menyampaikan kondisi kebun, dan membuat pendatang lebih nyaman agar tidak kecewa 3. Minimal memberikan bingkisan dikarenakan hanya sebentar kunjungan nya dan tidak dimakan ditempat buahnya dikarenakan kondisi kebun 4. Semoga kedepannya pengelolaannya lebih baik 5. Kami jauh2 dari Kalimantan namun kurang puas dengan pelayanan Terima kasih"
Mega Sahara,5,sebulan lalu,
syifa nuy,5,setahun lalu,"Kebunnya luas, apelnya segar2, kami sekeluarga senang sekali bisa memetik apel untuk pertama kali dan alhamdulillah ketemu tempat wisata petik apel ini, mas masnya ramah2 dan sangat membantu,"
Smj,5,2 tahun lalu,Kalo bingung masuknya gimana ikut gps terus tanya pas nyampe di titiknya. Ada yang jaga. Saya dianter sama yang jaga di titik gps ini ke kebunnya. Sekeluarnya kita dapet sari apel. Kecil. Tapi enak parah😭 mau lagi hahaha Disini ada jual keripik apel juga!! Cobain testernya deh. Saya nyoba 1 langsung beli 13 bungkus(beli 10 gratis 1 terus tambah 2 lagi buat oleh2 soalnya enak hahaha) belom nyampe next destination 1 bungkus udah dihabisin mama saya soalnya enak. Boleh2 dateng👏👏
Ahmad Bachtiar Arif,4,setahun lalu,"Salah satu wisata petik apel yang ada di Batu. Lokasinya persis di depan pintu masuk wisata selecta. Pengunjung dapat memetik dan memakan buah sepuasnya ketika di dalam area petik apel. Namun, pengunjung juga dapat membawa pulang apel yang dipetik dengan harga 15 ribu per kilogramnya."
Wibowo Agung Nugroho,5,3 tahun lalu,"Pengalaman pertama dikebun wisata petik apel mandiri; - para kru yang ramah, melayani dari kita di penginapan bisa dijemput atau dipandu menuju lokasi kebun - edukasi yang diberikan oleh kru sebelum masuk ke area kebun sangat informatif dan menambah wawasan kita tentang varietas apel maupun segala yang berkaitan dengan wisata itu - dikelola oleh para petani handal serta dibawah bimbingan dinas terkait. Jadi kualitas apel selalu terjaga baik - banyak bonus apel *s&k berlaku - biaya masuk cukup terjangkau hanya dengan 25rb per orang kita bisa masuk dan diarea kebun bisa makan apel sepuasnya 😁. Apel yang dipetik lalu terkumpul dalam keranjang nantinya ditimbang dan dibungkus buat oleh oleh. Harga per kilo apel 30ribu (harga mungkin bisa berubah) - disini InsyaAllah gak bakal kecewa karena kebun tutup. Karena jika kebun satu tidak waktu panen, akan diantar ke kebun lain dalam satu pengelola yang tetap bisa untuk wisata petik - akses jalan wajar, aman tidak melalui medan yang berat, mobil keluarga pun bisa santai kesitu dengan pelan saja karena menikmati pemandangan alam disekitar Pastikan rencana petik apel anda bersama ""Wisata petik apel mandiri"" bisa cek di google maupun akun instagramnya. Jangan sampai salah masuk kebun atau ikut calo pinggir2 jalan. Sebaiknya hubungi dulu Wisata petik apel mandiri. Oke 😉 Ini murni review saya ya, bukan endorsment ✌🏽 #wigunotransport Jasa sopir pribadi Dalam/luar kota siap. Ramah, tidak merokok, disiplin. Instagram : @Wiguno_transport"
Maryanna Istiqomah,5,2 tahun lalu,"Driver mengingatkan utk petik apel umumnya telpon dulu petaninya utk booking. Ternyata disini ga perlu booking, cm kabari mau kesana lalu bayar tiket di tempat, bahkan dianter ke kebun. Servicenya memuaskan, banyak apel yg bisa dipetik dan selalu ada krn kebun digilir. Produkny juga banyak ada selai, keripik, cuka apel, sari buah dan apel segar"
Greaty Carismawati,2,2 bulan lalu,
Puspa Gayatri,5,4 bulan lalu,"Thank youu buat yang udh nge guide dsini, di jelasin nya sangat lengkap dan tempatnya juga instagramable 🥰✨ …"
Resa Nurazizah,5,setahun lalu,"Pelayanannya ramah, tempatnya luas, suasananya sejuk, terdapat 4 jenis apel manalagi, anna, granny smith, dan rome beauty, serta terdapat tata cara budidaya buah apel"
Annisa Ramadhanti,4,3 tahun lalu,"HTM Rp.25000/orang anak dibawah 6 tahun belum bayar, bisa makan sepuasnya dikebun dan ada beberapa jenis Apel juga disini. Apel yang di petik wajib dimakan atau dibawa pulang dengan membayar Rp 30.000/kg Lokasi nya ada di dekat wisata selecta, kalau bingung bisa cek sesuai maps nanti di antar sampai ke kebun Worthed kalau bawa anak-anak karena itu pengalaman seru untuk mereka"
fitraningtyas yuliarsanti,5,sebulan lalu,Petik apel g pake naik angkot. Mobil lgsung ke lokasi. Mantab mantab. Recommended .. g luas tp enak.. g banyak semak
fakhry nur mahmudi,5,setahun lalu,"Bersih, nyaman adem, buahnya banyak. Untuk lokasi langsung ke tempat sesuai peta dan nanti di antar ke kebun"
Pedila Mifta,5,setahun lalu,"Kebunya luass, pemandangan nya jugaa baguss banget selama perjalanan akan disuguhkan dengan pemandangan yang indah, buah apelnya juga ada beberapa macam dan manis manis, rekomendasi banget dehh"
Betari Ayu Pramita,5,setahun lalu,"Apelnya banyak, ada yang manis ada yang agak manis asem, jangan datang siang agak panas mending pagi lebih teduh, masuk 25k per orang, 20k per kg klu bawa pulang"
pedila miftahul J,5,setahun lalu,"Kebun nya luas, jenis buah apelnya ada 4 manalagi, anna, granny dan rome beauty. Pelayanannya ruamahh. Apelnya maniss bangett rekomendasi untuk dikunjungi"
Vi E,5,setahun lalu,"First time petik apel di sini. Wisata petik apel mandiri. Kebun luas, buah nya banyak,, view bagus, pelayanan bagus. Dapat gratisan pula kurleb 2 kg. Makasih mas2 nya.....sukses terus"
Sadryna Evanalia,5,2 tahun lalu,Langsung bisa petik Apel dengan harga murah dan bisa makan sepuasnya! Dapet gratis apel 2kg! Mantap!
agus jokteng,5,setahun lalu,Puas banget tidak cuma bintang 5 tapi Nila 100. Awal kecewa karna Tutup lokasinya karna ada acara trus janjian lg sore dan tetap dilayani super sangat super walau mau tutupan. Istimewanya dikasih lahan yg banyak bangettttt buahnya. Pastinya kesetanan petik buahnya
Yhushi Nyusi,5,4 tahun lalu,"Saya dari Jember. Ini tempat Rekomended bangettttttttt! Disarankan untuk chat admin dulu, soale katanya panen apelnya pindah2 tergantung mana yg panen. Dan Pertama kali saya kekebun apel, karna ngidam ehehehehe. Tiket masuk 25k/orang (makan sepuasnya, selfi, dll) Kalau bawa pulang 25k/kg apel. Apelnya fresh manisssss banget (btw apel yg warna kuning), yg ada merah2nya (rada asem tpi ttp seger). Bagi saya! Jika dibawa pulang dengan harga 25k perkilo yaaa lumayan lah. Karna HARGA MENENTUKAN KUALITAS. TerimaKasih Wisata Petik Apel Mandiri. Kapan2 kesana lagi bawa si-bayi 😍"
rama yulianto,4,7 tahun lalu,
Aisyah salma123,5,4 tahun lalu,"hallo gengs 🥰 kalo kalian jalan2 kemalang jangan lupa mampir kesini yah, disini salah satu tempat recommended kebun petik apel di BATU ,MALANG, penjaga nya ramah, buah nya segar , manis , pokok nya kalo kalian mau ngerasain makan buah apel langsung dari pohon nya saya sarankan kesini ,😎🥰😚 …"
Cendol online,5,3 tahun lalu,kalo bawa anak kecil kayaknya lebih seru deh... tapi ini berdua bareng istri ga kalah seru juga kok...
Indri Marinda,5,sebulan lalu,"Tempatny nyaman, luas dan bersih..recomended bgt ya gaess..apelny byk, byk yg manis juga.."
Ikhfa Rahmini fitri,5,7 tahun lalu,"tempat yang indah banget buat wisata liburan,apalagi bagi wisatawan yg dri luar jawa, ini bisa mnjadi salah satu tempat wisata yang harus kamu coba ... karena disini kita bisa petik apel dan makan sepuasnya dengan bayar cuma 15 ribu rupiah 😍 …"
Heni Listiyani,4,3 tahun lalu,Udaranya sejuk. Wisata untuk petik apel sendiri. Bisa dimakan disana/dibawa pulang. Untuk kesini kemarin naik angkutan. Apelnya manis-manis.
